twitter_id,date,tweet
1096738515339993094,2019-02-16 11:50:13,b'@shukrihariri I think you should be Prasarana User Experience Consultant. Kira selalu and consistent hang make obse\xe2\x80\xa6 https://t.co/ORIvWWJScJ'
1093528876960047104,2019-02-07 15:16:15,b'@shukrihariri pergh uni hang dah terror dah...'
1092682597488971777,2019-02-05 07:13:26,"b""Solving rubik's cube... the key is will and patience.... skills only make you faster but if you dont have the will,\xe2\x80\xa6 https://t.co/XNQhDGsMTr"""
1092350394640920576,2019-02-04 09:13:23,b'how to actively contribute to this twitterverse or get value from this?'
1092054630425538560,2019-02-03 13:38:07,b'@k4ml @mitchellh buat juga ka?'
1092054239260508163,2019-02-03 13:36:34,b'back to tweeting. not sure but apparently it is good to have a channel to speak my mind'
1075002193504129030,2018-12-18 12:17:50,b'@shukrihariri sabar tuan!'
1014173805512613888,2018-07-03 15:47:32,b'@shukrihariri toksah bother la shuk. just ignore and move on. life goes on. focus on the positive things only!'
968379308669587457,2018-02-27 06:56:33,b'@shukrihariri awat bro?'
956540454119473152,2018-01-25 14:53:10,"b'@hermanrawi Of course Tak. Kalau sedap, bayar RM20 pun Tak kisah'"
956107681940488192,2018-01-24 10:13:29,b'@hermanrawi Nasi lemak kat situ mahal dan overpriced. Nak try nasi pasang dia nanti'
953109285008846848,2018-01-16 03:38:56,b'Requesting faucet funds into 0x9257915Ec421e072C92f4738a369bdE3D4FEc7b9 on the #Rinkeby #Ethereum test network.'
898840368317218820,2017-08-19 09:33:38,"b'@jcp @VitalikButerin Hi, where can I learn how to implement this Plasma? I am very interested in this!'"
882551183973404672,2017-07-05 10:46:13,"b'@jamiepitts hi, you commented on my comment on HN. I am interested to discuss more about ETH, can you give me your email or DM?'"
882550649627357185,2017-07-05 10:44:06,b'@rasyadi @MRTMalaysia @SPADchannel @AskRapidKL You can bring foldable bike on MRT albeit not during rush hour.'
841542358806102016,2017-03-14 06:51:48,"b'@Sebamueller hi, I am using your ng2 with google maps and I notice that the website is nice. Can share name of template that you use?'"
823193136344092672,2017-01-22 15:38:32,b'@ARMmbed @iottechexpo @beethakore when can we expect mbed to be available? We are keen to use it instead of manual FW update.'
771381814103453696,2016-09-01 16:18:50,"b""I can never really understand the maths and stuffs behind AI but I feel so powerful when I'm  using Google's TensorFlow."""
758118137090838529,2016-07-27 01:53:43,b'@nestorayuso thanks'
753428436824186884,2016-07-14 03:18:32,"b""@heliumlife https://t.co/q1xexz0JcW as this page refers to a source that's incorrect https://t.co/ap73MYInXL"""
753154116755435520,2016-07-13 09:08:29,b'RT @cdixon: Helsinki Wants To Eliminate The Need For Car Ownership By 2025 https://t.co/gUGSKeWqI1 https://t.co/W6IgedRkyv'
753146391799603200,2016-07-13 08:37:47,b'@heliumlife would really appreciate it thanks \xf0\x9f\x98\x8a'
753145926726725632,2016-07-13 08:35:56,"b""@heliumlife hi I'm CEO of pipeline network. Can you please help to remove funding information on TiA as the source is wrong. Thanks."""
749467419677106176,2016-07-03 04:58:51,"b'@YouTiup @zurairi just download a Chrome extension to do this.\n\nfor FT, you can google the title of article and click the link FROM google.'"
748729111317585920,2016-07-01 04:05:05,"b'@liowtionglai @MyRapidKL @NajibRazak @KBAB51 @IdrisJala_ @SPADchannel Hi, who can I talk to about autonomous regulation in MY?'"
748568356362432512,2016-06-30 17:26:18,b'@liowtionglai @MyRapidKL @NajibRazak @KBAB51 @IdrisJala_ @SPADchannel looking forward to your replies. Thank you.'
748568250653368320,2016-06-30 17:25:53,b'@liowtionglai @MyRapidKL @NajibRazak @KBAB51 @IdrisJala_ @SPADchannel because we are developing it. Same as https://t.co/smxF3CtqXW'
748568115223506949,2016-06-30 17:25:21,b'@liowtionglai @MyRapidKL @NajibRazak @KBAB51 @IdrisJala_ @SPADchannel is there an agency that I can talk to about autonomous vehicle?'
748206327743156224,2016-06-29 17:27:44,b'RT @RSPOtweets: What can companies do to ensure that #palmoil is as #sustainable as possible? https://t.co/srJ0SEHAU2'
748162883104571398,2016-06-29 14:35:06,b'@YouTiup hahaha bukan saya minum tapi Maksud Dia hanya perlu bayar beer sahaja Kalau nak support diorang\xf0\x9f\x91\x8d'
748144977478246400,2016-06-29 13:23:57,"b""@YouTiup Krita it's open source and better than GIMP. My team is supporting OSS so everything is free. Free as in 'beer'."""
747799876306558976,2016-06-28 14:32:38,"b""@nestorayuso @airfy how's the field test on this? Can go towards commercial deployment?"""
740857806979358722,2016-06-09 10:47:20,"b'@RSPOtweets , the person responsible already replied. Thanks for the prompt update.'"
