twitter_id,date,tweet
1101595311414411264,2019-03-01 21:29:23,"b'RT @SpaceX: SpaceX and @NASA have completed thousands of hours of tests, analyses, and reviews in preparation for Crew Dragon\xe2\x80\x99s first test\xe2\x80\xa6'"
1094359078862757893,2019-02-09 22:15:11,b'@Nick_Craver @marcgravell \xf0\x9f\x98\xb1'
1092737359974666240,2019-02-05 10:51:03,b'@DeadlySiriusSXM @rickygervais @missdianemorgan Where\xe2\x80\x99s the episode with Colbert? I thought they attended it lol'
1088732002281500672,2019-01-25 09:35:11,"b""@rickygervais there's Russel's paradox here"""
1083261985486266368,2019-01-10 07:19:18,"b""RT @JoeDelmonaco: In the 1640's the Dutch inhabitants of New Amsterdam built a 12' wall to keep the bad hombres out.\n\nIn 1664 the British i\xe2\x80\xa6"""
1080746529529442305,2019-01-03 08:43:46,b'@DVNZZZILLV You should have caught it lol'
1080354534910803968,2019-01-02 06:46:07,b'RT @CaliaDomenico: Absolutely beautiful video created using still images taken by the Cassini spacecraft during its flyby of Jupiter and wh\xe2\x80\xa6'
1078197435523047424,2018-12-27 07:54:35,"b'Another #dotnet mind map, this time #LINQ: https://t.co/PCttoty2LH'"
1077637471058477056,2018-12-25 18:49:29,b'Collections in .NET mind map: https://t.co/zZvSm9jg8f #dotnet'
1075919400274939905,2018-12-21 01:02:29,"b""RT @terrajobst: Algorithms are basically the architecture of your compute space. Don't ignore them. https://t.co/sQ9de6wGDV"""
1075179652287737862,2018-12-19 00:02:59,b'@Nick_Craver It would be interesting to see the result of the move. I hope a performance-related blog post is planned \xf0\x9f\x98\x80'
1075173156946620416,2018-12-18 23:37:11,"b'RT @markrussinovich: Awesome profile of Donald Knuth, master of algorithms: ""The Yoda of Silicon Valley"" https://t.co/GBI1ME9tG3'"
1072668953107931136,2018-12-12 01:46:22,b'@rickygervais Glonck.'
1055769137425866752,2018-10-26 10:32:32,"b'@windowsdev win 10 development machines are not available :(, any chance they will be restored soon?'"
1050571354020438016,2018-10-12 02:18:24,"b'RT @Piano3D: Hey, @twentyonepilots fans, we have smth for you.\n\n#twentyonepilots #TRENCH\n\nhttps://t.co/TKLRG5HLe8'"
1049438829873106945,2018-10-08 23:18:09,"b'RT @Piano3D: Piano 3D v1.1 release. Synthesizer and a lot of other stuff, read more: https://t.co/bVTttAUWug https://t.co/SvSmesMHp2'"
1034618477716418560,2018-08-29 01:47:22,b'New post: https://t.co/01m2dddWsG'
1028242663546540032,2018-08-11 11:32:09,b'RT @Piano3D: Piano 3D Development Diary - Episode 2: Keyboard Colors #piano3d #unity3d #indiedev #gamedev #madewithunity https://t.co/FSJiJ\xe2\x80\xa6'
1027667828395134978,2018-08-09 21:27:58,b'RT @foofighters: Visit. Explore. PLAY\nhttps://t.co/sbLLMtxSyP \n#JUSTPLAY #DaveGrohl https://t.co/zcCSGpjB34'
1027549627871059968,2018-08-09 13:38:16,"b'Non-renewing subscription, apple app store, #unity3d IAP. Read here: https://t.co/kX74CteZHa'"
1026882438855905281,2018-08-07 17:27:06,b'RT @Piano3D: Watch how Piano 3D is made in the first episode of development diary #piano3d #unity3d #indiedev #gamedev #madewithunity https\xe2\x80\xa6'
1024074365439229952,2018-07-30 23:28:49,b'RT @Piano3D: #Piano3D released worldwide both for #iOS and #Android. Get it on https://t.co/2Kw4SZZVIR https://t.co/wXijtVnzcL'
1023890296856305664,2018-07-30 11:17:24,"b'Released @Piano3D recently on iOS and Android, read more here: https://t.co/pGeu86UBMw'"
1002578099421302784,2018-06-01 15:50:20,b'Just blogged https://t.co/GADzo46MC0 @unity3d'
996145584951250944,2018-05-14 21:49:49,"b""@shanselman @robconery I've seen these images before, maybe NASA? \xf0\x9f\xa7\x90"""
966262202712952832,2018-02-21 10:43:56,b'RT @migueldeicaza: Why I am excited about Unity in 2018: https://t.co/SLbWSd8Bgb'
963617477224693760,2018-02-14 03:34:44,b'@DVNZZZILLV @ChangeOrgRus lol why?'
913444874581667841,2017-09-28 16:46:43,b'@Nick_Craver Could you take a look at pool requests?\xf0\x9f\x99\x82'
906291344561369089,2017-09-08 23:01:09,b'RT @wylsacom: \xd0\x92\xd1\x8b\xd0\xb1\xd0\xbe\xd1\x80 \xd1\x81\xd0\xbb\xd0\xbe\xd0\xb6\xd0\xbd\xd0\xbe\xd1\x81\xd1\x82\xd0\xb8 \xd0\xb2 \xd0\xbd\xd0\xbe\xd0\xb2\xd0\xbe\xd0\xb9 \xd0\xb8\xd0\xb3\xd1\x80\xd0\xb5 \xd0\xbf\xd0\xbe South Park. https://t.co/BTjwmZVQ85'
903736296291655680,2017-09-01 21:48:18,b'@blowdart \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1 no way'
899937816473468929,2017-08-22 10:14:30,b'@KZ_Jumper \xd0\x9e_\xd0\xbe \xd0\xba \xd0\xbe\xd0\xbd \xd1\x87\xd1\x82\xd0\xbe \xd1\x82\xd0\xb0\xd0\xbc \xd0\xb4\xd0\xb5\xd0\xbb\xd0\xb0\xd0\xb5\xd1\x82?)'
899805996578746368,2017-08-22 01:30:41,b'@KZ_Jumper \xd0\x96\xd0\xb0\xd0\xb1\xd0\xba\xd0\xbe?)'
896891464789184513,2017-08-14 00:29:23,"b""@elonmusk Do you expect the same problems as soviet's N1 had? N1's  30 first stage engines vs FH's 27"""
896128088852938752,2017-08-11 21:56:00,b'RT @ID_AA_Carmack: Going all-in with C# is probably a wise move. https://t.co/DNY2hcuJeu'
896125651375214592,2017-08-11 21:46:19,"b""RT @unity3d: You had a good run, old pal... but it's time to move on to greener pastures. https://t.co/BVwp1eoS2z"""
886293625495224320,2017-07-15 18:37:21,b'@Nick_Craver Will it be integrated to Opserver too?'
878790401724993536,2017-06-25 01:42:13,b'RT @GrantTucker: And the headline of the year goes to... https://t.co/SiboZ2gFex'
877953164770549761,2017-06-22 18:15:20,b'RT @peterlattman: Things can get pretty existential on the NYC subway. https://t.co/YvpBj7K00B'
847580320496877568,2017-03-30 22:44:30,"b""@Nick_Craver @SpaceX It's interesting how much they spend on after flight maintenance. Space Shuttle also was reusa\xe2\x80\xa6 https://t.co/afIL3qYYKy"""
842141679708717056,2017-03-15 22:33:17,b'RT @ben_a_adams: @jongalloway @shanselman tabs are only valid if you use MS Paint as your IDE and need to cut down on input colours https:/\xe2\x80\xa6'
840302017906147328,2017-03-10 20:43:07,b'RT @Piano3D: And one more thing: https://t.co/pYaodFXtLl'
838440428600975361,2017-03-05 17:25:50,"b'RT @muse: ""Plug In Baby"" was released on this day in 2001 \xe2\x96\xb6\xef\xb8\x8f\xef\xb8\x8f\xef\xb8\x8f\xef\xb8\x8f https://t.co/3DAlrdXccw https://t.co/4TzHgopc76'"
821285421879541761,2017-01-17 09:17:57,"b'RT @gfixler: ""Can everyone read the code on the slide?""\n""Not really.""\n&lt;enlarges text&gt; ""Better?""\n""No, it\'s still Scala.""'"
820599282466164736,2017-01-15 11:51:29,b'RT @SpaceX: First stage has landed on Just Read the Instructions https://t.co/W0EoLaO4YR'
816380802887884800,2017-01-03 20:28:45,b'RT @terrajobst: Agreed. In my experience the NULL object pattern hides more bugs than it helps to prevent... https://t.co/EoQ4IVGfAP'
811519071070158848,2016-12-21 10:29:58,"b'RT @SeraphinaMadsen: From Stanislaw Lem\'s ""Return from the Stars"" published in 1961 https://t.co/B66PHF09Zs'"
811259663488602112,2016-12-20 17:19:10,"b""@Nick_Craver are you gonna update Exceptional nuget package? Don't see preventDuplicates in emails configuration"""
809748587588489217,2016-12-16 13:14:42,b'RT @ValaAfshar: The original worldwide headquarters:\n\n@HP 1939 \xe2\x86\x96\n@Apple 1976 \xe2\x86\x97\n@Amazon 1994 \xe2\x86\x99\n@Google 1998 \xe2\x86\x98 #ThursdayThoughts https://t.co\xe2\x80\xa6'
808929657215184897,2016-12-14 07:00:34,"b'RT @Nick_Craver: Visual Studio, VS Code, or Sublime (depending on task). Cmdr or Terminal + git. Beyond Compare. LINQPad. GitHub Desktop. S\xe2\x80\xa6'"
807678765329510401,2016-12-10 20:09:58,b'RT @veged: JavaScript frameworks benchmarks https://t.co/Tv8RLLanQl'
807653904162947072,2016-12-10 18:31:10,b'Lol https://t.co/L2X062LdH0'
807001910335119360,2016-12-08 23:20:23,"b""RT @NASA: We remember American legend Sen. John Glenn. Statement from our Administrator Charles Bolden on Glenn's passing: https://t.co/xkm\xe2\x80\xa6"""
804092847091748864,2016-11-30 22:40:48,b'RT @b0rk: assembly https://t.co/atWHEZI2VM'
803959140452356096,2016-11-30 13:49:30,b'RT @unity3d: Unity 5.5 is here! Get all the new tools &amp; improvements! https://t.co/H99urfJFEa #unitydev #gamedev https://t.co/L85kqOl6x0'
803274354578571264,2016-11-28 16:28:24,"b'Finally finished ""So you want to be .NET developer"" post: https://t.co/OpTQvbztfy\nLet\'s ask a guru what he thinks @shanselman'"
803023033208360960,2016-11-27 23:49:45,b'RT @DamianEdwards: LOL https://t.co/BUhhErYO8t'
796714401684475905,2016-11-10 14:01:30,b'Blogged: StackExchange.Exceptional: ELMAH on steroids https://t.co/SLi6wrZtMX cc @Nick_Craver'
796292576810778625,2016-11-09 10:05:19,b'RT @Schokovic: England: Nothing can be more embarrassing than Brexit. \n\nAmerica: Hold my beer.'
796292265933213696,2016-11-09 10:04:05,b'RT @codinghorror: The worst thing about all of this is that Peter Thiel proved he was indeed smarter than us.'
792147799123132416,2016-10-28 23:35:27,b'RT @YazzieSays: Most Useless #NASAPumpkin https://t.co/YkNbUzHQSc'
792147694898778112,2016-10-28 23:35:02,"b'RT @Pinboard: The Programmers\xe2\x80\x99 Credo: we do these things not because they are easy, but because we thought they were going to be easy'"
784715581933121536,2016-10-08 11:22:28,b'Getting ready to the meetup https://t.co/oI0XDMksDA'
784694702641647616,2016-10-08 09:59:30,"b'Okay, T -2 hours and counting :)'"
784694598132170752,2016-10-08 09:59:05,b'A local meetup about StackExcahnge open sourced libraries:\nhttps://t.co/UeYFDskkPk'
782990978152103936,2016-10-03 17:09:31,"b""@Nick_Craver I'm gonna try to implement it, so if you have some thoughts you can share :)"""
782905088352419840,2016-10-03 11:28:13,"b""@Nick_Craver just curious, is there a page in opserver which shows info from miniprofiler's SqlServerStorage?"""
780313592046518272,2016-09-26 07:50:32,b'RT @elonmusk: Mach diamonds https://t.co/TCX7ZGFnN0'
772743791967145984,2016-09-05 10:30:51,b'RT @s_vakarchuk: Freddie Mercury could have been 70 today. A great singer! Probably the best  in a history of rock-music..'
754568631388954624,2016-07-17 06:49:15,"b'RT @TheRealBuzz: 47 years ago today Neil, Mike &amp; I took a ride on a big rocket to the moon. \nLiftoff on #Apollo11 https://t.co/FrvdmddkYo'"
751070060005957632,2016-07-07 15:07:11,b'RT @ericlaw: CloudFlare is a pro blogging team which runs a CDN as a hobby.  https://t.co/I3JHTAPJYs'
747880423271899138,2016-06-28 19:52:42,b'My app @Piano3D was featured in @Microsoft TV advertisment: https://t.co/zQCiCu2M4X'
736906015237640192,2016-05-29 13:04:19,"b'RT @Objective_Neo: SpaceX, $12 billion valuation: Launches 70m rockets into space and lands them safely.\n\nSnapchat, $20 billion valuation:\xe2\x80\xa6'"
735186974517125120,2016-05-24 19:13:28,b'@Nick_Craver why the arguments are pascal cased?'
733678362896502785,2016-05-20 15:18:47,b'@Nick_Craver CloudFlare says the problem is on your side https://t.co/w0xW368yPE'
730817580731142144,2016-05-12 17:51:03,"b'@KZ_Jumper \xd0\xbd\xd1\x83 \xd0\xbd\xd0\xb8\xd1\x87\xd0\xb5, \xd0\xb3\xd0\xbb\xd0\xb0\xd0\xb2\xd0\xbd\xd0\xbe\xd0\xb5 \xd0\xbd\xd0\xb5 \xd0\xbe\xd1\x88\xd0\xb8\xd0\xb1\xd0\xb8\xd1\x81\xd1\x8c \xd1\x81 F. A. Q., \xd0\xb0 \xd1\x82\xd0\xbe \xd0\xbc\xd0\xbe\xd0\xb6\xd0\xbd\xd0\xbe \xd0\xbf\xd0\xbe\xd1\x81\xd0\xbb\xd0\xb0\xd1\x82\xd1\x8c \xd1\x81\xd0\xbb\xd1\x83\xd1\x87\xd0\xb0\xd0\xb9\xd0\xbd\xd0\xbe :)'"
724544032832106496,2016-04-25 10:22:13,b'RT @kingbrendann: Debugging code https://t.co/exGdeCETcd'
723538605386391554,2016-04-22 15:47:00,"b'@ivamax9 now we have holywar in the office, @Nick_Craver we need a blog post about it ;)'"
723524931733061632,2016-04-22 14:52:40,b'@Nick_Craver @ACouissin @ben_a_adams absolutely agree. Unfortunately too many devs are obsessed with DI :('
722754779944857601,2016-04-20 11:52:22,b'@Skype how long should I wait? submitted three days ago. The result - nothing. https://t.co/ZViOZKWyO1'
715584713231048704,2016-03-31 17:01:05,b'@migueldeicaza so @Unity can now adopt the last version (finally)?'
712190242640494592,2016-03-22 08:12:40,"b'RT @PaulGAllen: RIP Andy Grove, took @intel &amp; its microprocessors to the top, and kept them there: https://t.co/qLDddEDlhe'"
710453417781682176,2016-03-17 13:11:09,b'RT @krisajenkins: Today I learned that raspberries make great Lego Afros. https://t.co/VUPtIoCoLA'
707817361370439680,2016-03-10 06:36:24,"b'RT @mfukar: Power Wastage On An Idle Laptop https://t.co/Ll0jAlS1Or via @BruceDawson0xB\n\nAs usual, Bruce makes a lot of very good points.'"
704057103388909568,2016-02-28 21:34:28,b'RT @SLAMonline: The shot. https://t.co/D6c12YjTus'
702590145447354369,2016-02-24 20:25:18,b'@scottgu @shanselman the next step: buy @unity3d and upgrade it from 10-aged .NET 2.0. PS please do it'
702572722669268992,2016-02-24 19:16:04,b'RT @PHP_CEO: IT HAS COME TO MY ATTENTION THAT SOMEONE CALLED JASON HAS BEEN ENCODING AND DECODING DATA IN OUR APP. PLEASE CHANGE YOUR PASSW\xe2\x80\xa6'
702572233756155904,2016-02-24 19:14:08,"b""RT @scottgu: I'm incredibly excited to welcome Xamarin to be part of my team at Microsoft: https://t.co/6eaihJ1Zfd"""
702237687504310274,2016-02-23 21:04:46,"b'RT @Nick_Craver: Upgrade project to .Net 4.6: ""/&gt; in web.config.\nUpgrade a NuGet package: "" /&gt; in web.config.\nDear NuGet/VS,\nSTOP CHANGING \xe2\x80\xa6'"
702064722108096512,2016-02-23 09:37:28,b'RT @Nick_Craver: I just pushed virtual directory support in Opserver if anyone was in need of such a setup: https://t.co/P0gDcYOGLB'
699955671018696705,2016-02-17 13:56:51,b'RT @Nick_Craver: New blog post up:\nStack Overflow: The Architecture - 2016 Edition\nhttps://t.co/TaaC3m7n7X'
697942396668145665,2016-02-12 00:36:49,"b'@Nick_Craver it works, you are fast :)'"
697932377251827717,2016-02-11 23:57:00,"b'@Nick_Craver Hey, smth went wrong https://t.co/WUyfSMiTe7'"
696443410631233536,2016-02-07 21:20:23,"b'RT @xjoeduffyx: My next Midori essay is up, The Error Model, about our multi-year journey building a robust system. Enjoy! https://t.co/DSk\xe2\x80\xa6'"
689166173901074434,2016-01-18 19:23:14,b'RT @ThePracticalDev: 2 unit tests. 0 integration tests https://t.co/V2Z9F4G1sJ'
687225517108539392,2016-01-13 10:51:45,b'@markrussinovich smth went wrong with sysinternals download https://t.co/TeAfAQnHEh'
687011797061218304,2016-01-12 20:42:31,"b'RT @Miles_B: How to Check for Dangerous, Superfish-Like Certificates on Your Windows PC https://t.co/WwQ2pocywK\nSigCheck is part of Sysinte\xe2\x80\xa6'"
687011376892612609,2016-01-12 20:40:50,"b'RT @SpaceX: ""The Falcon has landed.""  New footage and recap of our recent launch and landing https://t.co/ogtHIbCnZi'"
684103939642540032,2016-01-04 20:07:43,b'RT @CommitStrip: My 2016 Big Resolution\n https://t.co/Kz1sPK0NFp https://t.co/QZ0u3WfML4'
683742972123451392,2016-01-03 20:13:22,"b'RT @ValaAfshar: ""You likely have to get management approval for a $500 expense ... but you can call a 1 hour meeting with 20 people and no \xe2\x80\xa6'"
682917155411738624,2016-01-01 13:31:52,b'RT @AaronBertrand: [Blog] : A Challenge for 2016 : https://t.co/bWXRM9el7k #blogging /cc @sqlagentman @problogger'
682916479608688640,2016-01-01 13:29:11,"b'RT @aloria: Karma Police. Arrest this man, \nhis Skrillex hairdo \nis making me feel ill and we have crashed his party'"
682916237647675392,2016-01-01 13:28:13,b'lol https://t.co/AjUIIob48R'
682915647601422336,2016-01-01 13:25:53,b'RT @Nick_Craver: SQL Query detail modals almost done in the Opserver overhaul: https://t.co/Hp9ceRbaQb'
682915475752382464,2016-01-01 13:25:12,"b'RT @Nick_Craver: All done, streamlined SQL query and plan views are in Opserver: https://t.co/H7Jc0XgOpl'"
