twitter_id,date,tweet
1109907259776073728,2019-03-24 19:58:06,"b""The problem with watching Overwatch for me these days is that goats isn't very interesting to watch. Time to see what's up on the LCS"""
1109905392358707200,2019-03-24 19:50:41,"b""It's often difficult for me to find good analogies for gender dysphoria and transitioning, but this thread resonate\xe2\x80\xa6 https://t.co/sakd1KV4KK"""
1109904616802537472,2019-03-24 19:47:36,"b'RT @muanchiou: Hi y\xe2\x80\x99all, what are your favorite talks on web standards in the old days? Looking to learn more about the history on the maki\xe2\x80\xa6'"
1109901548803416064,2019-03-24 19:35:24,b'@cadeparade Feeling called out rn Lindsay'
1109897061103656960,2019-03-24 19:17:34,"b'Oo SF is playing right now on #OverwatchLeague, I feel like I have to root for them'"
1109657840082284545,2019-03-24 03:27:00,b'RT @caraesten: social networking never lacks metanarrative https://t.co/epXk97y64V'
1109619555880456192,2019-03-24 00:54:52,b'Unpopular opinions: unpopular opinion edition\n\nOk go'
1109619120801120256,2019-03-24 00:53:08,"b""@quantastic Meh it wasn't a paid shoot so I can be lazy lol"""
1109344126292488192,2019-03-23 06:40:24,b'RT @IchHeisseMikey: @EmmyA2 @byeweekbae (@semi_rad) https://t.co/2czbMQIS5X'
1109331118484971520,2019-03-23 05:48:43,"b""RT @AmyZenunim: *record scratch*\n\n*freeze frame*\n\nYup, that's me. You're probably wondering how I ended up in this situa^Z https://t.co/a7o\xe2\x80\xa6"""
1109271532231024640,2019-03-23 01:51:57,b'@d00n @tenderlove @kerrizor \xf0\x9f\x98\xac\xf0\x9f\x98\xb1'
1109270517653995520,2019-03-23 01:47:55,"b""@tesseralis every poll is just a setup\n\nI'm onto you"""
1109233458650337281,2019-03-22 23:20:39,"b""@prymnumber @tenderlove @kerrizor Seeing where you're going is overrated"""
1109230274192142337,2019-03-22 23:08:00,b'Happy hour time at @github! https://t.co/K2758MBB7n'
1109228191061700608,2019-03-22 22:59:43,"b""@tenderlove @kerrizor I've had bees stuck in my vents but thankfully never in my helmet. They've been down the neck\xe2\x80\xa6 https://t.co/hcvDJmxzyt"""
1109222690366214144,2019-03-22 22:37:52,b'I was talking about motorcycles with my Lyft driver and he was telling me about a time when a spider crawled down t\xe2\x80\xa6 https://t.co/PFjWi7NpBX'
1109212390355156992,2019-03-22 21:56:56,b'@erwinm9 You can say that!'
1109212158816997377,2019-03-22 21:56:01,b'RT @emplums: @BinaryMuse wins for best meeting invite name \xf0\x9f\x98\x82 https://t.co/ixwkqQBZRO'
1109191020795695104,2019-03-22 20:32:01,b'RT @jeff_behnke_: I created a Mac app with @electronjs for creating code images for posting to Instagram.\nhttps://t.co/fzA1TFVN85\n\n#enginee\xe2\x80\xa6'
1109190859864465409,2019-03-22 20:31:23,"b'Hey Google, remind me two days before my talk to write my talk'"
1109156721761517569,2019-03-22 18:15:44,"b""RT @HackerNewsOnion: Feeling Lazy? Try GitHub's New Personalized One-Click Commit Buttons https://t.co/vEyeuyHBtA"""
1109121518162710528,2019-03-22 15:55:51,b'LUCKY U\n\nhttps://t.co/1cLEnKKmTw https://t.co/BshFdse6jY'
1109098527160852485,2019-03-22 14:24:29,b'@ryanflorence @sophiebits I just liked the filename (granted I assumed a bit \xf0\x9f\x98\x85)'
1108948495933685760,2019-03-22 04:28:19,"b'@ryanflorence @sophiebits import { AppStateProvider, useAppState } from ""./sweatpants""'"
1108943492577792000,2019-03-22 04:08:26,b'@maybekatz Blender is so much fun! And 2.8 is radddd'
1108810440937598976,2019-03-21 19:19:44,b'@codebytere Do ittttt'
1108810353477992448,2019-03-21 19:19:23,b'RT @sarah_edo: Most of the time people think I\xe2\x80\x99m typing to them I\xe2\x80\x99m probably just looking for the right emoji'
1108759976967733248,2019-03-21 15:59:12,b'RT @nathanwpyle: https://t.co/Noolj1sWjc https://t.co/5U3WweOzoy'
1107798001873911808,2019-03-19 00:16:40,"b'RT @brennx0r: Are you a software engineering manager and identify as a woman? If you have time, I would like to contact you in DM for advic\xe2\x80\xa6'"
1107791603526041601,2019-03-18 23:51:14,"b'RT @seldo: ""I will get a lot of writing done on the plane"" is one of the biggest and yet most frequent lies I tell myself.'"
1107791413905784832,2019-03-18 23:50:29,b'RT @AngieRvra: Where do all the female and POC open source maintainers hangout? I work on GitHub Actions and would love to include some div\xe2\x80\xa6'
1107753720136130560,2019-03-18 21:20:42,"b'RT @electronjs: A big step for Electron: governance \xe2\x9a\x96\xef\xb8\x8f\n\nAs Electron looks to solidify its future, we\xe2\x80\x99ve implemented a governance structure\xe2\x80\xa6'"
1107716922102018051,2019-03-18 18:54:29,b'@robotterror This was something I was concerned about when I was considering the Speed :c'
