twitter_id,date,tweet
1110082062365523969,2019-03-25 07:32:42,"b'RT @ngmyconf: Trendy topics - NgRx, Nestjs , Rxjs, Micro-frontend, Schematics, NativeScript and more by @AlexOkrushko @DeborahKurata @Jecel\xe2\x80\xa6'"
1109835931576524800,2019-03-24 15:14:40,"b""RT @LamisChebbi: https://t.co/Jm2loKddeU is just stunning !\xe2\x98\x91\xef\xb8\x8fSelect the options matching your projects and you're done with all the instruc\xe2\x80\xa6"""
1109833838287421440,2019-03-24 15:06:21,b'@imNi3Tambe https://t.co/vq4JEBhdEs'
1109705061628698624,2019-03-24 06:34:38,"b'RT @gillcleeren: For all MVPs that I spoke with (and also all others!), don\xe2\x80\x99t forget that you can still submit for the Techorama Netherland\xe2\x80\xa6'"
1109704922742685696,2019-03-24 06:34:05,b'RT @nrwl_io: Proud to be sponsoring @ngmyconf  - Way to go @JecelynYeen ! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x98\x8a https://t.co/26Q965frTq'
1109301252528070656,2019-03-23 03:50:03,b'RT @esosanderelias: @angular CLI has released 8.0.0-beta.8 \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\n\n   \xf0\x9f\x91\x8a Typescript 3.3 \xf0\x9f\x94\xa5\n   \xf0\x9f\x91\x89 port 0 now works (auto free port!)\n   \xf0\x9f\x94\xa5 Angular\xe2\x80\xa6'
1109255091406536705,2019-03-23 00:46:37,"b""RT @jeffbcross: \xf0\x9f\x8d\xbe\xc2\xa0I'LL BE SPEAKING AT @NGCONF!\n\nAs usual, my talk will be about Angular app performance. Specifically, I'll be talking abou\xe2\x80\xa6"""
1109234772398620672,2019-03-22 23:25:52,b'@Ravi23feb @pluralsight Excellent!  Congrats!'
1109154077374504960,2019-03-22 18:05:13,"b'RT @aaronfrost: I want to see if I am brave enough to code live on @Twitch. Tomorrow night I am going to build, from scratch, an @angular c\xe2\x80\xa6'"
1109116604267155458,2019-03-22 15:36:19,"b'RT @oklandon: @vmbrasseur @TheLarkInn Code examples are ok, but watching somebody live code is a waste of time. Just post a link to the git\xe2\x80\xa6'"
1109115672078905345,2019-03-22 15:32:37,"b'RT @ngVikingsConf: At the current rate we are selling tickets we are going to be out in 2-3 weeks tops.. So, have YOU secured a ticket? :)\xe2\x80\xa6'"
1109115454474215426,2019-03-22 15:31:45,"b'RT @ngmyconf: Want to know more about Ivy, GraphQL, Machine Learning, Ng Upgrade, Web Component, Material CDK? Come join us #ngMY2019! @ger\xe2\x80\xa6'"
1109115404574580741,2019-03-22 15:31:33,b'RT @ngconf: \xf0\x9f\x93\xa2 Guess what?! @BenLesh is a member of the #ngconf2019 space team! \xf0\x9f\x92\xab\n\n@ladyleet and @BenLesh are teaming up for an exclusive wo\xe2\x80\xa6'
1108996358881435648,2019-03-22 07:38:30,"b""@cyenque As far as I know there is no *official* Angular certification. Hey @angular community ... correct me if I'm wrong here."""
1108564946122477568,2019-03-21 03:04:13,b'Fun magic tricks and great presentations! @angular @bradlygreen @sebawita on @NativeScript https://t.co/e6HdujUCTE'
1108564017600057344,2019-03-21 03:00:32,b'At the #mvpsummit at Microsoft this morning ... @angular meetup tonight at Google. @bradlygreen\nDoing magic tricks!\xe2\x80\xa6 https://t.co/hdXA9XqrLC'
1108538891764527104,2019-03-21 01:20:42,b'@loeffelmann @oliagavrysh Were you at the summit and I missed you?'
1108538592329007104,2019-03-21 01:19:30,b'RT @CProvinsal: Wrote my first blog post! \xf0\x9f\x94\xa5\xe2\x9c\x8d\xef\xb8\x8f #CodeNewbie \nhttps://t.co/kJRIXMlNpy'
1108475747318919169,2019-03-20 21:09:47,"b'RT @IanColdwater: My favorite interview question of all time: ""Teach me about something you know well, in five minutes or less. Doesn\'t hav\xe2\x80\xa6'"
