twitter_id,date,tweet
1109862982299848711,2019-03-24 17:02:09,b'Hello there https://t.co/iQMBGGwVZq'
1109692864341180417,2019-03-24 05:46:10,"b'For some reason I bought a 60% keyboard. To justify this sunk cost, I\xe2\x80\x99m learning to navigate without arrow keys. This feels WEIRD.'"
1109221111319937024,2019-03-22 22:31:35,b'@tehCanape @DUSKdev It\xe2\x80\x99s Guns of Navarone versus the Borg.'
1109176921055772678,2019-03-22 19:36:00,b'@McFunkypants I miss when game jam games were a steaming mess of C++ and SDL. I felt like every game I played was a surprise.'
1108182200900562946,2019-03-20 01:43:20,"b'Why does Henwen have a \xe2\x80\x9cnotice me, sempai!\xe2\x80\x9d face? #blackcauldron https://t.co/IfPm1NYwad'"
1108129217206804480,2019-03-19 22:12:48,b'@voxel @AlakajamBang bigger than what? https://t.co/qu3CWtqxbP'
1108033473669971968,2019-03-19 15:52:21,b'@voxel @AlakajamBang giant robots'
1107625287242735616,2019-03-18 12:50:21,"b'@mm_jj_nn @gillianmsmith The coffee packet is better than some of the other literature APA puts in their hotels, I\xe2\x80\xa6 https://t.co/Q6W5vfNST7'"
1107594874302410755,2019-03-18 10:49:30,b'@LiamLimeGames @voxel Or maybe ACK/FIN.'
1106945004671373312,2019-03-16 15:47:09,"b'@nullterm If you removed the number \xe2\x80\x9c7\xe2\x80\x9d from pi, it would still be infinite and non-repeating. We don\xe2\x80\x99t know if eve\xe2\x80\xa6 https://t.co/nKCr62hTBg'"
1106784570362327044,2019-03-16 05:09:39,b'@grumpygiant Can it receive faxes?'
1106589541765242880,2019-03-15 16:14:40,"b'@FlohOfWoe @Mario_Vilas @ArvidGerstmann As a bonus, sometimes you can write fairly naive, obviously correct code an\xe2\x80\xa6 https://t.co/Hk6io8qJnA'"
1106589218078220288,2019-03-15 16:13:23,b'@FlohOfWoe @Mario_Vilas @ArvidGerstmann Maybe your experiences are different. But \xe2\x80\x9cmagic\xe2\x80\x9d optimizations are often r\xe2\x80\xa6 https://t.co/wDkyCva1dT'
1106588673888313344,2019-03-15 16:11:13,"b'@FlohOfWoe @Mario_Vilas @ArvidGerstmann There are pathological cases for sure, but my experiences with e.g. stream\xe2\x80\xa6 https://t.co/pWd9WtLrjd'"
1106502595806289922,2019-03-15 10:29:11,b'@ArvidGerstmann This is beyond absurd. I don\xe2\x80\x99t need a compiler at all\xe2\x80\x94I could just use an assembler. But I can get\xe2\x80\xa6 https://t.co/UXzOsDo9kq'
1106389940525391872,2019-03-15 03:01:32,b'@grumpygiant That\xe2\x80\x99s fair. I think we shouldn\xe2\x80\x99t use precomposed characters.'
1106378198076383233,2019-03-15 02:14:52,"b'@GTElephant @docsquiddy Well, same studio :)'"
1106375760791498752,2019-03-15 02:05:11,b'@GTElephant @docsquiddy The Marathon trilogy technically couldn\xe2\x80\x99t do hitscan. If you set the projectile speed too h\xe2\x80\xa6 https://t.co/lFCrWdVarx'
1106373373615964160,2019-03-15 01:55:42,"b'@mikekasprzak My Geocities has a Free Kevin banner on it. Somehow I re-downloaded it, except for on gif, and now ho\xe2\x80\xa6 https://t.co/xpd7nqUNT8'"
1106372904910880768,2019-03-15 01:53:50,"b'@mikekasprzak Is it in reocities? Of course, that might be the same thing as https://t.co/0bXOHtohJ6. What\xe2\x80\x99s the URL?'"
1106366305102254082,2019-03-15 01:27:37,b'@docsquiddy The pen and paper RPG community has a bunch of opinions on this that are good to mine. 1: Don\xe2\x80\x99t test sk\xe2\x80\xa6 https://t.co/Z9yOx35iBV'
1106347937364242432,2019-03-15 00:14:37,"b'@grumpygiant What, in particular? I\xe2\x80\x99d say most of the broken parts were there for backward compatibility, right from the start.'"
1105174191601520640,2019-03-11 18:30:35,"b'@Foone And WORM lives on in the LTO standard, athough it\xe2\x80\x99s enforced by hardware and not by properties of the underlying medium.'"
1105119970424438784,2019-03-11 14:55:07,b'@jmsdnns @andy_kelley I wouldn\xe2\x80\x99t have guessed that finance ran on macOS.'
1104831797358182400,2019-03-10 19:50:01,"b""@jmsdnns @andy_kelley Today libc fstat is just a syscall, was there some point when it wasn't?"""
1104529903788150785,2019-03-09 23:50:24,b'@PiggyNukka I relate and yet it\xe2\x80\x99s very hard to do well at work after you work yourself to death.'
1104495565893586945,2019-03-09 21:33:58,b'@andy_kelley @pskocik HFS+ has second resolution. The fstat can\xe2\x80\x99t give you data which isn\xe2\x80\x99t recorded by the fs. If\xe2\x80\xa6 https://t.co/bh2L14W3Up'
1104495018809667585,2019-03-09 21:31:47,b'@jmsdnns @andy_kelley libc gives you whatever is provided by the kernel/fs'
1104243591826817029,2019-03-09 04:52:42,"b'@FuturistTeletex no joke I kind of like it neat, and that\xe2\x80\x99s the way I tried it first time I had it'"
1103716738741489667,2019-03-07 17:59:11,"b'@McFunkypants Switched from cross products to exterior products, bivectors, and multivectors. In my experience, thi\xe2\x80\xa6 https://t.co/2Og4tPIYM5'"
1103083033987608576,2019-03-06 00:01:04,b'@Foone \xe2\x80\x9cGAY\xe2\x99\xa5\xef\xb8\x8f and having a stroke\xe2\x80\x9d'
