twitter_id,date,tweet
1057205106049978368,2018-10-30 09:38:33,"b'@Kaushal28shah @StackOverflow everyone but at 100,000 reputation not 10,000 :-)'"
1056870776174010369,2018-10-29 11:30:03,b'100.000 reputation on #stackoverflow. \nThank you so much @StackOverflow ! https://t.co/OFkXPTfIge'
1049747492894625792,2018-10-09 19:44:40,b'@Google Does it work with Pixel 2?'
1049737500611219456,2018-10-09 19:04:57,"b'@lehtimaeki It seems an amazing device in any case... at the same time adopting ChromeOS in these ""tablets"" means to ""kill"" Android tablets.'"
1049736877861990402,2018-10-09 19:02:29,b'It seems amazing... https://t.co/Pd1NLo9x7u'
1049648875080945664,2018-10-09 13:12:48,"b""@lehtimaeki True, I really loved the G+ community, and I think that Twitter can't replace it. It is a pity."""
1049641268639358976,2018-10-09 12:42:34,"b""Absolutely true.\nGoogle simply can't be trusted.\nGoogle is the company that kills its own products.\nhttps://t.co/YobKfjQIn8"""
954267823076990976,2018-01-19 08:22:33,b'@TIM4UGiulia Grazie e buona giornata'
954256961050234880,2018-01-19 07:39:23,b'@TIM4UGiulia @TIM_Official Si soprattutto quando diventi ex cliente.'
954254115315568640,2018-01-19 07:28:04,b'@TIM4UGiulia @TIM_Official Si certo.'
954250256727896064,2018-01-19 07:12:44,"b""@TIM_Official @TIM4UGiulia @TIM4UStefano @TIM4UAlessio Se sei gi\xc3\xa0 cliente l'unico per avere una offerta allineata a\xe2\x80\xa6 https://t.co/onOvLUCVO8"""
869277268836851712,2017-05-29 19:40:25,b'@Mariuxtheone Congratulations Mario!'
808421970257858560,2016-12-12 21:23:12,b'In the top 1000 in the all time rank of stackoverflow. #androiddev https://t.co/DNqd4OlZVn'
783663879951900672,2016-10-05 13:43:23,"b'A TextInputLayout to format credit card number,drawing a padding without changing the value of the string.\xe2\x80\xa6 https://t.co/LwuZ3sSRDL'"
779217727189819392,2016-09-23 07:15:57,b'App Preview Messaging!\nhttps://t.co/1jXSor6yiC'
733572890604404737,2016-05-20 08:19:40,"b""@_rpiel Crashlytics/Fabric works very well.Firebase is a beta release but it is simple and I'd like to have all data in the same dashboard."""
733567686492356609,2016-05-20 07:59:00,b'The new Google Firebase Crash Reporting \nhttps://t.co/kCjYzOpInS #AndroidDev #Firebase #io16 https://t.co/gD1YDYDyWW'
732156389364277253,2016-05-16 10:31:00,b'Nuovo canale Twitter ufficiale Google Developers Italia ! https://t.co/8UXXUymwyw'
721023556000342016,2016-04-15 17:13:06,b'RT @androidstudio: Watch @RetoMeier demonstrate ~10 Android Studio protips in ~3mins. \nVideo: https://t.co/UiHEGbqUKQ Video too fast? https\xe2\x80\xa6'
718522711702704128,2016-04-08 19:35:38,b'SuperEarlyBird @Droidconit  2017! https://t.co/EbtlNvBneV'
705664605528391681,2016-03-04 08:02:07,"b'Too many options to navigate in the new Google Photos app.A bottom bar,a nav drawer and an overflow menu. https://t.co/SzoQs6dM00'"
