twitter_id,date,tweet
489804782622613504,2014-07-17 16:12:14,b'RT @MAS: Malaysia Airlines has lost contact of MH17 from Amsterdam. The last known position was over Ukrainian airspace. More details to fo\xe2\x80\xa6'
447310120540569600,2014-03-22 09:53:38,b'@vshaiena  HOOOOOOOOOOOOOOOLIIDAAAAAYSSSSSSSS!!!!!!!!!!!!!!! :D'
447308574624997376,2014-03-22 09:47:29,b'@vshaiena haha thanks'
447307641442672640,2014-03-22 09:43:46,b'@vshaiena nice big eye :P'
443157074264879104,2014-03-10 22:50:54,b'@987WakeUpCall @987fm  fact'
439609805255102464,2014-03-01 03:55:19,"b""@TrisyaZad haha, walking dead : trisya' dream edition"""
439057731396177921,2014-02-27 15:21:35,"b'Every Person have a secret, a secret that tell no body except him/her self, a secret that might change their life.......'"
433914744529907713,2014-02-13 10:45:11,b'@adelaine_joy Lol'
433897536818905088,2014-02-13 09:36:48,b'@adelaine_joy and you came'
431468975357038592,2014-02-06 16:46:34,b'@vshaiena what you did present will make history and change fulture.'
431444766325092352,2014-02-06 15:10:22,b'@vshaiena same here....'
431048237328244737,2014-02-05 12:54:42,b'@TrisyaZad welcome :) but that is the fact :D'
431016531615416320,2014-02-05 10:48:43,"b'@TrisyaZad Because you are kind girl, a kind girl will care about others even though people broke your heart :)'"
429629698839048195,2014-02-01 14:57:57,b'RT @SchaperEllen: Hahahahahahahahahahaha true! :D more than one girl/lady together=noisy ;) http://t.co/UJiDXUHA1X'
429433886007767040,2014-02-01 01:59:51,b'mrg :)'
429275225734119424,2014-01-31 15:29:24,"b""Said no more counting dollars\nWe'll be counting stars"""
429269257650573313,2014-01-31 15:05:41,"b""No right, no wrong, no rules for me,\nI'm free!"""
429251430558334977,2014-01-31 13:54:50,b'@TrisyaZad great thx :)'
429250998834458624,2014-01-31 13:53:07,b'@TrisyaZad hi 3sya'
429245661142204416,2014-01-31 13:31:55,b'@TrisyaZad hi pretty'
429142407997685760,2014-01-31 06:41:37,b'\xe9\xa9\xac\xe5\x88\xb0\xe5\x8a\x9f\xe6\x88\x90'
429075152924471296,2014-01-31 02:14:22,b'@TrisyaZad happy CNY :)'
428924491104669696,2014-01-30 16:15:42,b'Happy birthday to myself :)'
428917394954653696,2014-01-30 15:47:30,b'\xe5\x8f\x91\xe8\xb4\xa2\xef\xbc\x8c\xe5\x81\xa5\xe5\xba\xb7\xef\xbc\x8c\xe5\xbf\xab\xe4\xb9\x90'
428915803858038784,2014-01-30 15:41:11,b'@vshaiena agreed'
428829573946433536,2014-01-30 09:58:32,b'what a quiet new year for me......'
428566919482847232,2014-01-29 16:34:50,"b""@vshaiena Lol i've another song which named Let me go by AvrilLavigne  :D"""
428565956516782080,2014-01-29 16:31:01,"b""@vshaiena Me 2 :D, we'll always friend :D"""
428565468446601216,2014-01-29 16:29:04,"b""@vshaiena I am enjoyin Kelly Clarkson's song :D"""
428564870234001409,2014-01-29 16:26:42,b'@vshaiena yea :('
428564063090532352,2014-01-29 16:23:29,"b""@vshaiena And here I stand and here I'll stay"""
428503403287691265,2014-01-29 12:22:27,b'feelin lazy to pack...'
428129386009620480,2014-01-28 11:36:14,b'little tired though...'
427926368454574081,2014-01-27 22:09:31,b'cant wait till CNY holiday XD'
427131201925566464,2014-01-25 17:29:48,b'Freezing....'
424547848055566336,2014-01-18 14:24:29,b'Boring....'
424444983471378432,2014-01-18 07:35:44,b'L_______________O______________L'
424171834846613504,2014-01-17 13:30:20,b'Sleepy though....'
423817331043598336,2014-01-16 14:01:40,"b'Say no more counting homeworks, will be counting stars....'"
423388583081172992,2014-01-15 09:37:59,b'Frozen....'
423098794348007424,2014-01-14 14:26:28,b'@vshaiena i will always do it before the week or before the day :P'
423096961529434112,2014-01-14 14:19:11,b'@vshaiena is normal.....always last minute...'
423064248676122624,2014-01-14 12:09:11,"b'T____T it still dead, why dont you power on, common.....at least turn on the screen....:/'"
423003611774193666,2014-01-14 08:08:14,b'@TrisyaZad and yet you make it.....'
422965015155466240,2014-01-14 05:34:52,b'Why do my pocket love to make ramdom calls...?'
422740509845487616,2014-01-13 14:42:46,b'@vshaiena Relax ah.....'
422665438271528960,2014-01-13 09:44:27,b'Please dont die......i still need you # Samsung T~T'
422655830945591296,2014-01-13 09:06:17,"b""I really can't run...tired of running today #Physical Education"""
422388701256097793,2014-01-12 15:24:48,b'@vshaiena see ya ;)'
422385418240151553,2014-01-12 15:11:45,b'@vshaiena :)'
422384149509324803,2014-01-12 15:06:43,b'@vshaiena short cut to find friend when new to twitter ;)'
422384067699412993,2014-01-12 15:06:23,b'@vshaiena :D Friend'
422380986953785345,2014-01-12 14:54:09,b'Everyday YouTube buffering ...'
422379719380590592,2014-01-12 14:49:07,b'@vshaiena i knew u as junior instead though....'
422367828922998784,2014-01-12 14:01:52,b'Let me go......gotta let me go...'
422341977418395648,2014-01-12 12:19:08,b'Blue monday is following Sweet sunday'
422341578187743232,2014-01-12 12:17:33,b'@RoshanVengeance  whos @ twitter?'
