twitter_id,date,tweet
1108490597231407105,2019-03-20 22:08:47,"b'RT @JOTB19: Do not miss this talk by @helenaedelson about how to address core #distributedsystems challenges with #Akka Cluster, Multi-DC P\xe2\x80\xa6'"
1101689697804451840,2019-03-02 03:44:27,b'RT @AbuYoshi: My English professor used the N-word twice for \xe2\x80\x9ceducational purposes\xe2\x80\x9d so I chose my analysis paper on the use of the N-word b\xe2\x80\xa6'
1098796055523663872,2019-02-22 04:06:08,b'RT @khayes4days: Spread the word! @scaladays is giving away 20 #DiversityTickets  \xe2\x80\x94 you can apply for them here until April 7: https://t.co\xe2\x80\xa6'
1095826931390599170,2019-02-13 23:27:54,b'Looking to learn something new for #ValentinesDay - Check out my @pluralsight courses on @ApacheSpark and\xe2\x80\xa6 https://t.co/wrCbVBIHlV'
1084733548458921986,2019-01-14 08:46:45,"b""RT @francesc: Shopping for tiles and can't stop thinking about my GitHub activity \xf0\x9f\x98\x85 https://t.co/uiYYgmavS2"""
1084321630309044224,2019-01-13 05:29:57,b'RT @outsidemagazine: Controversial new research suggests that current guidelines for sun exposure are unhealthy and unscientific\xe2\x80\x94and quite\xe2\x80\xa6'
1082831802979500033,2019-01-09 02:49:54,"b'RT @lynnsweet: From @janschakowsky re #TrumpAddress \xe2\x80\x9cWhat began as a campaign gimmick designed to fire up white nationalist crowds, has mor\xe2\x80\xa6'"
1080504224516136960,2019-01-02 16:40:56,"b""RT @NicolasRinaudo: Thought it'd be appropriate to release the first version of these articles in the first day of 2019 - it's essentially\xe2\x80\xa6"""
1080000546449297408,2019-01-01 07:19:30,"b'RT @danagould: I don\xe2\x80\x99t bitch about Millenials\n\nJohn Entwistle once complained that he didn\xe2\x80\x99t understand rap. Pete Townsend said, \xe2\x80\x9cIt\xe2\x80\x99s not\xe2\x80\xa6'"
1077748114323329024,2018-12-26 02:09:08,"b'RT @buhakmeh: After 10 years of professional programming, I\'ve come to the realization that it\'s really really really hard to give ""good"" a\xe2\x80\xa6'"
1074019883598385153,2018-12-15 19:14:29,b'RT @TheLoveBel0w: Border agents have thrown out 3586 jugs of water left for migrants in the desert.\n\nThey did this knowing that 7000 migran\xe2\x80\xa6'
1065477926949449729,2018-11-22 05:31:48,"b""I'm super close to release my @apachekafka @pluralsight course. Get ready by watching some of my other courses on\xe2\x80\xa6 https://t.co/zhTXlR4yBF"""
1062092832851271682,2018-11-12 21:20:38,"b'@mmchougule @lightbend Primarily what I pointed out in the original post, but if you want to get technical - https://t.co/zjrmzFJpb8'"
1062092500867911686,2018-11-12 21:19:19,b'@usfslk @hepin1989 @lightbend https://t.co/HhtjcH6Pbn is the best place to see the developer stack.'
1060985374028242950,2018-11-09 19:59:59,"b'@hepin1989 @usfslk @lightbend Yes, paid - and utilizing all of the Lightbend stack :)'"
1060720128374046722,2018-11-09 02:26:00,"b'Looking to help other developers excel, while growing your own skills? @lightbend is hiring a Developer Support Eng\xe2\x80\xa6 https://t.co/P7AI6vjgEe'"
