twitter_id,date,tweet
634744727858978816,2015-08-21 15:11:50,"b'Congrats to SO on reaching 10M questions. Lots of people got help, myself included. Keep up the good work. #SOreadytohelp'"
372329959257153536,2013-08-27 12:09:14,b'@ClickMail unsubscribing from every spammer that uses your service gets old after the 425th try. Can you please stop emailing me?'
342354002379419648,2013-06-05 18:55:29,"b""Double standards: If it works on my PC and doesn't on another - not a bug. If it doesn't work on my PC, but does elsewhere - not a bug."""
342335089344118784,2013-06-05 17:40:20,"b""RT @JamesMcNellis: I like the null terminator because it looks like a person waving. '\\0'"""
337702406274027520,2013-05-23 22:51:42,"b'Nothing like that moment when you start seeing ""beyond"" the code.'"
337017039745077248,2013-05-22 01:28:18,"b""@JamesMcNellis how'd you realize they weren't unnec"""
325307920482979840,2013-04-19 18:00:26,"b""RT @sdt_intel: Clang is C++11 feature complete as of *just now*! Here's the final commit by Richard Smith: http://t.co/fmXzKaARL1 #llvm  ..."""
318989610866847744,2013-04-02 07:33:44,"b""Yay! I'm an MVP - http://t.co/IqfDcIqjyM"""
294243403938533376,2013-01-24 00:41:08,b'Programming applied to real-life situations - http://t.co/Piwmoy7h'
290756343751667713,2013-01-14 09:44:49,"b'RT @davidlohr: A programmer had a problem. He thought to himself, ""I know, I\'ll solve it with threads!"". has Now problems. two he'"
285137294040657920,2012-12-29 21:36:43,"b""New Year's party @ my place."""
274279752481771520,2012-11-29 22:32:43,b'Huge FIFA13 poster - http://t.co/ipSvCMxU'
266128404070424576,2012-11-07 10:42:10,"b'I wish facebook was more like StackOverflow. Upvote/downvote posts, vote to close or delete posts, or vote to migrate updates to other sites'"
260851486622367744,2012-10-23 21:13:35,b'And another - http://t.co/JEn3qJ1Y'
258992799398117377,2012-10-18 18:07:49,b'I find it ironic that Purify runs terribly slow... I guess only Valgrind having memory leaks would top that.'
256027242285645825,2012-10-10 13:43:45,"b""When I was told we'd be attending stand-ups every day, I was expecting laughs, not status reports..."""
255991989907099648,2012-10-10 11:23:41,"b""RT @_Tomalak: A developer's time is split between two main activities. Debugging and bugging."""
250583619989544960,2012-09-25 13:12:45,"b'ATM, 2 out of the top ten weekly SO users are Romanian. Pretty cool.'"
250362596052586496,2012-09-24 22:34:29,b'My first FAQ entry: http://t.co/nWckX4w2'
249173347169075200,2012-09-21 15:48:50,b'You can tell computers are getting better because you no longer have to restart them every 2-3 days because they slow down.'
248864424620863489,2012-09-20 19:21:17,"b""Just realized I've got something in common with @jonskeet - http://t.co/lkMhILoE :)"""
245801666723594240,2012-09-12 08:30:58,"b""Happy programmers' day!"""
245142966379884544,2012-09-10 12:53:32,"b""That's it, going for the C gold badge."""
243728116701347840,2012-09-06 15:11:25,"b""RT @TechCrunch: Bing It On: Microsoft Claims 2:1 Users Prefer Bing's Search Results Over Google's In Blind Test http://t.co/nzIMRnlj by  ..."""
243726136998260736,2012-09-06 15:03:33,"b""Note to self - don't open more than 10 tabs in Chrome when IncrediBuild is running..."""
241910328319934467,2012-09-01 14:48:11,"b'@JamesMcNellis Thanks, but I think Mysticial got there first with the branch predictor answer.'"
222713274326724609,2012-07-10 15:25:57,b'C++ - where a 513*513 matrix is faster to transpose than a 512*512 one - http://t.co/qAJMiizW'
210382531944660994,2012-06-06 14:47:58,"b""RT @azizansari: It's all good Twitterville. Parks and Rec is returning for Season 5! Still no word on Perfect Strangers though :("""
208507080775176194,2012-06-01 10:35:36,b'Only the 7th recipient of the bronze static badge... really? http://t.co/d8HrjoRt'
208473502192373762,2012-06-01 08:22:10,b'RT @parkylondon: Hello #Misys ! Remember to be yourself. Unless you can be Batman. Always be Batman.'
199275801609388032,2012-05-06 23:13:48,b'New favorite design pattern - strategy.'
187795401406025728,2012-04-05 06:54:47,b'http://t.co/f4JhspBq Great talk on ideas.'
182347482653655040,2012-03-21 06:06:42,"b""RT @funnyorfact: What is 'Deja Vu': When God thinks something is so funny he has to rewind it to show it to his friends."""
181624446010929152,2012-03-19 06:13:37,"b""RT @_Snape_: How did the Weasley twins have the Marauder's Map for so long &amp; never question why Ron was sleeping with a man named Pe ..."""
180686195565666305,2012-03-16 16:05:20,b'http://t.co/imuWG46H want!'
179693387182637057,2012-03-13 22:20:16,"b""There's 2 kinds of people that I hate: drunk people when I'm sober, and sober people when I'm drunk."""
179117546480476160,2012-03-12 08:12:05,"b'Apparently, the weapon industry now looks for advice on StackOverflow http://t.co/7kt1xxEQ'"
177754862656815107,2012-03-08 13:57:16,b'I feel like a Smart taking up a parking space is a terrible waste of space.'
177351191968231425,2012-03-07 11:13:13,b'RT @codinghorror: The dirty little secret of all programming. http://t.co/E0b63UE7'
176742464537899011,2012-03-05 18:54:21,b'http://t.co/6e7XxKCN void main()... Why do I get the warning that the return type of main is void?... Really?'
176563772901699584,2012-03-05 07:04:18,b'RT @wired: 10 Years of Gorgeous Images of Earth From Space http://t.co/mb590Qwq'
