twitter_id,date,tweet
927076224945471488,2017-11-05 07:32:50,b'https://t.co/dlAOZxCvHv'
891536675725131776,2017-07-30 05:51:22,b'https://t.co/wkzVZ6RvVY'
765893276138299392,2016-08-17 12:49:21,"b""@katiehuangux who's cool! Thanks!"""
765768586266832896,2016-08-17 04:33:52,"b""@katiehuangux @socaluxcamp I almost went but I couldn't :("""
741088950157205505,2016-06-10 02:05:49,b'@katiehuangux yo @'
714647235636539392,2016-03-29 02:55:53,b'https://t.co/55mhLNw1rN'
661899895343747072,2015-11-04 13:36:47,b'https://t.co/AoqNVJ1qDX'
649961192501350400,2015-10-02 14:56:38,b'RT @universalhub: The best Boston Missed Connection ever http://t.co/6ahC6eGckx'
600527384266215424,2015-05-19 05:04:20,b'Scuba diving is so fun...'
592680767198797825,2015-04-27 13:24:41,b'Bring me that horizon'
571156185568518144,2015-02-27 03:53:40,"b""RT @mshelton: Seems we've been waiting for net neutrality to unleash llamas &amp; This Dress"""
571156142396563457,2015-02-27 03:53:30,b'Something to do http://t.co/IKePxAd8XU'
555541545282052096,2015-01-15 01:46:40,b'http://t.co/ult1JSYaTr'
555541434690850816,2015-01-15 01:46:14,b'RT @Forbes: The 14 principles of the future organization: http://t.co/wCLlMyFvI3 http://t.co/6LrikqbAsp'
481348163261825026,2014-06-24 08:08:39,b'@leftnut hey you'
478013312026697728,2014-06-15 03:17:09,"b'RT @FastCoDesign: 4 steps for piercing through the fog of a nascent idea, from @ScottDAnthony: http://t.co/zLoYG6BKSL http://t.co/v29Y2DMJDH'"
478013252165595137,2014-06-15 03:16:55,"b'RT @EconAmericas: Humanity has wasted 16,000 years watching ""Gangnam Style""&gt; What we could have done instead http://t.co/nfAPHChj5y http://\xe2\x80\xa6'"
435794932620472321,2014-02-18 15:16:23,b'RT @newrelic: [GIVEAWAY] Attention Web and Mobile Devs! Get 1 year of Learnable when you try New Relic: http://t.co/JOyDyN8Z1j http://t.co/\xe2\x80\xa6'
424030555173171200,2014-01-17 04:08:57,b'@MOANuhhh hey you!'
411938483964350464,2013-12-14 19:19:22,b'http://t.co/eEH555TWTr'
396150936118128641,2013-11-01 05:45:17,b'RT @olshansky: Surface Pro: makes for a great portable charging station. http://t.co/VB9HgVKKuv'
393224689859821568,2013-10-24 03:57:26,b'RT @FT: The control freak formula at Apple and Burberry - the strategies of the two groups are related: http://t.co/8Ont7l64SH'
393224660789100544,2013-10-24 03:57:19,"b""RT @ForbesTech: Apple's iOS is dominating in enterprise usage http://t.co/d2Gx44LiwU"""
393224623040385024,2013-10-24 03:57:10,"b""RT @tr87: Hands-on with NVIDIA's Gamestream, the evolution of Shield's PC streaming tech (video) http://t.co/rEnqZj7ojJ"""
382204052961910785,2013-09-23 18:05:21,"b'RT @IncredibleViews: If Jupiter was as close to Earth as the Moon is, this is what it would look like http://t.co/DEv6t9eZI8'"
382204007868940288,2013-09-23 18:05:11,"b'RT @MrPatrickRogers: Design makes what is complex feel simpler, and what is simpler feel richer.'"
381175947791052800,2013-09-20 22:00:02,"b""RT @MrPatrickRogers: Now that's a brave photographer. http://t.co/RO95pglElU"""
381102494559911936,2013-09-20 17:08:09,b'RT @cbehrlich: Join the UXPA Los Angeles Board of Directors --&gt; Submission Form: http://t.co/uXZDaPJ0gk . @UXPAofLA #LAUX @IxDALA @IxDALosA\xe2\x80\xa6'
352419172292108289,2013-07-03 13:30:53,b'@StandRight8 the time of the alphabet is actually #TwinkleTwinkleLittleStar'
352153712103403520,2013-07-02 19:56:02,"b""RT @lukestokes: As a programmer, it's easy to be paralyzed with lack of confidence in your skills. Instead: solve problems, add value, keep\xe2\x80\xa6"""
347072053641359360,2013-06-18 19:23:20,b'@BrendanGamache hello! http://t.co/YKDNyU4w1p'
332914597654822912,2013-05-10 17:46:40,"b""RT @Lizzyfit: #abcDRBchat: #Maternal Health is the key to #Family Health: http://t.co/oIHSx1wEsa Summary blog of this week's .@drrichardbes\xe2\x80\xa6"""
332914555615318018,2013-05-10 17:46:29,b'RT @MarketWatch: Facebook in talks to buy traffic and navigation mobile app Waze for $1 billion http://t.co/bG6KhIez7Q $FB'
309494172841295872,2013-03-07 02:42:15,b'RT @itsrachelemma: Where Big Data meets Big Brother: Tracking sensors are entering the workplace.  http://t.co/co7OLHOzuo'
294653502234431488,2013-01-25 03:50:43,"b'RT @nytimes: J.J. Abrams to direct the next ""Star Wars"" movie, which is expected to be released in 2015 http://t.co/EGZeYImE'"
266020799314530305,2012-11-07 03:34:35,"b'""Our greatest glory is not in never falling, but in rising every time we fall."" -Confucius'"
256551696434622464,2012-10-12 00:27:46,"b""Don't mess with Liam Neeson http://t.co/NWc3AqOP"""
243496699279077376,2012-09-05 23:51:51,"b""RT @MichaelAllstar: Check out our Kickstarter and help us make our new album! There's some really cool stuff in there! http://t.co/HKkQnHHb"""
239170196206657537,2012-08-25 01:19:53,b'New NASA Video Captures Drama of Mars Landing http://t.co/Z7KNRqOk'
239168423941263360,2012-08-25 01:12:50,b'Jury Awards $1 Billion to Apple in Samsung Patent Case http://t.co/Q0khxtIO'
233233990390255618,2012-08-08 16:11:31,b'RT @mashable: Hashtags Help Coordinate Relief Efforts in Philippine Floods - http://t.co/exu7iioC'
