twitter_id,date,tweet
1107657234979479552,2019-03-18 14:57:18,"b""This is a test of/on humanity, and the robots might call it a 'reverse Turing test'. Jokes on us :))"""
1107656693570330625,2019-03-18 14:55:09,b'Will humans understand sarcasm between robots?'
1106294318715858949,2019-03-14 20:41:34,"b'RT @fermatslibrary: Happy \xcf\x80 day!\n\n\xcf\x80=3\xef\xb8\x8f\xe2\x83\xa3,1\xe2\x83\xa34\xef\xb8\x8f\xe2\x83\xa31592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117\xe2\x80\xa6'"
1101598265781428225,2019-03-01 21:41:07,"b""@shinynew_oz I'm starting at Google SRE next Monday :) \nI wish you the best on your next gig."""
1098596047050498048,2019-02-21 14:51:23,"b'Many in academia dream of having their publications cited by many others, alas, they constantly get scythed by the peer review committee.'"
1095979562025009152,2019-02-14 09:34:24,"b'""An Ode to Opportunity"" \xe2\x80\x93 Curiosity, c. 2019\n@PulitzerPrizes any chance the ingenious @MarsCuriosity can be nominat\xe2\x80\xa6 https://t.co/m50Gm1WAgk'"
1093920788586119174,2019-02-08 17:13:34,"b'RT @PACKET_TEL: Oh, we also will be posting a lot of packet memes since thats our brand. https://t.co/zWmwMd0ttG'"
1093515468575526918,2019-02-07 14:22:58,"b'RT @fermatslibrary: ""I\'m doing a (free) operating system (just a hobby, won\'t be big and professional like gnu)\xe2\x80\x9d\n\nLinus Torvalds, a 21 year\xe2\x80\xa6'"
1091051268662067200,2019-01-31 19:11:07,b'RT @year_progress: \xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 8%'
1087390089804742660,2019-01-21 16:42:54,"b'Similar to how ""big"" companies execute planned outages periodically so engineers do not get too illusory about the\xe2\x80\xa6 https://t.co/yjW2R6qzLQ'"
1086754590631043074,2019-01-19 22:37:39,b'That should have read: 100 \xe2\x89\xa0 99 + 0.99'
1086753599424811009,2019-01-19 22:33:43,b'RT @markessien: 2019 vs 2009 https://t.co/bPBcq4Xvfi'
1086687724218634240,2019-01-19 18:11:57,b'A 1% performance fall cannot be corrected by a successive 1% performance increase: 100 - 1 \xe2\x89\xa0 99 + 0.99\n\nBe careful\xe2\x80\xa6 https://t.co/42VBonL17n'
1074308121206685698,2018-12-16 14:19:50,"b'""The most functional systems are usually written by those who use them.""\n\xe2\x80\x93 SRE, How Google runs production systems'"
1069980917953937408,2018-12-04 15:45:04,"b'RT @old_sound: ""Betty said she spent half her time trying to figure out what people needed in computers, and the other half convincing an e\xe2\x80\xa6'"
1069295340862492672,2018-12-02 18:20:50,"b'RT @timnitGebru: So after all this, some people were granted visas like yesterday/today. We bought them flights, but didn\xe2\x80\x99t realize that if\xe2\x80\xa6'"
1068141979656179714,2018-11-29 13:57:47,b'The earth is locally flat and globally geoid. Case closed!'
1068125186489282568,2018-11-29 12:51:03,"b'RT @iaboyeji: I really wish there was someone, anyone trying to apply the principles of  Blitzscaling and high growth entrepreneurship to l\xe2\x80\xa6'"
1068110862030958593,2018-11-29 11:54:08,b'AI to flag and prevent re-sharing of spam messages? Chat apps are quite a mess these days because spam.'
