twitter_id,date,tweet
1101163383997509633,2019-02-28 16:53:04,b'RT @heapwolf: Want a ticket to @dtnconf but can\xe2\x80\x99t afford one? Money sucks. DM me. It\xe2\x80\x99s nearly sold out. https://t.co/X6fWRjEsH2'
1092800138093961218,2019-02-05 15:00:30,b'@_copypasta :+1: please host meme review. would watch.'
1091015083604488193,2019-01-31 16:47:20,b'RT @DTNConf: Announcing speaker for the May 2019 edition of DTN \xe2\x80\x94 @feross is the creator of @BitMidi @WebTorrentApp @StandardJS &amp; @StudyNot\xe2\x80\xa6'
1081239362971537408,2019-01-04 17:22:07,"b'RT @DTNConf: Announcing Speaker for our 2019 Event in #Berlin! @whoisgina! Coordinator of https://t.co/cBWCy1Yru5, maker, hacker and founde\xe2\x80\xa6'"
1065265035415601152,2018-11-21 15:25:50,b'RT @DTNConf: Announcing speaker @dominictarr! https://t.co/CaqTXhCCFg'
1044638869545791489,2018-09-25 17:24:49,b'RT @andrestaltz: Introducing... Manyverse\nA social network off the grid\n\nhttps://t.co/IDjaWB3OF2 https://t.co/RUbPEidKFM'
995331155690950658,2018-05-12 15:53:34,"b'RT @HowardACornwell: @rohanswelt @clairlemon Colonialism, slavery, segregation, imprisonment, and violence are concepts found in many cultu\xe2\x80\xa6'"
992534062475763715,2018-05-04 22:38:55,b'RT @wikileaks: https://t.co/ANIeahpTWz'
990946320948105216,2018-04-30 13:29:48,b'RT @unclebobmartin: @sarahmei Complaining about \xe2\x80\x9ccraftsman\xe2\x80\x9d as a word is petty and ignorant of the English language.'
989504107856695296,2018-04-26 13:58:58,b'@Torwegia It also ignores that time &amp; money are interchangeable. If your kids dont have a credit card they will gri\xe2\x80\xa6 https://t.co/IYMGKTFTuN'
984759680793800704,2018-04-13 11:46:18,"b'RT @officialmcafee: For those of you waiting for an opportunity to shake my hand, spit in my face or spend an hour screaming your argument\xe2\x80\xa6'"
982349086916358144,2018-04-06 20:07:28,"b'@kangax I prefer typescript because it cares about being fully typesafe. It forces you to write dumber, less dynamic code. Also tooling.'"
981535845646729216,2018-04-04 14:15:56,b'@BenLesh Everyone has an archive of npm. It\xe2\x80\x99s just a cache of every tarball you used need for prod. Use git+ssh as\xe2\x80\xa6 https://t.co/LENdrlsMlY'
977202176241078272,2018-03-23 15:15:29,b'RT @keiichiban: Introducing Virtual Wearables https://t.co/LPvknKBlnO'
973723688511164416,2018-03-14 00:53:12,b'@gozala Source file is just a serialized ast ? Most type checker implementations work with AST ?'
968411169349357575,2018-02-27 09:03:09,b'RT @UriShaked: TypeWiz is a new tool that automates adding missing types to your @typescriptlang codebase \xe2\x9c\xa8\nhttps://t.co/czbXD1s6MU'
965239886155583489,2018-02-18 15:01:36,"b'RT @VitalikButerin: Reminder: cryptocurrencies are still a new and hyper-volatile asset class, and could drop to near-zero at any time. Don\xe2\x80\xa6'"
964103093280563200,2018-02-15 11:44:24,b'@0x00A @andrestaltz Async classes are beautiful.'
945613631902793728,2017-12-26 11:13:53,b'RT @infosec_au: How to NOT win bug bounties:\n1. Treat the people triaging reports like shit:\nhttps://t.co/b0oHRvTV6v\nhttps://t.co/NsgLQoCD4\xe2\x80\xa6'
942970866337378304,2017-12-19 04:12:28,"b""RT @dominictarr: I'm just gonna keep writing ES5 until it comes back into fashion"""
