twitter_id,date,tweet
1108723770355793920,2019-03-21 13:35:20,b'RT @wmarybeard: I don\xe2\x80\x99t often sign petitions but I have just signed the \xe2\x80\x9crevoke article 50\xe2\x80\x9d petition. Do consider it. Https:https://t.co/WK\xe2\x80\xa6'
1108316445103013890,2019-03-20 10:36:46,"b""@RonanMDoyle Out of interest, I don't suppose you looked at your tree with treegubbins https://t.co/8lxnxoUwL9 - on\xe2\x80\xa6 https://t.co/2pPbkt4TH6"""
1108313918252961792,2019-03-20 10:26:44,b'Really interesting new paper from @RonanMDoyle et al https://t.co/7tS3PfUIDC - interesting insights into how bioinf\xe2\x80\xa6 https://t.co/0oTGznEs5D'
1106204608379215878,2019-03-14 14:45:05,b'Discovery of the day: dbplyr - beautiful way to work with sql databases using tidyverse #rstats'
1105772798348271616,2019-03-13 10:09:14,"b'RT @Voicedoctor_uk: London friends - if you are free on Thursday next week, do come to this concert by @holstsingers @StephenDLayton in the\xe2\x80\xa6'"
1103796349886181376,2019-03-07 23:15:32,b'#ParkinsonsDrugTrial absolutely incredible programme and powerful insight into so many aspects of clinical research'
1103639631466250247,2019-03-07 12:52:47,b'Anyone else getting really really slow ftp speeds from @emblebi - have tried on different machines and different ne\xe2\x80\xa6 https://t.co/8nwmMKGtiv'
1103246992321495041,2019-03-06 10:52:34,b'@biorxivpreprint can you please link  https://t.co/LqlOmc8LsB to the published article in EID? Title changed a bit\xe2\x80\xa6 https://t.co/1n3uT50l2C'
1101662559613050880,2019-03-02 01:56:36,b'RT @DJFMack: Antibiotic management of urinary tract infection in elderly patients in primary care and its association with bloodstream infe\xe2\x80\xa6'
1101661243889332231,2019-03-02 01:51:23,b'RT @cdaili: Super excited to share our preprint on studying the public health relevance of antibiotic resistance in sewage! Many thanks to\xe2\x80\xa6'
1100091676033499136,2019-02-25 17:54:28,"b""RT @DrRosena: BREAKING: It's just been announced that Labour will back a public vote on Brexit. \n\nIt's absolutely right that the people hav\xe2\x80\xa6"""
1099284528336695296,2019-02-23 12:27:09,b'RT @downingtim1: Great work on the secrets of E. coli ST131 genome evolution using #Nanopore #gridion &amp; #Illumina sequencing by @aedecano @\xe2\x80\xa6'
1099284350573658114,2019-02-23 12:26:27,"b'@con_meehan Thanks Connor, big team effort with RIVM and strains contributed from all over the world. We hope it will prove useful!'"
1098175519936389121,2019-02-20 11:00:21,b'@emblebi @enasequence sure - do they have an email?'
1098170915878301696,2019-02-20 10:42:04,b'@emblebi just downloading fastqs from ENA'
1098161404975165440,2019-02-20 10:04:16,b'@emblebi download via your ftp is excruciatingly slow (92Kb/s currently). Can I do anything to speed it up..?'
1097561432076550146,2019-02-18 18:20:11,b'Blimey this will lower my threshold for a urinary bHCG.. \nhttps://t.co/FKILNlWIU6'
1093298897815040000,2019-02-07 00:02:24,"b'https://t.co/rUvQ1M07YZ - might be very late to the party, but this is a really useful tool for distinctive color palettes for plots'"
1092519611101339648,2019-02-04 20:25:47,b'Really useful bit of software https://t.co/bdhHABrY53'
1092187306105155587,2019-02-03 22:25:20,b'@overleaf can you export to word yet? I know this has been in development for a while?'
1092120028391051265,2019-02-03 17:58:00,b'@Google @Google my access has been restored - thankyou so very much!  I have learnt my lesson and changed my recove\xe2\x80\xa6 https://t.co/z75vcVNNQn'
1091367957807185925,2019-02-01 16:09:32,b'@gmail'
1091367786625073152,2019-02-01 16:08:51,"b'@Google please help, locked out of my google account - total disaster because all my academic work is stored there.\xe2\x80\xa6 https://t.co/rYyiqwlLpB'"
1090026851907653632,2019-01-28 23:20:27,b'RT @RonanMDoyle: Our new paper is finally out! Different Mycobacterium abscessus populations in different parts of lung. Sputum sampling no\xe2\x80\xa6'
1089526066694246401,2019-01-27 14:10:31,"b'RT @holstsingers: A feast for the ear, food for the soul @TrinCollChoir @jonathandove @StephenDLayton https://t.co/8kcXwLK4hk https://t.co/\xe2\x80\xa6'"
1089524626139607040,2019-01-27 14:04:47,b'RT @NicStoesser: Doing hybrid assemblies for complex bacteria? Not sure what long reads to use? We hope our work can help - with @Nicola_De\xe2\x80\xa6'
1089481998014603265,2019-01-27 11:15:24,b'RT @AnitaSchurch: Genomes of a major nosocomial pathogen Enterococcus faecium are shaped by adaptive evolution of the chromosome and plasmi\xe2\x80\xa6'
1088738302029635584,2019-01-25 10:00:13,"b'RT @johnlees6: Our method for bacterial genomic epidemiology, PopPUNK, has been published:\nhttps://t.co/6Ml3fTFZHk\nUse it to calculate core\xe2\x80\xa6'"
1088049910241546240,2019-01-23 12:24:48,b'Interesting article: https://t.co/Yj9X9or1Lf'
1086415558629879811,2019-01-19 00:10:28,b'@LucidAlign linux version?'
1085993861997101056,2019-01-17 20:14:48,"b'RT @ljacob: [THREAD] DBGWAS is now published. We provide a free, fast,\nuser-friendly software for bacterial GWAS. No reference genome or\nan\xe2\x80\xa6'"
1084090733114609664,2019-01-12 14:12:26,b'RT @ThwaitesGuy: Limited contribution of non-intensive chicken farming to ESBL-producing  Escherichia coli  colonization in humans in Vietn\xe2\x80\xa6'
1084090585382834177,2019-01-12 14:11:51,b'RT @philipwfowler: Machine Learning works waaay better on this than I thought it would. https://t.co/mgKcFE6NgH'
1082754485171175427,2019-01-08 21:42:40,b'RT @biorxiv_micrbio: Reconciling the potentially irreconcilable? Genotypic and phenotypic amoxicillin-clavulanate resistance in  Escherichi\xe2\x80\xa6'
1078045314597220353,2018-12-26 21:50:06,"b'Great to see our article on clarithromycin resistance in M. abscessus properly in print, lots of work to do for the\xe2\x80\xa6 https://t.co/w8aCUiPcPu'"
1075005453531254784,2018-12-18 12:30:47,"b'what a total nightmare upgrading to #rstats version 3.5 was, or is this just me?'"
1074963939400802305,2018-12-18 09:45:49,"b""@mlyallp @LDSlavin He's already got the once in royal solo.."""
1074955144725450753,2018-12-18 09:10:52,b'Very excited for @univofstandrews @UStAAlumni Carol service in London Later today!  Going to be the most tenor heav\xe2\x80\xa6 https://t.co/eKPD6SaJu0'
