twitter_id,date,tweet
1109180698315743232,2019-03-22 19:51:00,"b'Q: What do Canadian programmers write their Excel macros in?\n\nA: VB, Eh?\n\n(direct groans to @drosenwasser)'"
1109146880062087168,2019-03-22 17:36:37,b'@garybernhardt @alephnaught2tog I just made it up to fit in a tweet. Definition: Common pattern of storing a value\xe2\x80\xa6 https://t.co/Hz2idEIbjU'
1108826286372220928,2019-03-21 20:22:42,"b'@bterlson Gonna start being like ""This decision must have been made at over 1,000 ppcm CO2""'"
1108811131026468864,2019-03-21 19:22:29,"b""@pelotom Haven't I already though"""
1108808454439747584,2019-03-21 19:11:50,"b""Me last night: I'm so productive; this documentation I'm writing feels like some of my very best work\n\nThis morning\xe2\x80\xa6 https://t.co/oHxSnnQRDl"""
1108807896794456065,2019-03-21 19:09:37,"b'@code_punkt MyType[""foo""] ?'"
1108806025589579776,2019-03-21 19:02:11,b'@code_punkt type MyArrayElement = MyArray[number];'
1108785647517491200,2019-03-21 17:41:13,"b'""We\'re not going to add this to the lib file until it\'s standardized""\n""But it\'s present in a *majority* of running Chrome versions!""\n\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'"
1108782841767157760,2019-03-21 17:30:04,"b'@ericmaino @webprofusion This and the fact that it has zero typo resistance makes it awful. Typing ""cdoe"" should be\xe2\x80\xa6 https://t.co/8gLUIDdExr'"
1108774142415765505,2019-03-21 16:55:30,b'TIL https://t.co/O2YCfNvAae'
1108508593525915649,2019-03-20 23:20:18,"b'Win some books, folks! https://t.co/YzCPSftVnJ'"
1108457157387669504,2019-03-20 19:55:55,b'Windows need something between the morass that is the allegedly-searchable Start Menu and always-there pinned taskb\xe2\x80\xa6 https://t.co/Ydc8foGpdg'
1108456704537030656,2019-03-20 19:54:07,b'RT @markdalgleish: https://t.co/VBNfczn00i'
1108110074239549440,2019-03-19 20:56:44,b'@garybernhardt @SophieMcCallDSM (in our defense the initial construct that allowed Turing completeness was not really intentional)'
1108109733997604864,2019-03-19 20:55:22,"b'@garybernhardt @SophieMcCallDSM Because we like making bold decisions, TypeScript does both https://t.co/yoOWXtC8vN'"
1108066792893632512,2019-03-19 18:04:44,"b'RT @mattbierner: It took six months, touched tens of thousands of lines of code, and involved at least 40 contributors but the @code source\xe2\x80\xa6'"
1108047984338432000,2019-03-19 16:50:00,b'@aoberoi @drosenwasser @sindresorhus @pelotom If the thing someone was doing with your code was something you inten\xe2\x80\xa6 https://t.co/jq5Mt7CLAf'
1108044712076705792,2019-03-19 16:37:00,"b'These two different code samples behave inconsistently, which must indicate a bug\n\xf0\x9f\xa4\x9c \xf0\x9d\x98\x83\xf0\x9d\x98\x80 \xf0\x9f\xa4\x9b\nYou should special-case th\xe2\x80\xa6 https://t.co/desaVnJ9qv'"
1108038783574827008,2019-03-19 16:13:27,b'@amandaksilver \xd5\x81002'
1107862063303450624,2019-03-19 04:31:13,"b""@drosenwasser @aoberoi @sindresorhus @pelotom Semver's fine as long as you very explicitly define what constitutes\xe2\x80\xa6 https://t.co/72j0HszXHL"""
1107700803412713473,2019-03-18 17:50:26,b'Talking about TypeScript today at #MVPSummit. Come find me! https://t.co/SvKCR6L99O'
1107691301141512194,2019-03-18 17:12:40,"b""@goenning @typescriptlang @drosenwasser I'd be very wary of pushing the incremental file into source control. It co\xe2\x80\xa6 https://t.co/The6nBpJRK"""
1107458517269516288,2019-03-18 01:47:40,b'RT @satyanadella: Hate and violence have no place in our society. We mourn all the victims of the horrific attack in New Zealand including\xe2\x80\xa6'
1107319767654817792,2019-03-17 16:36:20,"b'RT @thekiba_io: \xe2\x9a\xa1\xef\xb8\x8f Now #TypeScript 3.4 RC supports incremental build! Just use --incremental flag or put in tsconfig.json:\n\n""compilerOption\xe2\x80\xa6'"
1107117344310988800,2019-03-17 03:11:58,"b'@seldo Mint, orange, rose, lavender, juniper, vanilla, those are the essentials you should have on hand. Anything else is a bonus.'"
1107116354778222592,2019-03-17 03:08:02,"b'@seldo I hadn\'t thought about it very hard and figured there was some core set of ""essential"" fragrances you might\xe2\x80\xa6 https://t.co/MShXUMrurO'"
1107113061020663809,2019-03-17 02:54:57,b'I wonder if they went to the market'
1107112984998895616,2019-03-17 02:54:39,"b""It's nice that UPS put my package on a truck to tool around Seattle without actually getting delivered for two days\xe2\x80\xa6 https://t.co/rgPs6fXttI"""
1107103242456961024,2019-03-17 02:15:56,b'@kitsonk @Dru89 Every good issue deserves a duplicate'
1106692886635016192,2019-03-15 23:05:20,b'RT @typescriptlang: The TypeScript 3.4 Release Candidate is here to try - let us know what you think! https://t.co/b8xE9vucOK'
1106601654097338368,2019-03-15 17:02:48,b'Gonna pick up a dozen different stage 0 presets in Babel and start writing mysteryfuturecode based on TC39 proposal\xe2\x80\xa6 https://t.co/xLndCwMHeo'
1106600655681052672,2019-03-15 16:58:50,b'RT @ashleyfeinberg: crazy that beto is satoshi nakamoto'
1106326658699530240,2019-03-14 22:50:04,"b""@zennioptical But it could just be a dropdown instead of Import (wat), Open Dropdown, Select Rx (there's only one),\xe2\x80\xa6 https://t.co/0xFnHo2pKE"""
1106250613870850048,2019-03-14 17:47:54,"b'Total mystery to me: ""use the same prescription as last time"" is six clicks of work at @zennioptical when it should\xe2\x80\xa6 https://t.co/ueN9CYcnND'"
1106241567612788736,2019-03-14 17:11:57,b'@notlaforge The only rule is there are no rules \xf0\x9f\x91\xbf'
1106232714129100805,2019-03-14 16:36:46,b'A further subset of those programmers allow a computer to check if the types they wrote down were the types they actually used'
1106232477410947074,2019-03-14 16:35:50,"b'All programs have types, but only some programmers choose to write them down so that the next person can find out w\xe2\x80\xa6 https://t.co/batrfsBvda'"
1106031647336456192,2019-03-14 03:17:48,"b""YOUR FUNCTION SIGNATURE IS WRITING CHECKS YOUR IMPLEMENTATION CAN'T CASH"""
1106029394085142528,2019-03-14 03:08:51,"b'@seldo ""I wasn\'t even supposed to be here this 4-year period!""'"
1106028864726228992,2019-03-14 03:06:45,"b""@garybernhardt * If findUser wants to have a more useful return type, you're out of luck\n* Callbacks don't believe\xe2\x80\xa6 https://t.co/RemzPW3A8C"""
1106028440518430721,2019-03-14 03:05:03,b'@garybernhardt Some code that does have serious caveats: https://t.co/wSZUlwzvVu'
1106026597910372353,2019-03-14 02:57:44,b'@BrandonBloom @garybernhardt @rauchg strictFunctionTypes disables function bivariance FWIW'
1105951874623004672,2019-03-13 22:00:49,"b""I don't think people realize how nightmareish it is to have bug reports that are just links to 80-file repos. How a\xe2\x80\xa6 https://t.co/tpT43sNGYb"""
1105922061631873024,2019-03-13 20:02:21,"b""@freezydorito It's the guy from Local H in the Bound for the Floor video, obvs https://t.co/Gj668Subc5"""
1105610226865070080,2019-03-12 23:23:13,"b'""For consistency, this program should be treated identically to this nearly-equivalent program"" is always at most t\xe2\x80\xa6 https://t.co/8b5Mk7xKKS'"
1105609883871670277,2019-03-12 23:21:52,"b'One thing I\'ve learned viscerally is that in a sufficiently complex system, you can use ""consistency"" to justify any behavior.'"
1105241762862260224,2019-03-11 22:59:05,b'(this code prints nothing)'
1105241701554126853,2019-03-11 22:58:50,b'I continue to lie in wait for the Underhanded JavaScript contest https://t.co/jusvBXBtdK'
1105160911910666241,2019-03-11 17:37:48,b'@teamskum @jessfraz The picture of this alone put out enough EM noise to reboot my computer'
1105158641571655680,2019-03-11 17:28:47,"b""@bterlson \xf0\x9f\x94\x98 I don't know which is which"""
