twitter_id,date,tweet
1109237605999304705,2019-03-22 23:37:08,"b'@vincent13031925 Reminds me of Bitcoin. According to the media, Bitcoin had a rough year every year since 2010'"
1109088435854282753,2019-03-22 13:44:23,"b""@francispouliot_ Educated guess: if you know the hash value of the genesis block you already know what's the correc\xe2\x80\xa6 https://t.co/h0EY5hvVIA"""
1108831237655924749,2019-03-21 20:42:22,b'@Ledger Real Hodlers are patient. So not an issue really :-)'
1103984612068524033,2019-03-08 11:43:37,"b'@ID_AA_Carmack Hi John, do you remember why you called the Duke3D build engine ""held together with bubble gum""?. Be\xe2\x80\xa6 https://t.co/qc4ECIRkq6'"
1103368664575893504,2019-03-06 18:56:03,"b""@FlatEarthOrg @elonmusk It's flattening"""
1103193808131383296,2019-03-06 07:21:14,b'@ID_AA_Carmack https://t.co/PmINupjfUE'
1100389332484009984,2019-02-26 13:37:15,"b""@NickSzabo4 @realDonaldTrump @Varneyco Mr. Trump, you need to fence the entire US, the wall can't simply stop at th\xe2\x80\xa6 https://t.co/bODNj4J8bG"""
1099270908714323968,2019-02-23 11:33:02,b'@aantonop @stevewoz Just went through all the BS encryption export nonsense Apple is requesting before approving an\xe2\x80\xa6 https://t.co/g4456QMQmF'
1098643977287491589,2019-02-21 18:01:50,"b""@ID_AA_Carmack I launch a script which creates a complete snapshots when I'm about to do (or I just have done) some\xe2\x80\xa6 https://t.co/jfK97A6OL6"""
1096710720895574016,2019-02-16 09:59:46,"b'@forensico Sono accettate solo password di 8 caratteri,  contenenti solo numeri, in sequenza progressiva che partono da 1 (es. 12345678)'"
1096406224206266369,2019-02-15 13:49:48,b'@greweb https://t.co/NHt6Wz6z5D'
1096161374118518793,2019-02-14 21:36:51,"b'@LedgerHQ Thanks @LedgerHQ for the commitment. But please dont use such catastrophic titles like ""the update brough\xe2\x80\xa6 https://t.co/fyYBUpyqEE'"
1095428956877148163,2019-02-12 21:06:30,b'Total respect for Bruce Schneier but this article on @schneierblog was a great disappointment. @aantonop\xe2\x80\xa6 https://t.co/NlFQthfdHE'
1093162744969379846,2019-02-06 15:01:23,b'@Simultaneity @ID_AA_Carmack https://t.co/fVWZ0IBU0F'
1093061383619522560,2019-02-06 08:18:36,b'@ID_AA_Carmack They clearly never tried to load a game on cassette on a C64'
1092337366948368385,2019-02-04 08:21:37,"b""@CrimeADay @giacomozucco And that's ladies and gentlemen, is how you find bugs in legalese smart contracts"""
1089439666154147840,2019-01-27 08:27:11,"b'@elonmusk Please rename your twitter profile as ""Elon Musk no Twitter account"" :-)'"
1084705132984614913,2019-01-14 06:53:51,"b'@realDonaldTrump Funny because non-native Americans are all immigrants. Everyone living in the United States, with\xe2\x80\xa6 https://t.co/1XD7wU5UUd'"
1083690813245280256,2019-01-11 11:43:18,"b'@LedgerHQ Very good HW @LedgerHQ! For all the people complaining about Bluetooth, I want to point out that as long\xe2\x80\xa6 https://t.co/HYEieZKVSD'"
1075784097035890688,2018-12-20 16:04:50,b'@foxtrot_ro @Gatwick_Airport If they are smart they let the drone fly while they silently triangulate the signal em\xe2\x80\xa6 https://t.co/sWJh5ZUo1T'
