twitter_id,date,tweet
510425226111250432,2014-09-12 13:50:31,"b'RT @janhove: New blog: A purely graphical explanation of p-values, inspired by @hadleywickham: http://t.co/ZP1fYXPasW'"
510407379339325440,2014-09-12 12:39:36,"b'@phdcomics @sciamblogs Chocolate, Nobel Prizes and correlation - You can publish just about anything these days http://t.co/AWdElD9GAF'"
510229898657423360,2014-09-12 00:54:22,b'This article makes me think about of the positive correlation between storks and babies. http://t.co/C7j6R6YcR8 via @sciam'
509330044129251328,2014-09-09 13:18:40,b'RT @bug_gwen: How to kill someone with a banana and legos. http://t.co/cgtoJjsMHn  @sci4thepeople recording #SCIENCE http://t.co/tgkn7XJuSd'
509328631684820992,2014-09-09 13:13:03,b'RT @rdpeng: Beijing might be the best place in the world to study air pollution. http://t.co/pZdI2haCGr'
509328524574863360,2014-09-09 13:12:37,b'RT @twowisegals: U.S. #Science Suffering From Booms And Busts In Funding http://t.co/RbkMbcZQJy'
508979801516814336,2014-09-08 14:06:55,b'Data Handling (Random Notes) http://t.co/0pM8S39It4'
508964280129949696,2014-09-08 13:05:15,b'RT @IFLScience: Oxygen-Producing organisms appeared 60 million years earlier than previously believed. http://t.co/kN2f4bHhHs'
508411760345219072,2014-09-07 00:29:44,b'RT @3Nesa: Evolution is true people. #science #evidence http://t.co/44A302vXB8'
508411030922211328,2014-09-07 00:26:50,b'Scientists agree: Coffee naps are better than coffee or naps alone http://t.co/wKfyODtAod via @voxdotcom'
508409502199083008,2014-09-07 00:20:45,b'RT @DrEscotet: \xe2\x80\x9cNever let your memories be greater than your dreams\xe2\x80\x9d - Doug Ivester'
508121063352311808,2014-09-06 05:14:36,b'RT @EuroGeosciences: How many?! 117 million. That is how many lakes there are on planet Earth.\nhttp://t.co/DfPsfzYjBB http://t.co/ZVuJVIv305'
507677330266136576,2014-09-04 23:51:22,"b""RT @molopama: Deep sea 'mushroom' may be new branch of life\nhttp://t.co/3ZD43zCx0O\n#life #mushroom #science http://t.co/RCiiLJawO0"""
507501738945806336,2014-09-04 12:13:38,"b""RT @AcademicsSay: I could work all the time. On an unrelated topic, I can't say no and have horrible time management skills."""
507500984323416064,2014-09-04 12:10:38,"b'RT @RetractionWatch: ""...as I am the first author of this manuscript...it would probably be better if someone else performed the review"" ht\xe2\x80\xa6'"
507319781016735744,2014-09-04 00:10:36,b'RT @NegResSci: Yet Another Retracted #Nature Publication http://t.co/aomXnxhgq6 @RetractionWatch #science'
507318996862238720,2014-09-04 00:07:29,"b'RT @macloco: Move Over Barbie, Here Comes Madame Curie - http://t.co/DeLykcJGCh #Science #Barbie #Girls'"
507316031065710592,2014-09-03 23:55:41,b'RT @malbooth: Top scientific publisher chooses not to advance #openaccess http://t.co/DYDgjLbmlu'
507315027662344193,2014-09-03 23:51:42,b'RT @ieducator: Kids Get Enough Tech Outside of School\xe2\x80\x94Shouldn\xe2\x80\x99t the Classroom Offer Them Something Different? http://t.co/IJjLVXbDcA /via @\xe2\x80\xa6'
507314446805782528,2014-09-03 23:49:24,"b""RT @Satoko_UTAU: If you get a black cat and a white cat to mate, they wouldn't end up with grey kittens. Sorry, Sailor Moon fans! #science"""
506971785024131072,2014-09-03 01:07:47,"b""RT @SwampCartoons: Science ain't what it's cracked up to be! #science http://t.co/Tt74yif6Jy http://t.co/pF1A8Z5bjE"""
506952881942315008,2014-09-02 23:52:40,b'RT @JTDakota: #Thought: Life BEFORE Social Media #Family #Science #Technology #FightCancer #WomensHealth #Manners #Zombies http://t.co/J4WH\xe2\x80\xa6'
506952048630185984,2014-09-02 23:49:21,b'Applications Open: Data Analysis in Ecology http://t.co/IJrnovhJ5K'
506833285939351552,2014-09-02 15:57:26,b'Check out Size Comparison - Science Fiction Spaceships by DirkLoechel on @deviantART http://t.co/5PUBI1Ng4Q'
506832447317630976,2014-09-02 15:54:06,"b""RT @classcentral: MOOC's biggest month ever: 328 free online courses starting in September 2014\n\nhttp://t.co/JJhXemannY\n\n#MOOC http://t.co/\xe2\x80\xa6"""
506832040323321856,2014-09-02 15:52:29,"b""Insect molting is 'like having your lungs ripped out' http://t.co/CiOrJaoV2e"""
506827467235942400,2014-09-02 15:34:19,b'RT @drkevinwood: New article in @JAppliedEcology on bridging gap between knowledge generated by scientists &amp; uptake by practitioners http:/\xe2\x80\xa6'
506826702765318144,2014-09-02 15:31:17,"b""RT @climate_rev: It's World Water Week: 7 Reasons to Claim Water for Life, Not Coal http://t.co/PWYOoqzrW2 via @ecowatch http://t.co/Zax2CY\xe2\x80\xa6"""
506826510984949760,2014-09-02 15:30:31,"b'RT @TeXtip: The command for a product is \\prod, not \\Pi.'"
506823366452318209,2014-09-02 15:18:01,b'Comfort in numbers? http://t.co/tOyMxOpheg'
506449515134468096,2014-09-01 14:32:28,b'RT @extinctsymbol: Passenger Pigeon: From Millions to None: http://t.co/61JOpkgjdj'
506449408771100672,2014-09-01 14:32:03,b'RT @ScientificData: . @NatureNews covers study on publication bias in social sciences. Should negative results be more widely published? ht\xe2\x80\xa6'
506449013361500160,2014-09-01 14:30:28,"b'RT @JAppliedEcology: New blog post: People, predators and perceptions http://t.co/hdR2q7xwOS'"
506448928154206208,2014-09-01 14:30:08,b'RT @MrBlueAngel: @extinctsymbol...! Found these in my wallet...! xx http://t.co/0ugSzhKZfF'
506448169006149632,2014-09-01 14:27:07,b'Martha: The rightful icon for species extinction http://t.co/sRloCKrlDj'
506226187614818304,2014-08-31 23:45:03,b'RT @getacclaim: Ali Partovi: Why Learning to Code Is Imperative In Public Education http://t.co/c3BoXe5KsT #edtech #compsci @codeorg http:/\xe2\x80\xa6'
506226125270695937,2014-08-31 23:44:48,b'RT @Alex_Verbeek: \xe2\x80\x98Irreversible\xe2\x80\x99 Damage to Planet From #Climate Change http://t.co/unHv5X2K1w #IPCC #science http://t.co/3UByKXJW7p'
506119174880362496,2014-08-31 16:39:49,b'RT @deleeuw_jan: The fight between Bayesians and Frequentists is now being replaced by a fight about whether the fight is over. http://t.co\xe2\x80\xa6'
