twitter_id,date,tweet
865236456054427648,2017-05-18 16:03:41,"b'@pshoumma I loved the react-native-off-canvas-menu, do you know any alternatives for iOS?'"
860729109462343680,2017-05-06 05:33:05,b'\xe2\x80\x9cHow it feels to learn JavaScript in 2016\xe2\x80\x9d by @jjperezaguinaga https://t.co/brv7cBLuWo'
857684860391088132,2017-04-27 19:56:20,b'RT @vuejs: Vue 2.3.0 (JoJo\xe2\x80\x99s Bizarre Adventure) is out! https://t.co/cohfhrRmk9 Along with the brand new SSR guide! https://t.co/K43UI4QCs0'
836751384242438147,2017-03-01 01:34:10,"b""@DunkedHQ The Inspiration section doesn't seem to be working properly, It keeps showing the 1st image I click."""
795033817211871234,2016-11-05 22:43:27,b'@TheRealRoxette the latin lemmy kilmister'
792027710117801984,2016-10-28 15:38:15,b'\xe2\x80\x9cApple just told the world it has no idea who the Mac is for\xe2\x80\x9d by @ow https://t.co/ftY8hdaT5K'
768553951855800320,2016-08-24 21:01:55,b'Some fresh CSS inspiration! https://t.co/J9qpzmX6Nm'
765038613902008320,2016-08-15 04:13:13,b'Some late night reading: https://t.co/OJLmLqub7j. This was how we used to learn in the early days: Right click &gt; view source...'
761034245020143616,2016-08-04 03:01:18,b'RT @wesbos: \xf0\x9f\x94\xa5 Learning JavaScript? Follow me for tips + tricks!'
760434004810199040,2016-08-02 11:16:09,"b""RT @FastCoDesign: .@google's new app isn't the next best thing to going to the Louvre: it might be better https://t.co/UZjaJQvlXj https://t\xe2\x80\xa6"""
760422633976557568,2016-08-02 10:30:58,"b'A nice 360 video tour around the Favelas in Rio, https://t.co/xbdmBtEsEs'"
760154660867022848,2016-08-01 16:46:08,b'I just could not agree more! \xe2\x80\x9cThe Sad State of Web Development\xe2\x80\x9d by @drewhamlett https://t.co/VQMeJEJM5m'
759934065998913536,2016-08-01 02:09:34,"b""RT @ProductHunt: We can confirm that @ryan_nelwan's smart mirror is real.\n\nFull Video on Facebook: https://t.co/FGmWR78OLc https://t.co/N5t\xe2\x80\xa6"""
759828756810780673,2016-07-31 19:11:07,b'RT @chriscoyier: Reason #1!\n\nIt represents a whole bunch of work.\n\nhttps://t.co/lsHUlJMqVZ https://t.co/FYhoS7M3tV'
759757755355832320,2016-07-31 14:28:59,b'Clipped SVG Slider https://t.co/rN8anCoVra via @CodyWebHouse'
759149608136273920,2016-07-29 22:12:25,b'RT @FastCoDesign: .@Moleskine has opened a cafe. Doodlers welcome https://t.co/Nck6f4YN2C https://t.co/Q0V1ePXkRj'
759086188858904576,2016-07-29 18:00:25,"b'RT @Plantappio: Plants\xe2\x80\x99 seamless integration with Sketch, is a \xe2\x9d\xa4\xef\xb8\x8f at first sight \xf0\x9f\x98\x8d https://t.co/v6ZP0KnAg0 #sketchapp #plantapp https://t.c\xe2\x80\xa6'"
758758382476070913,2016-07-28 20:17:50,b'Cool Stuff! https://t.co/zxJ8bU5aUq'
758412377914310656,2016-07-27 21:22:56,b'RT @laravelnews: Laravel 5.3 will have an optional package Laravel Passport. A full oAuth 2 system'
758380332743794688,2016-07-27 19:15:36,b'RT @youyuxi: My slides at Laracon this morning is now available at https://t.co/gojqVyn7d9'
758379639190454272,2016-07-27 19:12:50,b'@taylorotwell Good Luck!!!'
758342822001082368,2016-07-27 16:46:32,"b""Looks pretty good! https://t.co/TO4Ls4XGkz I'm checking how it works.."""
758332685018361856,2016-07-27 16:06:15,b'RT @laravelnews: Live blog for day one is here: https://t.co/RqGN9PMC9O Starting in about four minutes.'
758022623834038272,2016-07-26 19:34:11,b'RT @RobustelliDavid: We created a full immersive @Pokemon Go version for the @HoloLens #PokemonGO #HoloLens #wannaplay #MixedReality https:\xe2\x80\xa6'
757980492624986113,2016-07-26 16:46:46,b'RT @LaraconUS: \xf0\x9f\x93\xb9 Live stream tickets are back on sale for *just a few hours*. This *will* be your last chance to score one! https://t.co/io\xe2\x80\xa6'
757978758112509952,2016-07-26 16:39:53,"b'https://t.co/xIGBhLQpaN Beautiful minimal design, love the contrast.'"
756873586447618052,2016-07-23 15:28:19,b'RT @SidebarIO: Building a New Illustration Style for Shopify https://t.co/Pk46ZAnMLE'
756873378343030785,2016-07-23 15:27:30,b'Curate Magazine \xe2\x80\x93 Issue 4:  Well https://t.co/xzNGiVxbic'
756623227615600640,2016-07-22 22:53:29,b'Redesigning The iTunes Web Preview https://t.co/7FpSQUY4pV via @SidebarIO'
756268836580630528,2016-07-21 23:25:16,"b'Launching https://t.co/6yL231AUsP, Find skilled developers for your all your coding tasks.'"
750325687840538624,2016-07-05 13:49:19,"b'@Final! Unique card numbers protect from #creditcard theft, fraud, &amp; breaches. Check it out, https://t.co/ma3Orhliq7'"
747310568151781376,2016-06-27 06:08:18,"b""RT @BryanWilhite: Need some coding done? Submit your task. We'll team you up with a skilled coder. #kodect https://t.co/kWc3yKobK7"""
618756223056351232,2015-07-08 12:19:14,b'Get 106 top @CreativeMarket products worth $1498+ for only $39 http://t.co/ICYr5KX1DQ'
606169058451591168,2015-06-03 18:42:20,b'Most Beautiful Linux Distros In 2015 | Technozed http://t.co/jlpCxqNlnw'
567185972274941952,2015-02-16 04:57:28,b'How iOS Has Changed: http://t.co/OOEtCyDEfE'
563424069773971456,2015-02-05 19:49:00,b'High Quality #Mockups and Graphic Design Freebies - forgraphic\xe2\x84\xa2 -\n http://t.co/l0SuSqqLH8 via @forgraphic'
