twitter_id,date,tweet
1110041400718966785,2019-03-25 04:51:08,b'RT @mbostock: wow https://t.co/jJOnE47plw'
1109714318650556416,2019-03-24 07:11:25,"b""RT @alexjlockwood: @crafty @marcedwards it's not perfect, but it will do :)\n\nAnimatedVectorDrawable code is here: https://t.co/sPbovnNFPr h\xe2\x80\xa6"""
1109672948720295936,2019-03-24 04:27:02,b'@crafty @marcedwards ShapeShifter project is here: https://t.co/BhuOs5pby5'
1109672847679479813,2019-03-24 04:26:38,"b""@crafty @marcedwards it's not perfect, but it will do :)\n\nAnimatedVectorDrawable code is here:\xe2\x80\xa6 https://t.co/9CvbNWOyhG"""
1109477148580970496,2019-03-23 15:28:59,b'@crafty @marcedwards just animate trimCatStart and trimCatEnd'
1109349626895712257,2019-03-23 07:02:16,b'@vishnurajeevan setWillNotDraw(boolean)'
1108978551057842178,2019-03-22 06:27:45,b'@MarkHan_ @rharter @dankim Agreed. I worked with the play billing APIs 4-5 years ago and back then the documentatio\xe2\x80\xa6 https://t.co/RwLmxK6Ew1'
1106732557180137472,2019-03-16 01:42:58,"b""solving this 3x3 rubik's cube https://t.co/n1TQm2f2Od"""
1106075030771818496,2019-03-14 06:10:11,b'@daniel_duan @soffes @kafie Bae sounds good to me tho'
1106074814509277184,2019-03-14 06:09:20,b'@daniel_duan @soffes @kafie Sources: I was in fact drunk'
1106074707474800640,2019-03-14 06:08:54,"b'@daniel_duan @soffes @kafie I am not certain, but I think I might have been drunk when I tweeted that'"
1106050085538811904,2019-03-14 04:31:04,b'@soffes @kafie Typo'
1106047427428139008,2019-03-14 04:20:30,b'@soffes @kafie Be also says to not follow kathy'
1106047289422864385,2019-03-14 04:19:57,b'@soffes @kafie Sam says to follow me everyone'
1106040178475319296,2019-03-14 03:51:42,b'@kafie Lol'
1106040065405284354,2019-03-14 03:51:15,b'@kafie Lol'
1105908697677520896,2019-03-13 19:09:14,b'@ArtemR onMultiPause and onMultiResume confirmed'
1104994675679612928,2019-03-11 06:37:15,b'@jonnoxrevanche @julieaekim @hackbod'
1104937523036413953,2019-03-11 02:50:08,b'wrote another @beesandbombs-inspired animation in @kotlin \n\nhttps://t.co/n4z3LsJnjj https://t.co/TZN85eEGWn'
1104831864492027904,2019-03-10 19:50:17,b'@marcpl31 just published a fix for the crash. past 2014 alex apologizes for not using a FileProvider :P'
1104647268349558784,2019-03-10 07:36:46,b'yessssssssss 144\n\nhttps://t.co/eQvm4PhBge https://t.co/OfniMnurLj'
1104631903930396673,2019-03-10 06:35:43,b'@taptodismiss I never felt an earthquake before :('
1104556480810823680,2019-03-10 01:36:01,b'@lukas__m_ haha no worries :)'
1104196425036906496,2019-03-09 01:45:17,b'@lukas__m_ Weird... Well glad it worked out anyways :)'
