twitter_id,date,tweet
1108295441886662658,2019-03-20 09:13:19,"b""In terror-hit Anantnag, CRPF revives 'Heaven' movie hall after 28 years https://t.co/Z7d5Kr8Jr9"""
1106140621360775168,2019-03-14 10:30:49,b'What India can do to reduce spend on Oil Imports? https://t.co/tE6nub48LD'
1104627794435284992,2019-03-10 06:19:23,b'Life-Saving iPhone Tip Everyone Should Know \xe2\x80\x94 Takes Just 2 Minutes to Do https://t.co/bsEObN7LP7'
1103366392626249728,2019-03-06 18:47:02,b'Google built a free app to teach Hindi and English to kids in India https://t.co/VDFFGYB8ZI'
1102432857170079749,2019-03-04 04:57:30,b'Pune\xe2\x80\x99s pink washrooms major hit https://t.co/fmUdz5WBAz'
1101155858178822145,2019-02-28 16:23:09,b'Microservice to microservice communication https://t.co/75pt8Q9kJE via @arsrivastava'
1093517451306983424,2019-02-07 14:30:51,b'Amazon changes business structures in India to bring big sellers back: Report https://t.co/I7qsCIFYqf'
1092795680639340545,2019-02-05 14:42:48,b'Walmart may exit Flipkart due to new FDI rules: Morgan Stanley nbsp nbsp https://t.co/DBCilnENP3'
1089574972371161095,2019-01-27 17:24:51,b'Homegrown cure for Rabies get WHO nod https://t.co/HXJ3RYyqJk - Really amazing!!'
1087345475869700096,2019-01-21 13:45:38,"b'After India, WhatsApp globally restricts message forwards to 5 https://t.co/qcGgIZ1JEQ'"
1087345205471252482,2019-01-21 13:44:33,b'India among the most trusted nations globally: Report https://t.co/dp80IFfEE5'
1086853364833497088,2019-01-20 05:10:09,b'RT @cricketworldcup: Eat.\nSleep.\nFinish games.\nRepeat.\n\nLife as @msdhoni. \xf0\x9f\x98\x8e https://t.co/5GXrzH0dtR'
1086356343555047426,2019-01-18 20:15:10,"b'Cortana no longer an Amazon Alexa rival, Satya Nadella hints at big change for digital assistant https://t.co/AHMPpFWIyK'"
1085453855570255874,2019-01-16 08:29:00,b'RT @anshuman_sriv: Amazon is selling \xe2\x80\x98natural\xe2\x80\x99 coconut shells for nearly Rs 1400 and Indians are in shock!\nhttps://t.co/lIWHrXfBBw \n\nShared\xe2\x80\xa6'
1085196633128587271,2019-01-15 15:26:53,"b""Verizon's new AI platform will help businesses improve customer service 24/7 https://t.co/5HVKMJ9dYd via @techrepublic"""
1083429981194280961,2019-01-10 18:26:51,"b'AWS launches DocumentDB, a drop-in replacement for MongoDB but misses out newer MongoDB feature https://t.co/7wHjFE4KOY'"
1083428122656194561,2019-01-10 18:19:28,b'Chinese app developers have invaded India https://t.co/POTaa3PjWE'
1078200992590647296,2018-12-27 08:08:43,b'Kerala\xe2\x80\x99s alternative to farm loan waivers has lessons for India https://t.co/jPygQByNV5'
1070233933864947713,2018-12-05 08:30:28,b'@Kar_Gov_24X7 @CMofKarnataka  @BBMP_MAYOR @rk_misra @kiranshaw  @DrParameshwara Please help! https://t.co/mGcGXwj7kj'
1070230799113486336,2018-12-05 08:18:01,b'Attention #bbmp  #bwssb @carmelaramunite @blrcitytraffic @citizensforblr @BBMPCOMM @BBMP_MAYOR @bbmpcommr\xe2\x80\xa6 https://t.co/KSauayJDDW'
1068159546361880577,2018-11-29 15:07:35,b'Richard Branson and the Indian government are offering $3 million to reinvent air conditioning  https://t.co/yTjJYJYrXl'
1066573625459990528,2018-11-25 06:05:42,b'When Andaman &amp; Nicobar islands\xe2\x80\x99 Sentinelese tribe was filmed first https://t.co/zxWNiLgqTi'
1064565358756052992,2018-11-19 17:05:34,"b'Pick up my latest @PacktPub Book, Java 9 Regular Expressions for $10 at https://t.co/PrCWmmWzX8'"
1063474868501561345,2018-11-16 16:52:21,b'The future of smartphones is just unfolding https://t.co/d1606ZzMnE'
1063106447242944512,2018-11-15 16:28:23,b'Not Taylor Swift or Justin Bieber. T-Series rules YouTube https://t.co/tVlUqPUlHV'
1062358355816124416,2018-11-13 14:55:44,b'Red letter day: Paan stain eraser wins students a US award https://t.co/RTIQXnWfos via @TOIMumbai'
1062023009756762114,2018-11-12 16:43:11,b'PepsiCo tests ancient India river route as India explores  inland waterways https://t.co/RdCB9NazLd'
1061996243365302272,2018-11-12 14:56:50,"b'Now, AI anchor is breaking news https://t.co/ubfS8EOziB'"
1060968803771842560,2018-11-09 18:54:09,b'H-1B spouse work permits: Public opinion to be taken on revocation proposal https://t.co/mYyyRnz3Ij'
1059547335649312768,2018-11-05 20:45:44,b'ABC News is covering the midterms in augmented reality https://t.co/vv8ocQjaAR'
1059542405609897985,2018-11-05 20:26:09,"b'Flipkart, Amazon treble their average sales in October https://t.co/Fccwcwj0cj'"
1057218827182899200,2018-10-30 10:33:05,"b""'MS Dhoni an Absolute Must for 2019 World Cup' - Sunil Gavaskar https://t.co/OcZoqs23Lv"""
1055758990720819201,2018-10-26 09:52:13,b'Amazon blames late Diwali in India for slow global sales https://t.co/8KpxDc1kkd'
1054606482166169600,2018-10-23 05:32:33,"b'In Pics: World\xe2\x80\x99s longest sea bridge - connecting China, Hong Kong https://t.co/r1ICx9Yoe4'"
1051946660140634112,2018-10-15 21:23:22,b'Amazon Is Coming For Your Local \xe2\x80\x98Sabzi Wallah\xe2\x80\x99 https://t.co/yvI7sV2O2b'
1047133266321559555,2018-10-02 14:36:40,b'RT @hvgoenka: A known hospital in Ahmedabad has started charging Rs50 from people coming to meet the patients. The collected amount is redu\xe2\x80\xa6'
1046876283878158339,2018-10-01 21:35:30,b'Bill Gates says India shining a light on sanitation via @htTweets https://t.co/cd6L8S4iMR'
1044523064023822337,2018-09-25 09:44:39,"b'Amazon Prime Reading Now in India, Gives Access to 100s of Ebooks https://t.co/K07E0amloB'"
1043070380758454272,2018-09-21 09:32:12,b'What Amazon-More deal means for offline retail in India https://t.co/xHl6rVilEG'
1039520418653249536,2018-09-11 14:25:55,"b'UIDAI\xe2\x80\x99s Aadhaar Software Hacked, ID Database Compromised, Experts Confirm https://t.co/kWYnEP5KmA'"
1036561283557023744,2018-09-03 10:27:23,b'A six-lakh flat developed by IIT Madras https://t.co/oWLVcZhtSl'
1034395593580453888,2018-08-28 11:01:42,"b'Google Tez is now Google Pay, to offer instant bank loans https://t.co/gfrjiEeXpM'"
1034150468774252544,2018-08-27 18:47:39,"b'Warren Buffett is investing in Paytm, his first Indian company https://t.co/AxPPCqYRTq'"
1031066369230557184,2018-08-19 06:32:33,b'Reached 500K reps on Stackoverflow today: https://t.co/LfG6411s3Z'
1030459929373683712,2018-08-17 14:22:46,b'Out of Google Drive space? WhatsApp chat backup no longer counted against Drive storage quota https://t.co/gQuc5vXzSM'
1029741785986342912,2018-08-15 14:49:08,"b'You Can Now Rent the iPhone X for Rs. 4,299 Per Month in India https://t.co/tx1eR2dnr8'"
1027626406908452864,2018-08-09 18:43:22,b'Flipkart-Walmart deal set to yield big bonanza for taxman https://t.co/rdtVZ6YSMw'
1022482014048530433,2018-07-26 14:01:23,"b""Microsoft is now bigger than IBM has ever been - but Google's growth is astonishing https://t.co/TifW65vcbf"""
