twitter_id,date,tweet
1110149548637335552,2019-03-25 12:00:52,"b""RT @snicoll: Interested in making your first contribution to https://t.co/xJZy2DixHH or OSS in general? We'd love to help you get started,\xe2\x80\xa6"""
1109988887445884929,2019-03-25 01:22:28,b'RT @soadna: Cherry blossoms have finally arrived in #tokyo ! https://t.co/7kKSE0eFFu'
1109780316296802309,2019-03-24 11:33:40,b'RT @snicoll: Version 1.0 of @springframework was released 15 years ago. Happy birthday \xf0\x9f\xa5\xb3 \n\nhttps://t.co/Id2yUxytUX'
1109780255542296576,2019-03-24 11:33:26,b'RT @odedia: Happy birthday to the revolutionary @springframework who turned 15 years old today! https://t.co/W4lBOxUjWL'
1109599505639505920,2019-03-23 23:35:12,b'RT @JCVD: Hi guys! I made an exclusive instructional video about how to fight with your dog! Happy weekend and happy National Puppy Day fro\xe2\x80\xa6'
1109147849667809280,2019-03-22 17:40:28,b'RT @john_blum: @springboot for @ApacheGeode and @PivotalGemFire \n1.0.0.M4 is available! @springcentral https://t.co/ieDy4pWXuB'
1108851820586303488,2019-03-21 22:04:10,b'RT @TheScottAdkins: Please check out the trailer for my new movie directed by Jesse V. Johnson - AVENGEMENT! OnDemand &amp; digital May 24th ht\xe2\x80\xa6'
1108468861148581890,2019-03-20 20:42:25,b'RT @benbravo73: With the release of Spring Cloud Function 2.1.0.M1 Pivotal is leading the way in truly portable cloud functions. This conti\xe2\x80\xa6'
1107691622786060290,2019-03-18 17:13:57,b'RT @ilayaperumalg: Spring Cloud Data Flow 2.0.1 GA has been released. Please check out https://t.co/LVtzZ9pMnZ for more info.  @springcloud'
1107086347116994560,2019-03-17 01:08:48,b'RT @JCVD: Fan of the Day!\n\n#JCVD #BestFans https://t.co/xIK0UIi0bW'
1106979301633736708,2019-03-16 18:03:26,b'RT @Phokion1: April 19th. Please pre order so they\xe2\x80\x99ll let me write more... https://t.co/g6i5QFPL3T https://t.co/QrkFVxyMQm'
1106764904411922438,2019-03-16 03:51:30,b'RT @brucelee: \xf0\x9f\x90\x89\xf0\x9f\x8e\x99\xf0\x9f\x8c\x9fExciting News! Camp Bruce Lee Registration is open \xe2\x80\x94&gt; https://t.co/wTNv5Qk7D5\nWe are thrilled to be able to offer scholars\xe2\x80\xa6'
1106658083974115329,2019-03-15 20:47:02,b'RT @JCVD: Kicking off the weekend! Happy weekend!\n\n#JCVD #FBF https://t.co/kBEpbBNAIp'
1106657517067751430,2019-03-15 20:44:47,"b'RT @CurtisSChin: #Anticipation. Bruce Lee\xe2\x80\x99s Wild West #kungfu epic comes to life, thanks to his daughter. Get ready for #Warrior. \xe2\x81\xa6@Cinemax\xe2\x80\xa6'"
1106373705758846981,2019-03-15 01:57:01,b'RT @haruhiko_nishi: Working with a designer. Still a draft https://t.co/3qtwnw5NDC'
1106270613105246210,2019-03-14 19:07:22,b'RT @MuhammadAli: \xe2\x80\x9cYou don\xe2\x80\x99t really lose when you fight for what you believe in. You lose when you fail to fight for what you care about.\xe2\x80\x9d -\xe2\x80\xa6'
1106208942949060610,2019-03-14 15:02:19,b'RT @rob_winch: With all he has done cant believe @joe_grandja been on @SpringSecurity only 3 yrs today His attention to detail shaped OAuth\xe2\x80\xa6'
1106208374855737346,2019-03-14 15:00:03,"b""RT @marcelorodjr: Ender's Game Buggers. @orsonscottcard https://t.co/RMuwGrTryD"""
1105214801331060738,2019-03-11 21:11:57,b'RT @brucelee: \xe2\x80\x98Loneliness is only an opportunity to cut adrift and find yourself.  In solitude you are least alone.\xe2\x80\x99 #BruceLee\n.\n#BeYoursel\xe2\x80\xa6'
1105214364381073408,2019-03-11 21:10:13,"b""RT @Tripl3ThreatMov: Jaka can't be caught. @iko_uwais stars in #TripleThreat, coming to theaters for ONE NIGHT ONLY March 19th!  Get your t\xe2\x80\xa6"""
