twitter_id,date,tweet
1093889497194876930,2019-02-08 15:09:14,b'@LinkedInHelp Left safari\nRight Firefox https://t.co/edBL37c3IE'
1093886417149747200,2019-02-08 14:56:59,"b""@LinkedInHelp Tried changing the dns but seems to be a usless trick... Any suggestions? It's been like on/off for t\xe2\x80\xa6 https://t.co/0Bizy62ztl"""
1093884072315633664,2019-02-08 14:47:40,b'@LinkedIn seems to be down!!'
1084293530132959235,2019-01-13 03:38:17,b'RT @MisterEGC: You can write good code in whatever language or framework or design pattern you choose.\n\nYou can also write bad code in any\xe2\x80\xa6'
1080003982133669888,2019-01-01 07:33:09,b'@unclebobmartin In this case.. The test A|B|C is testing the subsets of functions that A uses'
1080003302635462656,2019-01-01 07:30:27,"b""@unclebobmartin Not necessarily... For example if A is using a subset of B's functionality and B in turn is only us\xe2\x80\xa6 https://t.co/sdAPE84t4K"""
1076355529809653760,2018-12-22 05:55:30,"b'one of the things that I really like about #Software #Engineering is its #philosophical nature, that one thing can\xe2\x80\xa6 https://t.co/BXeALOg3xI'"
1075977918650638336,2018-12-21 04:55:01,b'Good stuff ... What is Cloud-Native? Is It Hype or The Future of Software Development? https://t.co/FMxznzjE5H via @Stackify'
1071970194740862977,2018-12-10 03:29:45,"b'Only 2891 minutes spent listening to music this year, thanks to @stromae :D :D :D &lt;3  https://t.co/v7Eeblyls1'"
1071296888953946112,2018-12-08 06:54:16,"b'RT @unclebobmartin: When you lose friends to politics, they were never your friends to begin with \xe2\x80\x94 because: politics just ain\xe2\x80\x99t that impor\xe2\x80\xa6'"
1045213047264956417,2018-09-27 07:26:24,"b'Discover the fastest way to hire freelancers. Join me on Fiverr, get 20% off your next order and I will get a speci\xe2\x80\xa6 https://t.co/OK8wcKKcTI'"
1041627234262380546,2018-09-17 09:57:39,b'#\xd9\x8dSpark #bigdata #udemy https://t.co/z46zSuaKb7'
1036516926627831809,2018-09-03 07:31:07,b'Thought you might enjoy this course on @Udemy: Spark Starter Kit https://t.co/QRNfXDVp1b'
1033348795621228544,2018-08-25 13:42:06,b'Thinking \xf0\x9f\x92\xad #mapreduce \xf0\x9f\xa4\x94\n\n#emr #Hadoop #bigdata'
1014560584610795520,2018-07-04 17:24:27,b'https://t.co/SkDRhz0U0F https://t.co/3vPlDj97N8'
1000221937199599616,2018-05-26 03:47:47,"b'The sad thing is that these are kids... How much racism is taught in their homes by their own parents, and how much\xe2\x80\xa6 https://t.co/ABkXWJalRn'"
990107603882692608,2018-04-28 05:57:02,"b'While taking ""The Ultimate Hands-On #Hadoop - Tame your #BigData!"" on #Udemy I wanted to run #Hortonworks #HDP VM o\xe2\x80\xa6 https://t.co/f6Oqx5cimU'"
984801770865156098,2018-04-13 14:33:33,b'https://t.co/wS9pHh7RSz https://t.co/8ezDyv23oJ'
976689842074603521,2018-03-22 05:19:39,b'One step away from earning the #Cloud #Computing #Specialisation on #Coursera\n\n5th Milestone completed :)\xc2\xa0\n\nCloud N\xe2\x80\xa6 https://t.co/algT7TxJhT'
967728226347790337,2018-02-25 11:49:23,"b""Just started ... a little bit low expectations of the course because I don't like networking, but still thrilled ab\xe2\x80\xa6 https://t.co/wZwId0bYco"""
949533220785172480,2018-01-06 06:48:55,b'Just started :D #ILLINOIScloudapps'
935832255351603200,2017-11-29 11:26:11,b'Testing'
935831500595003392,2017-11-29 11:23:11,b'yet another one :D'
935830816751357952,2017-11-29 11:20:28,b'Just a tweet ! for no reason :D'
