twitter_id,date,tweet
1109532395466719232,2019-03-23 19:08:31,"b'@turbophotos Have you considered using LIMIT and OFFSET? Or just fetch the whole result and store it in a cache, an\xe2\x80\xa6 https://t.co/5BaaK2Tph8'"
1107995756311400449,2019-03-19 13:22:28,"b'@kurteichenwald ""Trump claims that his business acumen and personal wealth are ample evidence that he\xe2\x80\x99ll be a great\xe2\x80\xa6 https://t.co/5ITfdSNOCO'"
1107902450567016455,2019-03-19 07:11:42,b'RT @gtconway3d: https://t.co/sDGW8nrEft'
1107649652390686720,2019-03-18 14:27:10,"b""@JamesSNYC Just a guess, but perhaps KellyAnne made Trump's Twitter account mute or block George Conway, so Trump never sees his tweets."""
1106243845967077376,2019-03-14 17:21:00,"b'@jeremycole @lisaphillips @asdf @mf @bx ""Let a thousand flowers bloom"" is a fine strategy for a think-tank or a sta\xe2\x80\xa6 https://t.co/rb5ASI53yg'"
1106233458475491328,2019-03-14 16:39:43,"b'@jeremycole @lisaphillips @asdf @mf @bx IMO, the misdirected engr effort that @jeremycole described shows a failure\xe2\x80\xa6 https://t.co/QVelwJupds'"
1104835529755942912,2019-03-10 20:04:51,"b""@ethericlights Either JSON data type, or using TEXT data type. It's not the data type that's the problem. The probl\xe2\x80\xa6 https://t.co/vzmoxopdbD"""
1104817713161990144,2019-03-10 18:54:03,b'I used to think using JSON in a SQL database was a good alternative to avoid the evils of EAV. After seeing how dev\xe2\x80\xa6 https://t.co/YwZRnZfp7K'
1103463309863346176,2019-03-07 01:12:09,"b'That\'s okay. Trump doesn\'t need to know that we call him the ""Windows Vista"" of US presidents. https://t.co/PSoCrW7c1P'"
1102807455891783680,2019-03-05 05:46:01,"b'@bigkittenqueen @AOC ""Lee opposed the wording of the AUMF, not the action it represented. She believed that a respo\xe2\x80\xa6 https://t.co/MGVdMqKvQM'"
1102619745797386240,2019-03-04 17:20:07,"b'@ananiascolon @RoguePOTUSStaff Fair enough, people in PR identify as white on the US census, even if someone like T\xe2\x80\xa6 https://t.co/wyslfbxjlG'"
