twitter_id,date,tweet
1109980496589672449,2019-03-25 00:49:07,"b""@SmileyKeith @slava_pestov @UINT_MIN I'd say generally Apple is going to leave them open unless it's really clear t\xe2\x80\xa6 https://t.co/Z7FK7jBvQc"""
1109978511043895297,2019-03-25 00:41:14,"b""@SmileyKeith @slava_pestov @UINT_MIN Right; isn't the the point of adding unknown? To take care of situations where\xe2\x80\xa6 https://t.co/p1RmUkOJ2N"""
1109978057081651201,2019-03-25 00:39:25,"b'@PaolaNotPaolo Every so often, someone decides my last name is French and that it rhymes with Perrier. But not how\xe2\x80\xa6 https://t.co/hMei1XRTul'"
1109974737734778882,2019-03-25 00:26:14,"b""@SmileyKeith @slava_pestov @UINT_MIN What do you mean here by saying these should be closed? Couldn't a `.dim` valu\xe2\x80\xa6 https://t.co/SLaRE2TCJh"""
1109892407259267081,2019-03-24 18:59:05,"b'RT @orta: Wow, @gnachman has really knocked it out of the park with the iTerm 3.3 beta. \n\nHere\xe2\x80\x99s my new terminal setup based on his work.\xe2\x80\xa6'"
1109622371462324224,2019-03-24 01:06:03,"b'RT @RebeccaSlatkin: Constraints, segues, unwind segues, size classes are all amazing tools that save time and should be leveraged whenever\xe2\x80\xa6'"
1109133055715885056,2019-03-22 16:41:41,"b""@stroughtonsmith @jckarter And not just Google. I'm actually quite surprised. (Compare searching for info on Haskel\xe2\x80\xa6 https://t.co/KIKZFpPoPP"""
1109132483210215424,2019-03-22 16:39:25,"b'RT @jckarter: ""Googleability"" is a common concern for language and library designers, but Google might be better at finding short common wo\xe2\x80\xa6'"
1109132217081647104,2019-03-22 16:38:21,"b""RT @SwiftByX: We're super thrilled to have @jaimeejaimee joining us in Chicago for Swift by Midwest! https://t.co/omLb68dtDo\n\nNot registere\xe2\x80\xa6"""
1108126374693351424,2019-03-19 22:01:30,"b'@catehstn @NeoNacho DC Villains? Wife and I play all the lego games, and that one has some nice ideas, but the mech\xe2\x80\xa6 https://t.co/tJSaIvSS97'"
1108105633386168325,2019-03-19 20:39:05,"b""@krzyzanowskim @slava_pestov Agreed. I've used a lot of brands, and the only one that works most of the time (not a\xe2\x80\xa6 https://t.co/J2XXdnKEB0"""
1108099122312237062,2019-03-19 20:13:12,"b'Can confirm.\n\n(But we loved you then, too\xe2\x80\xa6) https://t.co/xBCC0kPlDU'"
1108097810652688384,2019-03-19 20:08:00,"b""RT @SwiftByX: At #SxMW, @jamesdempsey shares his great disdain for microphones. \n\n(He'll be singing some songs, too, we understand.)\nhttps:\xe2\x80\xa6"""
1108088120396914690,2019-03-19 19:29:29,"b""@brentsimmons I think you've nailed the business model."""
1108087468161728512,2019-03-19 19:26:54,"b""@brentsimmons When the heck did you come back? I thought we'd seen the last of you.\n\n(And I hope never to see the last of you\xe2\x80\xa6)"""
1108084624654254080,2019-03-19 19:15:36,"b'@davedelong @tryswiftconf try!Swift? Oh, I wasn\xe2\x80\x99t paying attention. I so miss getting back to the NYC conference. O\xe2\x80\xa6 https://t.co/gAhBXIdmBz'"
1108082679269019648,2019-03-19 19:07:52,b'@davedelong @Delta So you\xe2\x80\x99re saying your AR idea should be ready by the time you land. :)'
1108082277450436608,2019-03-19 19:06:16,"b'@davedelong As I recall @ameir already has mapkit pointers in Guidance, but AR does seem like a natural addition.\xe2\x80\xa6 https://t.co/CK9eGcCSjE'"
1108079952774287362,2019-03-19 18:57:02,b'@slava_pestov In several products I\xe2\x80\x99ve worked \xe2\x80\x9cslowdown in the rate of change\xe2\x80\x9d would itself be a positive good.'
1108057724200329216,2019-03-19 17:28:42,"b""Also a FastMail fan.\n\nNever trust a company if you can't see its business plan.\n\nFastMail provides me a service. I\xe2\x80\xa6 https://t.co/fzbdZdW9dN"""
1108040502245498881,2019-03-19 16:20:16,"b'@AirspeedSwift This is the kind of SE that makes me confident in the future of Swift. Easy to fall into ""if it\'s si\xe2\x80\xa6 https://t.co/QWPa9FTgzs'"
1107700278281801729,2019-03-18 17:48:21,"b'RT @oskargroth: Sometimes you have small memory leaks, sometimes you accidentally create a retain-cycle fractal universe https://t.co/fA9Ky\xe2\x80\xa6'"
1107284433294499846,2019-03-17 14:15:55,"b'@dirkjaeckel @dorukdestan @RunChristinaRun @hhariri In Swift, it\xe2\x80\x99s Array&lt;Element&gt;, and that choice has been extreme\xe2\x80\xa6 https://t.co/aSiCfPsGp8'"
1107051938451992577,2019-03-16 22:52:04,"b'RT @jdalrymple: GODDAMNIT, I hate when Apple Music changes my songs to live versions. STOP IT!'"
