twitter_id,date,tweet
1045955571868999682,2018-09-29 08:36:55,"b'I was looking forward to having opinions again after leaving government. Turns out, my opinions are mostly the same\xe2\x80\xa6 https://t.co/OpTipWX4zi'"
1044146567681396736,2018-09-24 08:48:35,"b'This is my last week at GDS, after nearly 5 years. Looking forward to joining GoCardless next week.'"
1043234822280421376,2018-09-21 20:25:38,b'@dgheath21 @RJT44 @marxculture @fatbusinessman https://t.co/ai4u3rUmHX is a good basic tutorial that covers some ba\xe2\x80\xa6 https://t.co/5WnLqYgda4'
1025753666488336384,2018-08-04 14:41:46,"b'@ee completely unable to log in to your website to change my credit card details - just get a ""login - error"" page.'"
1017730229685583873,2018-07-13 11:19:29,b'RT @HumanistChoir: We hope you can join us tomorrow for a fantastic #free #music &amp; #comedy evening celebrating the One Life we have\n\nConway\xe2\x80\xa6'
1016620400590061570,2018-07-10 09:49:26,"b""Being retweeted again about cryptocurrency stuff. It wasn't me. I didn't write it. Really."""
1013805977404170243,2018-07-02 15:25:55,b'@davidallengreen Seems like we have moved from Beckett to Pinter.'
1011523467198521344,2018-06-26 08:16:02,"b""@boffbowsh I've been pretty happy with https://t.co/qYxvqKcS1t"""
1002993803324788742,2018-06-02 19:22:12,b'@issyl0 The On-Line Encyclopedia of Integer Sequences? https://t.co/gRa5dpmxve'
1001358986321555456,2018-05-29 07:06:01,"b'@GNRailUK it would be awesome if you occasionally ran some trains. Love, everyone who relies on you to get to work every day.'"
999048347158642689,2018-05-22 22:04:22,"b'Apparently I have a namesake who has founded a cryptocurrency startup. Not me, I promise.'"
994505713559973888,2018-05-10 09:13:33,"b""@GNRailUK Yes. You've halved the number of services from New Southgate in the morning peak. How is this an improvement?"""
945363144603525120,2017-12-25 18:38:32,"b'Didn\'t much care for that episode of #DoctorWho but ""Oh brilliant!"" was a great introduction for the new Doctor.'"
937982371911041024,2017-12-05 09:49:58,b'It always amazes me after a new Django version is released how many people blindly upgrade then post puzzled questi\xe2\x80\xa6 https://t.co/Sy3HJpVESk'
931197144010289154,2017-11-16 16:27:54,"b'@alexmuller Could be worse, I save the undiplomatic comments for truly terrible code.'"
922546810455052288,2017-10-23 19:34:34,b'About to go on stage at the Barbican to sing with the Matthew Herbert Big Band.'
920187260020158465,2017-10-17 07:18:33,b'@GNRailUK typically useless and failing to give any info about trains from new southgate'
910418039627292673,2017-09-20 08:19:10,b'RT @hondanhon: Can\xe2\x80\x99t help but hear this story about Facebook from The Guardian as being read by Philomena Cunk. https://t.co/GAaC0NhdfB'
910054482918219776,2017-09-19 08:14:31,b'I am PyDev of the Week on Mike Driscoll\xe2\x80\x99s blog: https://t.co/0OrfvPsIeh'
907286677504368640,2017-09-11 16:56:15,b'RT @neillyneil: Would you find a public API of all government content useful? We want to hear from you:  https://t.co/Y91ojMMqlD'
906063671671087104,2017-09-08 07:56:27,b'Top manspreading on the Great Northern line this morning. https://t.co/JNKcMf6Rzs'
905542594230448129,2017-09-06 21:25:53,"b""@LucyLyons They can't be as lovely as us..."""
904752629586243585,2017-09-04 17:06:51,"b'Gmail mobile\'s suggested responses are scary. On a mail saying something didn\'t work, it suggested ""that\'s weird"" and ""let me look into it"".'"
897372902546432000,2017-08-15 08:22:27,"b""RT @noahmp: @FT When you're not sure if your process improvements are due to a SaaS tool or LSD. https://t.co/fT228NTKzM"""
896769333308903424,2017-08-13 16:24:04,b'Well done @johnlewisretail for not distinguishing between boys and girls shoes. https://t.co/kqKiR7SjI1'
886114608892792832,2017-07-15 06:46:00,"b""RT @JimCallender: 2005: I'm a web designer\n2009: I'm a UI designer\n2011: I'm a UX designer\n2014: I'm a product designer\n2021: I'm an experi\xe2\x80\xa6"""
872840700030844928,2017-06-08 15:40:14,b'Really fantastic talk about Fearless Feedback from @eacarlson at #LeadDev'
872742804728012800,2017-06-08 09:11:14,"b'Voted first thing, now ready for some interesting talks at #LeadDev'"
868769377478488064,2017-05-28 10:02:15,"b'TFW you take your car to the car wash place to be cleaned and the guy says ""it was in a right state, that one"".'"
868467480494297090,2017-05-27 14:02:37,b'Trying to get a coffee quickly. Woman in queue in front is asking for 30 shots of syrup in a cup.'
863504125035728897,2017-05-13 21:20:01,b'Family is voting for #Croatia . I give up. #Eurovision'
863486179223773184,2017-05-13 20:08:42,b'17-year-old singing about all the things he used to do. #Aus #Eurovision'
863485481832632320,2017-05-13 20:05:56,b'Guy with a French name is singing for #Croatia in English and Italian. #Eurovision'
858680592417861633,2017-04-30 13:53:01,b'RT @spacecoyotl: I wish Fresh Pizza met Raven Goth https://t.co/7mz8zPnjXu'
856814281945436162,2017-04-25 10:16:58,"b""I love it when recruiters spam you with jobs at the place you're already working."""
851344661662793728,2017-04-10 08:02:39,b'Some mysterious elf has tilted all the monitors on this bank of desks 45 degrees clockwise. Very odd.'
851153576953073668,2017-04-09 19:23:21,b'RT @philandstuff: Tom Lehrer turns 89 today. Celebrate by feeding all 118 chemical elements to 118 different pigeons.'
848665636637220864,2017-04-02 22:37:09,"b'Even though I haven\xe2\x80\x99t posted on my blog since 2014, I spent today fixing it to serve via HTTPS and updating to a responsive template.'"
847731908855320576,2017-03-31 08:46:51,"b'RT @gdsteam: Introducing clear definitions of the digital, data and technology career opportunities available in government: https://t.co/f\xe2\x80\xa6'"
843751575638151168,2017-03-20 09:10:26,"b'@shezankazi pretty sure Airpair\xe2\x80\x99s dead, I\xe2\x80\x99m afraid. Email me and we can try and sort something out directly.'"
841355463509835776,2017-03-13 18:29:08,b'Not sure how I managed to raise a child who gets home from school and then goes straight to the park with her friends to kick a ball around.'
840938261245751299,2017-03-12 14:51:20,b'@philandstuff @sonia_stevenson congratulations!'
837001466682421248,2017-03-01 18:07:55,"b'Secondary school admissions are in: Millie got her preferred school, Ashmole.'"
834797690810671105,2017-02-23 16:10:53,"b'@bradwright it\xe2\x80\x99s ok; there\xe2\x80\x99s now a career pathway, I\xe2\x80\x99ll take a few months to make sure I fulfil the competencies before applying for real.'"
834795930553610240,2017-02-23 16:03:54,"b'@bradwright I\xe2\x80\x99m currently doing the role of architect, whatever that is, but my job title is still senior developer.'"
834428837618450434,2017-02-22 15:45:12,"b""RT @sihugh: Excellent incident follow-up blog post from @rosaemerald: https://t.co/wjb08lLIwT It's great to be able to share this!"""
834064137873453056,2017-02-21 15:36:01,"b'@kfq no, hence the \xe2\x80\x9cunofficially\xe2\x80\x9d.'"
834006140941905921,2017-02-21 11:45:33,b'@ajlanghorn Your ideas are intriguing to me and I wish to subscribe to your newsletter.'
834004898786181121,2017-02-21 11:40:37,"b'Not unrelatedly, apparently I am now (unofficially) a technical architect. Trying to work out what that means.'"
834004584171442176,2017-02-21 11:39:22,"b'Just noticed, last week marked three years at GDS for me. Longest time I\xe2\x80\x99ve worked anywhere since I moved into development.'"
826440775873548288,2017-01-31 14:43:30,"b'@lucylyons good luck, hope it goes well'"
823571402657767424,2017-01-23 16:41:38,"b'@LucyLyons what features are important to you (weight, battery, screen, etc)? What software do you need to be able to use?'"
822457929303519232,2017-01-20 14:57:05,b'RT @HumanistChoir: In times of uncertainty.. just remember - what a wonderful world. https://t.co/0FwyOBSZJW'
817299670280110080,2017-01-06 09:20:00,"b'Ah, the semi-annual approach from Packt to write a book for them on a random topic for almost no money and insane timescales. No thanks.'"
815210596920655872,2016-12-31 14:58:46,b'Finishing off our holiday with lunch on the beach. https://t.co/uC0hIZoSuv'
811622598710796289,2016-12-21 17:21:21,b'@alexmuller also just before the freeze as they rush to get everything out'
800696785245261825,2016-11-21 13:46:04,"b'@lucylyons poor thing, just catching up on Twitter and saw that Con was sick, hope she (and you) are OK.'"
797065534672109569,2016-11-11 13:16:46,b'RT @Legopolis: https://t.co/Rx9bBilbXD'
796284823820181504,2016-11-09 09:34:30,b'Can someone please grab the almanac and go back to 1955?'
796258622489710592,2016-11-09 07:50:24,b'RT @ThePracticalDev: git reset --hard 2015'
796239509113413632,2016-11-09 06:34:27,"b'Well, fuck.'"
796066738295177216,2016-11-08 19:07:55,"b'Pension company just emailed me to apologise for not having sent me any spam for months. Honestly, I was fine with it.'"
794996550963433472,2016-11-05 20:15:22,"b""Surprisingly good fireworks display courtesy of Millie's scout troop."""
793465091651989504,2016-11-01 14:49:54,b'@jamiecobbett @boffbowsh Occasionally but not really with any consistency. Hard to say when something should be an RFC and when an ADR.'
791387116727140352,2016-10-26 21:12:46,"b""Submitted Millie's secondary school application form. What a nightmare the whole process has been."""
790501089011441664,2016-10-24 10:32:01,b'Whenever I need to find my work mobile number I log in to PagerDuty and copy the one they have registered for me.'
790120554598633472,2016-10-23 09:19:54,b'RT @rossferg: Like the sound of being Senior Product Manager on an award-winning platform used by millions? Come work with @govuk https://t\xe2\x80\xa6'
787969396383838208,2016-10-17 10:51:58,"b""I'm not imagining it, there's a jazz band playing in the next tube carriage."""
785767623464214528,2016-10-11 09:02:54,b'@elliotcm it\xe2\x80\x99s your fate.'
785391802446675968,2016-10-10 08:09:32,b'RT @StigAbell: Love lift us up where we belong.\nWhere the eagles cry\nOn a mountain high. https://t.co/lWmuzngw9r'
785089098054762496,2016-10-09 12:06:41,"b'AWS threatening to suspend my account over $0.13. Guess that works out to quite a lot in pounds now, though.'"
784326475147153408,2016-10-07 09:36:18,b'New facilities company at work seems not to realise the need to replenish the toilet paper. Now none in a building of over 1000 people.'
780518232197369856,2016-09-26 21:23:42,b'@lucylyons are you moving?'
778215402392457216,2016-09-20 12:53:05,b'I feel like this requirement might be more generally applicable. https://t.co/tRGhFnzM6v'
778138229392470016,2016-09-20 07:46:25,"b'Oh look, last minute platform alteration. Great idea.'"
778133602416689152,2016-09-20 07:28:02,"b'Complete chaos at Finsbury Park station. No announcements, no tweets from those helpful @GNRailUK folk.'"
778131397252882432,2016-09-20 07:19:16,"b""@bradwright @bankwithsmile Aren't the design team behind the award winning GOV.UK site now at Co-op?"""
777140319766872064,2016-09-17 13:41:05,"b'@garethr I have one, I like it very much. Screen, battery, performance all good; clever fingerprint sensor.'"
776727644570279936,2016-09-16 10:21:16,b'Resisting temptation to shout \xe2\x80\x9cThat\xe2\x80\x99s not how it works! That\xe2\x80\x99s not how any of this works!\xe2\x80\x9d'
776700804682178560,2016-09-16 08:34:36,b'@boffbowsh @stefness @samjsharpe @jabley But downside of not having it is we don\xe2\x80\x99t have concept of progressing without becoming TL/manager.'
776507561692520448,2016-09-15 19:46:44,"b""@stefness @SamJSharpe @jabley I thought an individual contributor was specifically someone who's not a manager."""
775959354306469888,2016-09-14 07:28:21,b'@bradwright virtualenv is included in Python 3.3+ as venv. requirements.txt definitely still a thing. pytest for testing.'
775607341236486144,2016-09-13 08:09:34,b'@boffbowsh No you don\xe2\x80\x99t. Context is vital and when you have it you should say so.'
773928652891357184,2016-09-08 16:59:04,b'And the letter contains two URLs on Barnet\xe2\x80\x99s site: one 404s and the other redirects to a 404.'
773928411517575168,2016-09-08 16:58:06,b'Barnet council have sent me a letter telling me to pay a penalty charge notice of \xc2\xa30.00.'
773077207895904256,2016-09-06 08:35:44,"b'Really @Kwik_Fit you know when my MOT is due (you sent me six reminders about it in July, remember?) There\xe2\x80\x99s no point spamming me again now.'"
771261337045303296,2016-09-01 08:20:06,"b'""Did you run migrations"" seems to be the new ""add coding=utf8"" as the default answer on all StackOverflow Django questions.'"
771045501835808769,2016-08-31 18:02:27,b'RT @36degrees: So @thehenster taught me about `git commit --fixup` and `git rebase --autosquash` and it\xe2\x80\x99s literally changed my life.'
767704975317270528,2016-08-22 12:48:24,b'OH: \xe2\x80\x9cI can\xe2\x80\x99t get vegan donut-topped cupcakes until Thursday.\xe2\x80\x9d'
767638681742110720,2016-08-22 08:24:58,b'@bradwright good luck!'
765102164196941824,2016-08-15 08:25:45,b'And since I never did this one:\nDoor-to-door sales\nSecretarial temp\nTrainee journalist\nSub-editor (x3)\nDevelopment Editor\n#firstsevenjobs'
765099303790600192,2016-08-15 08:14:23,b'Spectrum BASIC\nZ80 Assembler\nCA-Clipper (xBase)\nDelphi\nVBScript\nJavaScript\nPython\n#firstsevenlanguages'
760167301022904320,2016-08-01 17:36:22,"b""On holiday in north Wales, it's all kicking off at work, and here it's pouring with rain."""
759811803408769025,2016-07-31 18:03:45,b'@elliotcm @dsingleton I\xe2\x80\x99m actually on holiday all week. Someone take notes for me.'
759502267460513793,2016-07-30 21:33:46,"b'@stefness excellent, they look really good.'"
756771323456679936,2016-07-23 08:41:58,"b'RT @jamiecobbett: My first blog post: ""As a Tech Lead, you should write tickets more and Just Do The Thing less"" https://t.co/91aZ9iGGOA'"
756404618108829697,2016-07-22 08:24:48,b'Some really interesting roles going at GDS: https://t.co/ocbNrrKZSd'
753319126542802944,2016-07-13 20:04:10,b'RT @DaveGorman: I might be imagining this but it sure looks like the Queen has a lot of photos of Rod Hull and/or Emu in her room. https://\xe2\x80\xa6'
752062759416782848,2016-07-10 08:51:49,b'Couple of days in with my new OnePlus 3. I\xe2\x80\x99m liking it a lot.'
751417565273006081,2016-07-08 14:08:02,b'I blogged on the publishing architecture my team is building for GOV.UK: https://t.co/fEQSZmXwkA'
745667935558045696,2016-06-22 17:21:04,b'@stefness why do you need to upgrade?'
745623288894857216,2016-06-22 14:23:39,b'@elliotcm anti-semites were using it as a signal to identify Jewish people; antiracists adopted it to confuse the signal'
743122957388664832,2016-06-15 16:48:14,"b""Gin's good for allergies, isn't it?"""
742438856688041984,2016-06-13 19:29:51,"b""Watching my daughter at the local children's choir festival. One school just randomly sang Delicate by Terence Tent D'Arby."""
742388817378869248,2016-06-13 16:11:01,b'@stefness :( Hope you are OK.'
742344080823353346,2016-06-13 13:13:15,"b'@stefness Yes, I have these, they are magic: https://t.co/FLXWAC7dLg. There\xe2\x80\x99s probably a new model since I bought them.'"
737590343281971200,2016-05-31 10:23:36,"b'RT @HumanistChoir: Sat 18 June, central London. Get your tix for #OneLife - a humanist music, science &amp; comedy show. Hosted by @ConwayHall\xe2\x80\xa6'"
729943894746640384,2016-05-10 07:59:20,"b'@gnrailuk It doesn\xe2\x80\x99t matter; I just wish you were proactive. When there\xe2\x80\x99s disruption on a line, tell us about it.'"
729934759040831488,2016-05-10 07:23:02,"b""Once again, trains messed up, and once again the only word from @GNRailUK is about their Twitter team's shifts."""
728524492360790017,2016-05-06 09:59:08,"b'@londonelects That\xe2\x80\x99s brilliant, thanks.'"
728504813512732672,2016-05-06 08:40:57,"b'@londonelects your site doesn\xe2\x80\x99t actually explain anywhere what the \xe2\x80\x9cregistered\xe2\x80\x9d, \xe2\x80\x9cscanned\xe2\x80\x9d and \xe2\x80\x9cverified\xe2\x80\x9d stages actually mean.'"
728270063229386752,2016-05-05 17:08:08,"b'Now @kwik_fit has emailed, texted, sent a letter, and phoned to get me to book an MOT.'"
727140797787811840,2016-05-02 14:20:50,b'Bluebells. https://t.co/L0FZ8OKBHw'
725223754712899584,2016-04-27 07:23:11,"b""RT @lexistwit: XENO MORPH!\nBecause it's #AlienDay426 and (about) 40 years of @aardman\nIdea by @WanderinTeacake\n#AlienDay\n#XenoMorph https:/\xe2\x80\xa6"""
724892866972139520,2016-04-26 09:28:22,"b'RT @ConanSalaryman: ""Gods and Devils!"" frothed Conan. ""Is the Recruitment Team all imbeciles? Is it impossible to make an interview schedul\xe2\x80\xa6'"
724174319983710208,2016-04-24 09:53:07,b'Had a great time coaching at @DjangoGirlsLDN yesterday - totally exhausting but well worth it.'
723106529906446336,2016-04-21 11:10:06,"b'Just cancelled my hosting account and moved my (rarely-updated) blog to S3. Much simpler than I thought it would be, and so much cheaper.'"
722485659106217984,2016-04-19 18:02:58,"b""RT @neillyneil: We're hiring a Deputy Head of Content to help the awesome @tjrdoyle run the GOV.UK content team - it's a great role: https:\xe2\x80\xa6"""
722405798203285504,2016-04-19 12:45:38,b'Really looking forward to coaching at Django Girls London this weekend.'
717996911781928960,2016-04-07 08:46:18,b'@willpdp I used Blaze when I was at Google. Very powerful but specific to the way they work; not sure how useful it\xe2\x80\x99d be divorced from that.'
715499384184692737,2016-03-31 11:22:01,"b""RT @ben_nuttall: In tribute to Ronnie Corbett, I've made a new @github repository. You can fork handles: https://t.co/GgH2ZpGCLy"""
715157249942024192,2016-03-30 12:42:30,b'Colleagues talking about Packer and all I can do is keep repeating \xe2\x80\x9cMakka Pakka akka wakka mikka makka moo\xe2\x80\xa6\xe2\x80\x9d'
712759515654057984,2016-03-23 21:54:45,b'Had fun this afternoon helping a group of school teachers to use Python on the #microbit.'
712631912729354241,2016-03-23 13:27:42,"b""@phalt_ suspect you're thinking of Benoit B Mandelbrot"""
711829577664962564,2016-03-21 08:19:31,"b'Mild spring weather, several degrees above freezing; @GNRailUK still pointlessly spreading salt everywhere at New Southgate. What a waste.'"
708616459006701568,2016-03-12 11:31:43,"b'Android autocomplete: I always mean ""always"". I *never* want to write "" ashtray"".'"
707500892388519937,2016-03-09 09:38:52,b'@lucylyons Heard you had to make a mercy dash; hope she is OK.'
707205317197692928,2016-03-08 14:04:21,b'RT @gdsteam: Our #PledgeForParity to help improve gender diversity in the digital industry https://t.co/6JnpyuONmG #InternationalWomensDay \xe2\x80\xa6'
704615837106311168,2016-03-01 10:34:41,b'@stefness do it\xe2\x80\xa6'
704231449742974976,2016-02-29 09:07:16,b'Discussion restarted on a PR I made on a Go project nine months ago. I can\xe2\x80\x99t remember enough Go to participate.'
702500901454540800,2016-02-24 14:30:41,"b'@stefness Get well, and take your time.'"
699576403965190144,2016-02-16 12:49:46,b'@elliotcm https://t.co/WMDigBNHyD'
698643552297943041,2016-02-13 23:02:57,"b'Fun evening singing and watching comedy at Conway Hall, but I seem to be coming down with the lurgy that took most of my team off last week.'"
698046019397939200,2016-02-12 07:28:34,b'RT @WeFixYourAdvert: The new poetry on the underground posters are brilliant. https://t.co/3sxnhSrOy7'
694806200341381120,2016-02-03 08:54:41,b'@dancarley I\xe2\x80\x99ve found the first few Code Club Python exercises are very boring and put kids off. Would be good to hear of alternatives.'
691198551725101057,2016-01-24 09:59:11,b'@rossbruniges So sorry to hear that. Thoughts are with you.'
690258853859033088,2016-01-21 19:45:09,"b""Under-specified question in Millie's maths homework. https://t.co/KXYJuqxkQq"""
689736896008822784,2016-01-20 09:11:05,"b'@thenimrodreport Hi, yes I am still available, you should be able to ask for me via the site.'"
689362196573327360,2016-01-19 08:22:10,"b"".@GNRailUK I don't have one, I just wish you'd productively warn us when there are problems so we don't have to stand around in the cold."""
689361077608570880,2016-01-19 08:17:43,"b""What's the point of the @GNRailUK twitter team? Constantly tweeting about who's on shift, but when the trains are stuffed never a word."""
689146703446978560,2016-01-18 18:05:52,b'Recovering Teletext data from VHS recordings https://t.co/E09w0BpzF9'
687189111275413505,2016-01-13 08:27:06,b'Trying to remember the last time the @GNRailUK trains were on time. Certainly before Christmas.'
683934136311132160,2016-01-04 08:52:59,b'Probably should have washed my coffee mug before going away for two weeks.'
680027441516146688,2015-12-24 14:09:11,"b'Enjoyed Dick Whittington at @watfordpalace theatre, great traditional panto.'"
672484658563649536,2015-12-03 18:36:51,b'@elliotcm @rjw1 I always heard gov.uk was in Drupal.'
670168775820447745,2015-11-27 09:14:21,b'@jamiecobbett which is why I was wondering how appropriate it is that the security folks are collecting for them downstairs.'
667351483042668545,2015-11-19 14:39:27,"b""@bradwright I'd rather have her job than yours"""
666569297142132736,2015-11-17 10:51:19,b'Dropping production databases from the command line.'
664740985621110784,2015-11-12 09:46:15,"b'@stefness A bit better thanks, staying at home though. Yours?'"
663329514823548928,2015-11-08 12:17:35,"b'""You can\'t use icing sugar to make cakes, it has anti caking agent in.""'"
662722587881963520,2015-11-06 20:05:52,"b'OH: ""Yoda looks a lot like Jimmy Krankie"".'"
661867393652658176,2015-11-04 11:27:38,"b'""Invitation to edit: Burritos""'"
661831443878932481,2015-11-04 09:04:47,b'These days it seems like I get almost as much spam asking me to write a book for Packt as I do from recruiters.'
659283990105477120,2015-10-28 08:22:06,"b""Oh look, stationary on a @GNRailUK train and as usual the driver can't be bothered to make an announcement to explain what's going on"""
659281925765529600,2015-10-28 08:13:54,"b'RT @MsTexas1967: Huge cockup at the Aretha Franklin tribute show tonight\nDisappointing, as she spelt it out to them more than once https://\xe2\x80\xa6'"
659010893611704320,2015-10-27 14:16:55,"b""What we're working on for GOV.UK: https://t.co/mEBdJZqnwe"""
658701924766720005,2015-10-26 17:49:11,b'@fatbusinessman @joanslow congratulations!'
655098680182218752,2015-10-16 19:11:11,b'I see you @stefness sneakily editing Confluence pages at 7.30 in the evening.'
652399564687822848,2015-10-09 08:25:51,b'RT @calcsam: 10x Engineer: a developer who incurs technical debt so fast he appears more productive than the 10 developers tasked w/ cleani\xe2\x80\xa6'
