twitter_id,date,tweet
1097548648911499264,2019-02-18 17:29:24,"b""@yama_code I haven't tried following the docker course on digital ocean, though I imagine if you should in and foll\xe2\x80\xa6 https://t.co/GknBx71IGY"""
1070854606647742465,2018-12-07 01:36:48,"b'#clojure (println ""the value of a comment is "" (comment :I\'m-a-comment)) \nthe value of a comment is  nil\n(println ""\xe2\x80\xa6 https://t.co/HrdbUyWNCA'"
1062543458995326976,2018-11-14 03:11:16,"b""RT @EmilyCoren: I'm thrilled to share the first cut of the promotional trailer for Rhythm and Glue. https://t.co/YlHTXpCS9f https://t.co/T8\xe2\x80\xa6"""
1059656515756257280,2018-11-06 03:59:35,"b""@EFF I've been emailing you once a week for three weeks to try and give you money. how do I change card information\xe2\x80\xa6 https://t.co/c1uvpibHYc"""
1058750756365336576,2018-11-03 16:00:25,"b""@andrewtdunn @lynda #Developer I'm super happy you did the docker course? anything that could be more clear? what w\xe2\x80\xa6 https://t.co/Jj90JgDcq0"""
1058750755274862594,2018-11-03 16:00:25,"b'@milson @lynda took a while, now the last chapter of learning docker has much more on orchestration'"
1047512831501905920,2018-10-03 15:44:55,"b""curious about a car....\nif I Google this I'll get nothing but ads for it for a year.\nbetter use Tor.\nohh car sites\xe2\x80\xa6 https://t.co/nDlSpIJTGe"""
1037782684674605056,2018-09-06 19:20:47,"b""@milson @lynda #Developer I'm really glad to hear you did the docker course. I just finished updating that and appr\xe2\x80\xa6 https://t.co/DPxVeJvq7V"""
1032719956977176577,2018-08-23 20:03:19,"b""@doctorow the link for this week's B&amp;N interview from your podcast page and feed had gone 404 \nhttps://t.co/v7ZgnctMIz"""
1032434619541385216,2018-08-23 01:09:29,"b'RT @leftoblique: 1998: need to know hundreds of obscure and inconsistent UNIX commands, scripting languages to get anything done\n\n2008: nee\xe2\x80\xa6'"
1032362925858598912,2018-08-22 20:24:36,"b""@milson @lynda #Developer I'm super happy you liked the course. what are you interested in doing next with docker?"""
1026367481244352513,2018-08-06 07:20:51,"b'RT @manic_pixie: Today at #DnD club, three 13-yr-olds defeated the monster by asking him how he was feeling, and then sitting him down to a\xe2\x80\xa6'"
1022870793846317057,2018-07-27 15:46:15,"b'@ericnormand #clojure #hiring at yummly, in redwood City California,\n\n(build :Clojure ::food ::internet-connected-o\xe2\x80\xa6 https://t.co/KrdqYJG6F2'"
1017895812804669440,2018-07-13 22:17:28,b'fun bike blender smoothies at farmers market this week #ClimateSolutions #EasyFunPopular @EmilyCoren https://t.co/iz2sdJ4IY2'
1017095863976390656,2018-07-11 17:18:45,b'@Mihoda video courses with LinkedIn Learning / https://t.co/21a1uEsjAl https://t.co/1Xn8ketNQ6'
1016959868475867136,2018-07-11 08:18:21,b'just back from 276 mile (each way) road trip in electric car to record. it was smooth and easy. not going back.\xe2\x80\xa6 https://t.co/T1i6debimN'
1016601878749016064,2018-07-10 08:35:50,"b""remember to start pounding the refresh button on the #clojureconj registration page tomorrow, it's already getting exciting #Clojure"""
1016601105420021760,2018-07-10 08:32:45,"b'@EmilyCoren:  passed a ""family flock"" biking out for pizza today after I\'d spent a long day in the recording both\xe2\x80\xa6 https://t.co/fH0EsX01Po'"
1015831916325494785,2018-07-08 05:36:16,b'Today for climate mitigation i fetched coffee by bike  #climatesolutions #EasyFunPopular https://t.co/jsfNXiIR5L'
1015708093051691008,2018-07-07 21:24:14,b'today for climate change: my son suggested I use natural light rather than turning on the light @EmilyCoren is teac\xe2\x80\xa6 https://t.co/su1mZurgGp'
1011722095544315905,2018-06-26 21:25:19,b'@lumadevv I really hope you enjoyed the course. is there anything you can think of to add more on? i would really l\xe2\x80\xa6 https://t.co/YXbHbHYo2x'
1010321963569442816,2018-06-23 00:41:41,b'if anyone knows who to contact at https://t.co/7yAA4rRfvq about a serious security problem please ask them to conta\xe2\x80\xa6 https://t.co/qn9lld1hBd'
1009310267690192896,2018-06-20 05:41:34,"b'@EmilyCoren it\'s really nice to be able to answer ""how old are fossil fuels"" by pointing to the eons chart on the wall'"
997532314916671488,2018-05-18 17:40:11,b'@RedHatSupport I need to get in touch with a member of the 3scale security team.'
987048255782449152,2018-04-19 19:20:17,b'RT @KarenTamrazyan: #Containers are great and some analysts predict that #PaaS technologies might be disrupted. Just passed 3 #Kubernetes a\xe2\x80\xa6'
986685787570778112,2018-04-18 19:19:58,b'My latest video course on Continuous Delivery with Docker is out! \nThe producers and editors and everyone at linked\xe2\x80\xa6 https://t.co/pFRX4LMJ26'
982015042164998144,2018-04-05 22:00:05,"b'@Cloudessa Just thought you might want to know that your ""contact us"" link is serving malware.'"
978349852298952704,2018-03-26 19:15:56,b'@W6TWT you might be intersted in registering https://t.co/eDdm2AmXZm or https://t.co/CXtbUJoOpc. the new TLD is ava\xe2\x80\xa6 https://t.co/E4YCXs9wFp'
957530498821058562,2018-01-28 08:27:15,"b'@hummatli @lynda yes, I agree Kubernetes is a big part of docker these days. it has its own course here:  https://t.co/jR3IP3Odma.'"
957524644612882434,2018-01-28 08:03:59,"b""@hummatli #Docker #Containers @lynda I'm so happy you liked the docker course, what parts did you find most clear,\xe2\x80\xa6 https://t.co/DeOmDiTdp5"""
946281761104830465,2017-12-28 07:28:47,"b'RT @BookshopSC: #FavoriteBooksof2017 Jax\'s favorite sci-fi book of 2017: WALKAWAY by @doctorow \n\n""Nobody is writing like this, and nobody i\xe2\x80\xa6'"
941014518276112384,2017-12-13 18:38:39,"b""@duckduckgo I'm in a coffee shop that only offers #ipv6 and had to switch to Google because your site is unavailabl\xe2\x80\xa6 https://t.co/Y4AMSOJ51h"""
935248050427011072,2017-11-27 20:44:45,"b""@telatin @lynda #Docker I'm really happy you fished my docker course, I really hope it was fun and useful."""
928019067511783425,2017-11-07 21:59:22,b'yay! latest docker course is published on https://t.co/21a1uEsjAl https://t.co/Ef6M1gj3Z0\nI could totally (In a non\xe2\x80\xa6 https://t.co/6ah5jDbmly'
917861921361145856,2017-10-10 21:18:29,"b""@telatin @lynda #Docker ooh hope you enjoyed it. that was a fun course to make. and there's more where that one came from :-)"""
912820342623580160,2017-09-26 23:25:03,"b'yay for amateur radio operators flying to Puerto Rico, this is a symptom too few trained operators around country. antenna restrictions bad'"
902282222853472257,2017-08-28 21:30:20,"b'at the rate numbers are being marked as spam in Android, how long till people are issued numbers already marked as ""suspected spam caller""'"
895912363542560768,2017-08-11 07:38:47,"b""@CapitalOne have you stopped adverting on Hannity? I'd like to use type card again, and don't want to pay for that stuff."""
892096740911833089,2017-07-31 18:56:52,"b""I really appreciate Mr Carlson's Lab on Youtube, #video-learning #electronics @patreon #NewPatron https://t.co/MvAKRmYeqe"""
891931695795978241,2017-07-31 08:01:02,b'RT @EmilyCoren: Enjoyed the MBARI open house again this year. https://t.co/Ig9mCPUKBp Thanks @MontereyAq @MBARI_News! https://t.co/ANCc017Q\xe2\x80\xa6'
891831433219547136,2017-07-31 01:22:37,"b'@0x1B oooohhh that ""uninstall"" button looks tempting.... I\'d also like to open app settings and revoke some permissions ;-) (I like that app'"
891831041471561729,2017-07-31 01:21:04,"b""good thing there was never a time when we had to learn about radio and couldn't just look with a $10 USB SDR.\xe2\x80\xa6 https://t.co/Lxq9WbxiXi"""
887889695497109505,2017-07-20 04:19:34,"b""@jiuntingwang thanks for watching I hope it's fun and useful. let me know if you have questions or thoughts on it :-)"""
886104163238596608,2017-07-15 06:04:30,"b""@AnnieTheObscure honestly, let go because he was no longer a physical threat and I didn't know what else to do. that part not in martial art"""
886086631370891264,2017-07-15 04:54:50,"b""@AnnieTheObscure not caught, he lied about having a gun, I pinned him and made sure he didn't. then let go."""
886079901207379968,2017-07-15 04:28:05,b'so the cost of martial arts training to subdue a burglar works out to $4300 per second ;-) not sure it actually works that way.'
886079420611518465,2017-07-15 04:26:11,"b'All those times people say ""martial arts don\'t work"". break-in 5am. martial arts work. most importantly because nobody was hurt.'"
884088263547396096,2017-07-09 16:34:02,"b'@divz_leonian @lynda #Developer thanks for watching my course, I hope it was fun and useful to you!'"
883378418766696448,2017-07-07 17:33:22,b'in the course of a quarter century of programming I have yet to find myself more happy with floating point math than at any previous point.'
883365206688006145,2017-07-07 16:40:52,"b""RT @KelseaFixes: \xe2\x80\x9cAnytime someone puts a lock on something that belongs to you and won't give you the key, it's not there for your benefit.\xe2\x80\xa6"""
880949426721652736,2017-07-01 00:41:25,"b'RT @jamesiry: Eating tofu skin. Please don\xe2\x80\x99t be alarmed, the entire tofu is eaten - tofus aren\xe2\x80\x99t slaughtered just for their skins.'"
880566073237454848,2017-06-29 23:18:06,"b""RT @brkwtz: I have refactored\nthe code\nthat was in\nur repo\n\n&amp; which\nu were probably\ngoing\nto deploy\n\nForgive me\nit doesn't work now\nbut it\xe2\x80\xa6"""
880301386541416448,2017-06-29 05:46:20,b'RT @swannodette: No amount of cool OSS absolves Facebook of this crap https://t.co/m7AeLsMFG7'
880300295783235585,2017-06-29 05:42:00,"b'just bought my ClojureConj 2017 ticket! \nreally an amazing place, i hope you all can make it.'"
879008129404485632,2017-06-25 16:07:23,"b""RT @technomancy: This is super insightful. Been on both sides, and it can be amazing or frustrating; it's helpful to understand why. https:\xe2\x80\xa6"""
878501045915181056,2017-06-24 06:32:25,"b""RT @HillaryClinton: Forget death panels. If Republicans pass this bill, they're the death party. https://t.co/jCStfOaBjy"""
877801502252728321,2017-06-22 08:12:41,b'RT @KamalaHarris: The GOP wants to vote next week on a health care repeal that we don\xe2\x80\x99t even have the text of. That\xe2\x80\x99s ridiculous. Call (202\xe2\x80\xa6'
876596667960573952,2017-06-19 00:25:06,"b""@MahesKBlr @lynda #Developer I'm super excited you liked my course on Docker! I hope it was useful and fun :-)"""
873941586979115008,2017-06-11 16:34:46,"b""RT @tlberglund: Emacs...is there anything it *can't* do? https://t.co/1AQddpiaKD"""
871523328057499648,2017-06-05 00:25:28,"b""@jwknz hmmmm, I haven't been looking at compose specifically, there is a lot of interest in other orchestration systems as well."""
