twitter_id,date,tweet
692627108003065856,2016-01-28 08:35:45,b'RT @ESPNcricinfo: #U19CWC\n\nNepal on top as Christian Leopard is run-out\n\nhttps://t.co/Zd0BK2I1hD #NEPvNZ'
651976927687761920,2015-10-08 04:26:27,"b""\xe0\xa4\x9a\xe0\xa5\x81\xe0\xa4\xae\xe0\xa5\x8d\xe0\xa4\xac\xe0\xa4\xa8 \xe0\xa4\x97\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa5\x88\xe0\xa4\xae\xe0\xa4\xbe \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\xae \xe0\xa4\xb9\xe0\xa5\x81\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xad\xe0\xa4\x8f, \xe0\xa4\x9a\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\x9f'\xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xa0\xe0\xa5\x81\xe0\xa4\x9f\xe0\xa4\xbe\xe0\xa4\xb9\xe0\xa4\xb0\xe0\xa5\x81 \xe0\xa4\x8f\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa4\xbe \xe0\xa4\xab\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xa6\xe0\xa5\x88\xe0\xa4\xa8 \xe0\xa4\xa5\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\xb2\xe0\xa4\xbe!"""
651692325895204864,2015-10-07 09:35:33,b'#DonateOilToIndianEmbassy https://t.co/YuNqf7DdOJ'
651692182152196096,2015-10-07 09:34:58,b'#DonateOilToIndianEmbassy https://t.co/rxWER7cFy9'
651691181819101184,2015-10-07 09:31:00,b'#DonateOilToIndianEmbassy https://t.co/fH0s8Dl8vR'
651690705358733313,2015-10-07 09:29:06,b'#DonateOilToIndianEmbassy https://t.co/xgWmVfcGFU'
651690479403204608,2015-10-07 09:28:12,b'#DonateOilToIndianEmbassy https://t.co/pJ9lYg6FDM'
651690260380815360,2015-10-07 09:27:20,b'#DonateOilToIndianEmbassy https://t.co/HN2Rjt1FQI'
651690181305602048,2015-10-07 09:27:01,b'\xe0\xa4\xa8\xe0\xa5\x87\xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x80\xe0\xa4\xb2\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa5\x87\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\xb2 \xe0\xa4\xac\xe0\xa5\x8b\xe0\xa4\x95\xe0\xa5\x87\xe0\xa4\xb0 \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4\xe0\xa5\x80\xe0\xa4\xaf\n\xe0\xa4\xa6\xe0\xa5\x81\xe0\xa4\xa4\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb8 \xe0\xa4\x9c\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\x89\xe0\xa4\xa8 \xe0\xa4\x97\xe0\xa4\x8f \xe0\xa4\xad\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xa8 \xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\xb0 \xe0\xa4\x9b\xe0\xa5\x88\xe0\xa4\xa8 \xe0\xa4\xad\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x86\xe0\xa4\x9c\xe0\xa4\xa4\xe0\xa4\x95\xe0\xa4\xb2\xe0\xa5\x87!\n#DonateOilToIndianEmbassy'
651690013395058689,2015-10-07 09:26:21,b'#DonateOilToIndianEmbassy https://t.co/KneHFVDwRm'
651689874374848512,2015-10-07 09:25:48,b'#DonateOilToIndianEmbassy https://t.co/w9qu05OfC9'
651689652030582784,2015-10-07 09:24:55,b'#DonateOilToIndianEmbassy https://t.co/fvC5EDZ9EK'
651688687068024832,2015-10-07 09:21:05,b'\xe0\xa4\xa7\xe0\xa5\x8b\xe0\xa4\xa4\xe0\xa4\xbf \xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\x87 \xe0\xa4\xa4\xe0\xa5\x87\xe0\xa4\xb2 \xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\x97\xe0\xa4\xb0\xe0\xa5\x8c \xe0\xa4\xaa\xe0\xa5\x81\xe0\xa4\xa3\xe0\xa5\x8d\xe0\xa4\xaf \xe0\xa4\x95\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\x94\xe0\xa5\xa4\n#DonateOilToIndianEmbassy'
651688540426756096,2015-10-07 09:20:30,b'#DonateOilToIndianEmbassy https://t.co/1vvuEgxLTG'
651688215150116864,2015-10-07 09:19:12,b'#DonateOilToIndianEmbassy https://t.co/iBgP0nrDun'
651688028251926530,2015-10-07 09:18:28,b'#DonateOilToIndianEmbassy https://t.co/4xMCYzELg0'
651687709572882432,2015-10-07 09:17:12,b'#DonateOilToIndianEmbassy https://t.co/a2tzu0Z9cG'
651686971622879232,2015-10-07 09:14:16,b'#DonateOilToIndianEmbassy https://t.co/zBOG2txDL4'
651686826416062464,2015-10-07 09:13:41,b'#DonateOilToIndianEmbassy https://t.co/wr5xQHtyyh'
651686672757735425,2015-10-07 09:13:05,b'#DonateOilToIndianEmbassy https://t.co/jEQgKyX65o'
651686251439894528,2015-10-07 09:11:24,b'#DonateOilToIndianEmbassy https://t.co/aSSkZgeBd2'
