twitter_id,date,tweet
1109236724989743104,2019-03-22 23:33:38,b'RT @digimkr: Super cool! https://t.co/ytI6omAZNA'
1109106394588811265,2019-03-22 14:55:45,"b'RT @v8js: \xf0\x9f\x94\xa5 What\xe2\x80\x99s new in V8 v7.4? Wasm threads/Atomics, private class fields, performance and memory improvements, and much more! https://\xe2\x80\xa6'"
1108798699948240896,2019-03-21 18:33:05,"b""RT @tarngerine: \xf0\x9f\x93\xa3\xf0\x9f\x91\xb2\xf0\x9f\x8f\xbb\xf0\x9f\x92\xbc Looking for remote work \xe2\x80\x94 \xf0\x9f\x94\x81please RT!\n\nI'm a senior-level product designer who loves breaking down complex problems an\xe2\x80\xa6"""
1108081888525058049,2019-03-19 19:04:44,"b""RT @firefox: While we're talking about making things easier\xe2\x80\x94the team also worked on making security warnings easier to understand. \n\nSecuri\xe2\x80\xa6"""
1108038471241748480,2019-03-19 16:12:12,b'@christianoliff @mbarker_84 @Jayphen @jensimmons My point was that you can evolve your tooling as needed. You can s\xe2\x80\xa6 https://t.co/l09NZ7Nh1S'
1107742985230245888,2019-03-18 20:38:03,"b'@mbarker_84 @Jayphen @jensimmons I recently read https://t.co/NuASKPZPeW and really liked it, but there are lots of\xe2\x80\xa6 https://t.co/sFKk3PQjdE'"
1107721520984395776,2019-03-18 19:12:45,"b'@Jayphen @mbarker_84 @jensimmons FWIW some of this can be solved with simple shell scripts, e.g. `cat header.html p\xe2\x80\xa6 https://t.co/Zn5FmF5hXp'"
1107712143359504385,2019-03-18 18:35:29,"b""RT @humble: We've teamed up with @OReillyMedia for our latest book bundle about web programming! Get CSS: The Definitive Guide; You Don't K\xe2\x80\xa6"""
1106800099940679680,2019-03-16 06:11:21,b'@Ricardo_Nikolay JavaScript'
1106728602857439233,2019-03-16 01:27:15,"b""RT @jsoverson: Video's up! This week it's bcrypt, node core's crypto.pbkdf2 &amp; password security in general\n\nIf you don't know how you'd sto\xe2\x80\xa6"""
1106667787076820993,2019-03-15 21:25:35,b'RT @owickstrom: Are there any resources on what software engineers can do specifically in their work to help with #climatechange? Better al\xe2\x80\xa6'
1106626511270887425,2019-03-15 18:41:35,b'@kuvos I need a \xf0\x9f\xa4\xa3 reaction \xf0\x9f\x98\x89'
1106608541261918208,2019-03-15 17:30:10,b'TIL: there is yet another way how functions can get their `this` value.\nEven though the `with` statement is obsolet\xe2\x80\xa6 https://t.co/BzDwl3hfyB'
1106603346192785408,2019-03-15 17:09:32,b'RT @billpollock: Authors wanted. Please send us your tech book proposals! editors@nostarch.com @nostarch'
1105915317702672384,2019-03-13 19:35:33,b'@reimertz @tjholowaychuk https://t.co/mORBqJNPpQ'
1105915072952524800,2019-03-13 19:34:34,"b'@M_Rutter @tjholowaychuk If Babel is configured to convert import/export syntax to something else, it would be on B\xe2\x80\xa6 https://t.co/VP5AsHXB6D'"
1105616914502451201,2019-03-12 23:49:48,b'RT @letsencrypt: Happy 30th birthday to the World Wide Web! We are thrilled to be a part of a more open and secure Web. Follow us today as\xe2\x80\xa6'
1105603625579995136,2019-03-12 22:57:00,b'@rauschma same \xf0\x9f\x98\x82'
1105601296411709440,2019-03-12 22:47:44,"b'@jankrems @tjholowaychuk I think you are right, if I understand https://t.co/9PjNwHqIVj correctly. Step 8.d.ii throws a SyntaxError.'"
1105592126086107136,2019-03-12 22:11:18,b'@sharabiania @tjholowaychuk Modules are strict by default.'
1105541020802899968,2019-03-12 18:48:13,"b'RT @firefox: Send files up to 1G\xe2\x80\x942.5G with a free account\xe2\x80\x94with Firefox Send. We made it, but you can use it on any browser!\n\nChoose when yo\xe2\x80\xa6'"
1105528672079929344,2019-03-12 17:59:09,"b'@tjholowaychuk Ahhh... I agree. Given that modules are supposed to be statically analyzable, it would have been nic\xe2\x80\xa6 https://t.co/MOs6oNK3sg'"
1105521680997208065,2019-03-12 17:31:23,b'@tjholowaychuk `undefined` is a global binding (with *value* `undefined`). Nothing prevents you from creating a dif\xe2\x80\xa6 https://t.co/CGm5SO8dx3'
1105136611023413248,2019-03-11 16:01:15,b'@Ch1zo @mathias Not yet \xf0\x9f\x99\x82 What would you like to see visualized / explained?'
1105136175419813889,2019-03-11 15:59:31,b'@mathias Thank you @mathias! I may have drawn inspiration from your tools \xf0\x9f\x98\x89Thank you for them!'
1104531223148281856,2019-03-09 23:55:39,b'I made some visual changes and added a permalink option. https://t.co/jcxGhw11VD'
1104093918960840704,2019-03-08 18:57:58,"b'@Qbe_Root Whoops, thanks \xf0\x9f\x98\x84'"
1103785000418209797,2019-03-07 22:30:26,"b'RT @ioctaptceb: Hey folks! I am soliciting feedback (everything from kneejerk reactions ""this is ugly"" to more detailed stuff) for the tc39\xe2\x80\xa6'"
1103720421193445376,2019-03-07 18:13:49,"b'RT @MicTig: Now in @FirefoxNightly: In the box-model widget, hold shift and hover over a value to jump to its source CSS! https://t.co/7jVX\xe2\x80\xa6'"
1103697943763144704,2019-03-07 16:44:30,"b'Last night I finally split out a little tool that I wrote for a class to explain the curious case of ""loose"" compar\xe2\x80\xa6 https://t.co/beZgzWfdaF'"
1103695356406063104,2019-03-07 16:34:13,b'It\xe2\x80\x99s a fun challenge: how to present information effectively and how to enable people to do whatever they need/want\xe2\x80\xa6 https://t.co/GDdYiIk0J3'
1103487888224710656,2019-03-07 02:49:49,b'@kentcdodds What I want to say is: make sure your know your requirements for equality first. There are some interes\xe2\x80\xa6 https://t.co/DQGmxvYR7o'
1103486863896002561,2019-03-07 02:45:44,b'@kentcdodds Depends on what you need. I wrote https://t.co/YU53vNt2hQ once which is based on lodash. You may find\xe2\x80\xa6 https://t.co/6ICclwNNfD'
1103416494161973248,2019-03-06 22:06:07,b'RT @jsoverson: Here are my slides for the @woprsummit workshop: How to Reverse Engineer Web Applications https://t.co/lRTRBjZYp9\n\nGithub re\xe2\x80\xa6'
1103083769416695808,2019-03-06 00:03:59,b'RT @dan_abramov: Want to give a shoutout to @fkling42\xe2\x80\x99s https://t.co/49reEDusgS + @geteslint docs. I\xe2\x80\x99m so much more productive than I could\xe2\x80\xa6'
1103083741868515328,2019-03-06 00:03:53,b'@dan_abramov @geteslint &lt;3 Thank you!'
1103009581146365952,2019-03-05 19:09:11,"b""@TheLarkInn That's why I keep entries for every trip in my calendar \xf0\x9f\x98\x90"""
1102995727326691333,2019-03-05 18:14:08,"b""@getify We may have misunderstood each other. I don't want auto-bound methods for all the reasons you mentioned. Yo\xe2\x80\xa6 https://t.co/lLlFgSXC5H"""
1102983340716515328,2019-03-05 17:24:55,b'@getify All I want to say is that prototype concepts and autobound methods are not inherently incompatible. It was\xe2\x80\xa6 https://t.co/GbJRD6nHQD'
1102981498544676865,2019-03-05 17:17:36,"b'@getify You wouldn\xe2\x80\x99t have to store it if it was created at property access time, just like you proposed as hack. AF\xe2\x80\xa6 https://t.co/B0tGRgJCFj'"
1102979668624388096,2019-03-05 17:10:20,"b'@getify In a way, that\xe2\x80\x99s what the Reference specification type is.'"
1102978894104150016,2019-03-05 17:07:15,b'@getify I have to disagree with you here. Being prototype based shouldn\xe2\x80\x99t inherently prevent this. I\xe2\x80\x99m not a langua\xe2\x80\xa6 https://t.co/hgyAQGVnVv'
1102045596326682624,2019-03-03 03:18:39,b'@MMiszy @getify @akronymn I think people have often problems understanding JavaScript because many behaviors seem \xe2\x80\x9c\xe2\x80\xa6 https://t.co/qI8ziTMi56'
1102044380200755201,2019-03-03 03:13:49,"b'@MMiszy @getify @akronymn Everyone learns differently, but knowing that `this` in. an arrow function works like any\xe2\x80\xa6 https://t.co/V9l0SkdUGy'"
1102042738000719872,2019-03-03 03:07:18,b'@wincent In this case though I have come across a question on Stack Overflow that asked why applying the \xe2\x80\x9coperator\xe2\x80\x9d\xe2\x80\xa6 https://t.co/Z2CPOQHSCR'
1102041731480969216,2019-03-03 03:03:18,b'@rauschma https://t.co/FKy0jWENPT ... I also recently removed the term \xe2\x80\x9cspread operator\xe2\x80\x9d from some eslint rule.'
1101252603256565760,2019-02-28 22:47:35,"b""(not JavaScript) I wrote about what's needed to get Sonos speakers to work on a dedicated subnet (should be applica\xe2\x80\xa6 https://t.co/Hbhkwy4EZP"""
1101222053896568832,2019-02-28 20:46:12,"b""@jsoverson I'm thinking about how to simplify the toolbar and make parser settings more prominent because I believe\xe2\x80\xa6 https://t.co/0tOQfP6ATk"""
1101215998747672576,2019-02-28 20:22:08,b'@jsoverson There is! Click the gear icon next to the parser name and then you can switch the source type in the dia\xe2\x80\xa6 https://t.co/696cE9Cp8D'
1101017429101035522,2019-02-28 07:13:05,b'@YDKJS https://t.co/XYHHBDjt4B'
1098303925826908160,2019-02-20 19:30:36,"b""RT @MozDevNet: We've been asking you what you need in your Developer Tools. Our main takeaway: developers and designers of every experience\xe2\x80\xa6"""
1097938221642575872,2019-02-19 19:17:25,"b'I never thought I would say this but astexplorer ""does blockchain"" now (kinda): Support for a Solidity parser was a\xe2\x80\xa6 https://t.co/73bhloXDN2'"
1096536139064721408,2019-02-15 22:26:02,b'https://t.co/kybir6J68t got a shout out from @jasonlaster11 in the latest episode of  @scriptandstyle (\xe2\x80\xa6 https://t.co/YSIrA3dDnT'
1096091214879674368,2019-02-14 16:58:04,"b'RT @TinkerSec: ~=8 Character Passwords Are Dead=~\n\nNew benchmark means that the entire keyspace, or every possible combination of:\n- Upper\xe2\x80\xa6'"
1093588999959044096,2019-02-07 19:15:10,b'. @TschinderDaniel built a playground for react-docgen! https://t.co/3yfdRpxPSp https://t.co/YrBodmf78p'
