twitter_id,date,tweet
1110066780209405957,2019-03-25 06:31:59,b'Your brain isn\xe2\x80\x99t a neural network. It\xe2\x80\x99s a neural network of neural networks.  https://t.co/sUbPHo4m45'
1109931488848547840,2019-03-24 21:34:23,"b'RT @goloroden: If you know about #CORS and #XmlHttpRequest and would like to earn 500 points on StackOverflow, you might want to check out\xe2\x80\xa6'"
1109886170169835520,2019-03-24 18:34:18,"b'If you know about #CORS and #XmlHttpRequest and would like to earn 500 points on StackOverflow, you might want to c\xe2\x80\xa6 https://t.co/m75bxqV4TM'"
1109375599523577856,2019-03-23 08:45:28,b'axios onUploadProgress and onDownloadProgress not working with CORS https://t.co/f8Zu3PrR2n'
1109197908207980549,2019-03-22 20:59:23,"b""RT @shl: Most profound thing I've learned in the past eight years is the difference between behavior and intention. \n\nBehavior is what some\xe2\x80\xa6"""
1109090002028453888,2019-03-22 13:50:37,b'RT @mattwagl: The bright future of web publishing: Markdown and MDX. \xf0\x9f\x98\x80'
1109004307637157889,2019-03-22 08:10:05,"b""RT @goloroden: If there's anyone out there who has experience with the XmlHttpRequest's #onprogress event in combination with #CORS, I woul\xe2\x80\xa6"""
1108999224027435009,2019-03-22 07:49:53,"b""If there's anyone out there who has experience with the XmlHttpRequest's #onprogress event in combination with\xe2\x80\xa6 https://t.co/JldYCeKNvr"""
1108666278942818304,2019-03-21 09:46:53,b'RT @React_Days: Start in den letzten Tag der #ReactDays mit @goloroden und seinem Workshop \xe2\x80\x9eFunktionale Programmierung f\xc3\xbcr React Devs\xe2\x80\x9c! htt\xe2\x80\xa6'
1108403048114724864,2019-03-20 16:20:54,"b'RT @AndreHoffmann33: Gettingen to know DDD, event-sourcing and CQRS. Great talk by @goloroden \xf0\x9f\x98\x8e. #JSDays https://t.co/tTQ8ue4wBv'"
1108403027751436289,2019-03-20 16:20:49,b'@AndreHoffmann33 Thanks a lot \xf0\x9f\x98\x8a'
1108402976568299520,2019-03-20 16:20:37,"b'RT @JS_Days: Im Workshop mit @goloroden geht es um ""Architektur mit JavaScript"" und wie Sie auftretende Probleme meistern. #JSDays #Javascr\xe2\x80\xa6'"
