twitter_id,date,tweet
1105587198517223424,2019-03-12 21:51:43,"b""RT @confluentinc: If you're looking to learn more about the @apachekafka integration in @springcloud Stream, start here! Soby Chacko from @\xe2\x80\xa6"""
1100555260505063425,2019-02-27 00:36:36,b'RT @confluentinc: Using @springcentral with @apachekafka can eliminate much of the boilerplate code that you otherwise need. It also adds f\xe2\x80\xa6'
1099088433652355073,2019-02-22 23:27:57,b'RT @artem_bilan: Have migrated #SpringIntegration tests to #AssertJ: https://t.co/pY3GbV6QVa. Big thanks to @intellijidea plugin: https://t\xe2\x80\xa6'
1085669269990502401,2019-01-16 22:44:59,"b'@ashishdaniel86 Don\'t ask such questions on twitter if you want an answer. I don""t monitor it that closely. You got\xe2\x80\xa6 https://t.co/uT5yXsox3O'"
1085268485683507202,2019-01-15 20:12:24,"b""RT @springcentral: We'd like to ask you about @springcloud Stream. Where do you use it? how do you use it? What do you like about it? What\xe2\x80\xa6"""
1081408502420123648,2019-01-05 04:34:13,"b'RT @snicoll: 99% of the time a user is posting some code snippet to ask a question, the information that we need to help them is not provid\xe2\x80\xa6'"
1075073703132741632,2018-12-18 17:01:59,b'RT @michaelminella: Do you love the Spring Framework? Imagine what it would be like working on it! You can! The @springcentral team is hiri\xe2\x80\xa6'
1070430907868295169,2018-12-05 21:33:10,b'@HTTR_UK @artem_bilan Thanks for pointing it out; I just added a migration guide and link to the wiki\xe2\x80\xa6 https://t.co/b9e08sJlFc'
1070426872633274386,2018-12-05 21:17:08,"b""@HTTR_UK @artem_bilan See the What's New? in the reference manual https://t.co/7nvZRdg4eX"""
1068726771896524802,2018-12-01 04:41:33,"b'RT @springboot: And last but not least, Spring Boot 2.1.1 is now available!\n\nhttps://t.co/Buq5OzmjQ8'"
1058469155672899590,2018-11-02 21:21:26,b'RT @confluentinc: Integrate @apachekafka into your @springboot project with this six-step guide by @igorkosandyak: https://t.co/oujeoMdOFG'
1057039255619452928,2018-10-29 22:39:32,b'RT @artem_bilan: #SpringIntegration 5.1 GA is out: https://t.co/wZzBucSpUZ !'
1056999282061049856,2018-10-29 20:00:41,b'Spring for Apache Kafka 2.2 is released: https://t.co/Pt1rLiRdvl @springcentral @apachekafka'
1054725167560167424,2018-10-23 13:24:10,"b'@starbuxman Thanks, Josh! Another successful trip around the Sun completed.'"
1044793446467284992,2018-09-26 03:39:03,b'RT @gAmUssA: #speakerselfie with @gprussell from the stage of #SpringOne @s1p. \n@cppwfs is also on the pic and he looks exciting to hear ab\xe2\x80\xa6'
1044608948777758722,2018-09-25 15:25:55,"b'RT @artem_bilan: #SpringIntegration, Spring for @apachekafka and Spring #AMQP Release Candidates are available https://t.co/dMUekfU4nP. Jus\xe2\x80\xa6'"
1035696987100917761,2018-09-01 01:12:58,b'@jeffreymaxwell @artem_bilan @gitchat Thank *you* for helping to improve the projects with your suggestions and code contributions.'
