twitter_id,date,tweet
1108298633613586433,2019-03-20 09:26:00,"b'Loving dark mode in Chrome on Mac OS! I had been using a custom theme but the ""official"" integration into the OS da\xe2\x80\xa6 https://t.co/ghWNBs8xp4'"
1103237495821688832,2019-03-06 10:14:50,"b""After some scary moments (fortunately avoiding any data loss!) when working with CloudFormation recently, I've writ\xe2\x80\xa6 https://t.co/M5MmR2v8KW"""
1100718336034381829,2019-02-27 11:24:36,"b'Love this, glad to see it recommends many things that I have eaten when visiting certain countries! What to Eat in:\xe2\x80\xa6 https://t.co/5xsT3vnhmb'"
1098619185423437826,2019-02-21 16:23:19,"b'\xf0\x9f\x8e\x89 got my ticket, this will be a great night! https://t.co/JzXVx3b53C'"
1096018906324570113,2019-02-14 12:10:44,"b""@MikeMJHarris Yeah definitely, let's grab a coffee or a beer. Will DM you."""
1096015433801584640,2019-02-14 11:56:57,"b'@MikeMJHarris No set format really, everyone pretty much does ""yesterday... today... things that are blocking stuff\xe2\x80\xa6 https://t.co/MILu6bfeis'"
1096003243208003584,2019-02-14 11:08:30,"b""@MikeMJHarris I've been working with a mostly-remote team recently and we find that Slack updates usually work fine\xe2\x80\xa6 https://t.co/NJGPOjkL4Y"""
1095671429075488769,2019-02-13 13:09:59,"b""Hadn't visited the @fbjest website in a while... nice new design! I like the card animations in the header. https://t.co/g1bfqHu7oH"""
1095572347115864064,2019-02-13 06:36:16,b'-25 minutes of snoozing remaining on my alarm... guess that means I should get up now \xf0\x9f\x98\xb4 https://t.co/SPlI8Xy1nS'
1094917557331607552,2019-02-11 11:14:22,"b""Ahh, sadly I am not around to attend #FullStackCon this year! I've had great experiences speaking and attending a f\xe2\x80\xa6 https://t.co/KL7sjO1b9W"""
1093442423542419456,2019-02-07 09:32:43,"b""For anyone that missed it last night, here's my slides from the @ServerlessLDN meetup: https://t.co/yoDn9yJOxY. And\xe2\x80\xa6 https://t.co/sbcKkCzoo0"""
1093246429735411712,2019-02-06 20:33:55,b'Thanks for listening #Serverless London! Slides are available here: https://t.co/hkTgVZVRfF'
1093093759489851392,2019-02-06 10:27:15,"b""Looking forward to the #Serverless London meetup tonight. I'll be speaking at 19:30 about a few ways in which you c\xe2\x80\xa6 https://t.co/vRVZZyFI5s"""
1092343144690188290,2019-02-04 08:44:35,b'Back in the office this morning after a brilliant couple of days in Brussels with @mobdevross for #gitmerge. Non-co\xe2\x80\xa6 https://t.co/ZrTN4ldatL'
1091606510218534912,2019-02-02 07:57:27,b'Had a great time at #GitMerge yesterday. Really well organised conference. Shame I can\xe2\x80\x99t stay in Brussels for #FOSDEM today!'
1091483711818948609,2019-02-01 23:49:30,b'I feel like everyone is replying to this to argue against the whole site *except* the screenshot in @ken_wheeler\xe2\x80\x99s\xe2\x80\xa6 https://t.co/3FbJAxwouH'
1091370938598416388,2019-02-01 16:21:23,"b'Closing #GitMerge is @RabbiGreenberg, explaining the benefits of including git early on in software engineering edu\xe2\x80\xa6 https://t.co/Y8bVEbRDzY'"
1091362645796630528,2019-02-01 15:48:25,"b'A week in the life of the Windows git repo at @Microsoft... 92,000 commits! #GitMerge https://t.co/Oypbs9xPcX'"
1091361218076528641,2019-02-01 15:42:45,b'@jonnynott @pablocoberly @orangejellyhq @mobdevross I disagree and would highly recommend the video of this talk wh\xe2\x80\xa6 https://t.co/9EYBAg1YwJ'
1091346123447504897,2019-02-01 14:42:46,"b'Panel time at #GitMerge! @github, @gitlab and @Bitbucket all represented so it should be an interesting discussion. https://t.co/JtTGo7KfoS'"
1091342332123844613,2019-02-01 14:27:42,b'@pablocoberly @orangejellyhq @mobdevross I think the idea is that you can progress from learning abstract concepts\xe2\x80\xa6 https://t.co/G4zNVqVHw9'
1091333056202457089,2019-02-01 13:50:51,b'As a big stickler for git discipline myself I appreciated this talk by @AniketSMK at #GitMerge! https://t.co/cMdPvbxQWF'
1091327849456390144,2019-02-01 13:30:09,"b'What a great talk, thanks @belenpena! https://t.co/NUmI9LfvlP'"
1091319746203713536,2019-02-01 12:57:57,b'Great talk by @kleptine at #GitMerge. Some really interesting insights and ideas around the use of git in game dev. https://t.co/ler5xsa3CR'
1091287849037688832,2019-02-01 10:51:13,b'The how\xe2\x80\x99s and why\xe2\x80\x99s of the transition to SHA-256 in git. Thanks for the consideration to 80-column screens @bk2204\xe2\x80\xa6 https://t.co/9IhdcrMJt0'
1091268333788454912,2019-02-01 09:33:40,b'Git @ Google scale. Been looking forward to this one! #GitMerge https://t.co/cJP0I5lMEg'
1091263484338294784,2019-02-01 09:14:24,b'Kicking off #GitMerge is @baconandcoconut! https://t.co/Bg73cRNNoQ'
1091032288933101571,2019-01-31 17:55:42,b'Hello Brussels! Looking forward to #gitmerge2019 tomorrow. Do I know anybody going?'
1084911398868664322,2019-01-14 20:33:28,b'Just got caught out for a while by this really weird AWS CLI behaviour... trying to store a URL in EC2 Parameter St\xe2\x80\xa6 https://t.co/73a2aITE79'
1083686576700485633,2019-01-11 11:26:28,b'Got my ticket to #JAMstack London! https://t.co/IfJswOrETV via @Meetup'
1077554273091756034,2018-12-25 13:18:53,"b""RT @orangejellyhq: It's that `npm xmas` time of year again! Happy Xmas, we love you too @npmjs \xf0\x9f\x98\x84\xf0\x9f\x8e\x84 https://t.co/TLb52EMXeK"""
1076066207680397312,2018-12-21 10:45:50,b'Really looking forward to this next year! Looks like a great lineup. https://t.co/XfQzaS2hqm'
1070386135774445569,2018-12-05 18:35:16,b'@TheBeerHawk #xmascheers And this one I already know is good! From one of my favourite breweries @fourpurebrewing https://t.co/eKJSUUmTn6'
1070020384089694209,2018-12-04 18:21:54,b'@TheBeerHawk #xmascheers oh this one is gonna be good! https://t.co/LHvdEjSH64'
1069945220521955328,2018-12-04 13:23:13,"b""I just discovered that vim has a ROT13 command... `g?`. Does anyone know why?! It doesn't seem like something that\xe2\x80\xa6 https://t.co/JccNiuJptB"""
1069903137866174465,2018-12-04 10:36:00,"b'RT @orangejellyhq: It looks like @dan_abramov\'s new ""overreacted"" blog is going to be a great source of in-depth JavaScript knowledge as it\xe2\x80\xa6'"
1069305308009431040,2018-12-02 19:00:26,b'@TheBeerHawk #xmascheers https://t.co/tSS8hCirGO'
1069007537511571456,2018-12-01 23:17:12,b'It\xe2\x80\x99s December which means it\xe2\x80\x99s time for @TheBeerHawk advent calendar \xf0\x9f\x98\x84 #XMASCHEERS https://t.co/mXN4MRmBST'
1066986870083649536,2018-11-26 09:27:48,"b'@SnowCampIO Sorry for the delay in getting back to you. Unfortunately, I am no longer available for the dates of Sn\xe2\x80\xa6 https://t.co/vciXFlEQmb'"
1065336890461749248,2018-11-21 20:11:22,"b'Tweeting it out again for the evening crowd... new blog post going into detail about ""git bisect"", one of the reall\xe2\x80\xa6 https://t.co/VIoY3hipoN'"
1065226017885863936,2018-11-21 12:50:48,"b'I wrote a new blog post to explain ""git bisect"", one of those git features that can be incredibly useful but is so\xe2\x80\xa6 https://t.co/sJWVHZCaWt'"
1063488564422430721,2018-11-16 17:46:47,"b'\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc great talk, thanks @jevakallio! #halfstackconf'"
1063481460672335872,2018-11-16 17:18:33,b'Approaching the end of #halfstackconf... that means it\xe2\x80\x99s time for the JavaScript performance arts which can only me\xe2\x80\xa6 https://t.co/8zOxuEWag5'
1063435070600634370,2018-11-16 14:14:13,b'Been looking forward to this one! @StephenCookDev talking about his pure CSS Mario Kart #halfstackconf https://t.co/uVRS8ChRsC'
1063423533357907970,2018-11-16 13:28:22,"b'Now @lilianakastilio from @snyksec is going into detail about some common security vulnerabilities, something that\xe2\x80\xa6 https://t.co/eh8p18bo0L'"
1063406680275324929,2018-11-16 12:21:24,b'Learning some great front-end performance and performance testing tips from @szynszyliszys #halfstackconf https://t.co/bHh0g8fwmT'
1063401969203769344,2018-11-16 12:02:41,b'RT @orangejellyhq: Can\xe2\x80\x99t be with us today? You can join the @halfstackconf livestream https://t.co/kUfohZ0jcv currently learning about buil\xe2\x80\xa6'
1063389350308782082,2018-11-16 11:12:32,"b'Up next, @Lady_Ada_King is talking about XR (TIL that \xe2\x80\x9cXR\xe2\x80\x9d is an umbrella term for e.g. VR and AR) in\xe2\x80\xa6 https://t.co/CxRZTsntPZ'"
1063381361950687232,2018-11-16 10:40:48,b'#halfstackconf kicking off with @codepo8! https://t.co/VZkPaVbRw1'
1063360724934770689,2018-11-16 09:18:47,b'RT @orangejellyhq: Today we\xe2\x80\x99re at @halfstackconf in London! JavaScript in a pub... what could be better than that?! https://t.co/18l5lJHqmc'
1062985023882698752,2018-11-15 08:25:53,b'Excited for @halfstackconf tomorrow! @mobdevross and I will be there with plenty of fancy new hexagonal\xe2\x80\xa6 https://t.co/KSobNzyXab'
