twitter_id,date,tweet
1109852386762412032,2019-03-24 16:20:03,"b'@mouthofmorrison Some more choices:\nRegrets,\nWistfully,\nTritefully,\nxoxo,'"
1109842710029107200,2019-03-24 15:41:36,b'n7ms are the new TLAs\n\nhttps://t.co/wTXZHn3Pyu\nhttps://t.co/yHBHtxieQ8'
1109626018149662720,2019-03-24 01:20:33,"b'@rdpeng @kwbroman Duct tape the boot, WD-40 the wheels. Should be good for a few more years!'"
1109617288339173376,2019-03-24 00:45:51,b'@geospacedman @edzerpebesma cbind() and rbind() have unique S3 dispatch dynamics. That may be at play here.'
1109076980522196993,2019-03-22 12:58:52,b'RT @daroczig: The new `errorCondition` fn as per https://t.co/WWoY136YAo (going live in April with 3.6.0) and so thus many more structured\xe2\x80\xa6'
1108779407982977031,2019-03-21 17:16:25,b'@kwbroman Not smart...'
1108547487013302272,2019-03-21 01:54:51,"b""@joranelias My wife lol'd https://t.co/hKejzZwLo7"""
1108539111424618496,2019-03-21 01:21:34,b'...but you will never grasp it... https://t.co/ThkZAr7oGB'
1108443826622996480,2019-03-20 19:02:56,b'RT @jeremyphoward: Some nice ideas from @WinVectorLLC included in here \xf0\x9f\x98\x80 https://t.co/SeepN3bAWd'
1108383911963516931,2019-03-20 15:04:52,b'@joranelias Understandable. I noticed someone who was regularly removing all but the one person they were replying\xe2\x80\xa6 https://t.co/Zw7zufATsR'
1108378583943340032,2019-03-20 14:43:41,b'TIL some Twitter users remove people when they reply in threads... \xf0\x9f\x94\xa5'
1108376884507803648,2019-03-20 14:36:56,"b'@petemohanty @jdatap @hrbrmstr @hadleywickham The potential problem is more subtle than one ""house of cards"" depend\xe2\x80\xa6 https://t.co/By3HK2EbQ1'"
1108373024682708993,2019-03-20 14:21:36,"b'@hrbrmstr @hadleywickham ""Dependency fret"" is mainly about caring about future users, including yourself. They can\xe2\x80\xa6 https://t.co/avEaD0jzXN'"
1108359780714852352,2019-03-20 13:28:58,"b'@BrodieGaslam @groundwalkergmb @mdsumner I must be weird, because my first attempt seems to be correct:\n\nX &lt;- xo  #\xe2\x80\xa6 https://t.co/JW2r3hpQPB'"
1108134385746886656,2019-03-19 22:33:20,"b'RT @danrkports: @clegoues Many years ago:\n\nInterviewer: Can you explain object-oriented programming to your mother?\n@ireneyunzhang: Mom, yo\xe2\x80\xa6'"
1108115829827219461,2019-03-19 21:19:36,b'Some package conflict resolution coming to R-3.6.0 #rstats https://t.co/20jUozOjX3'
1108097977799843841,2019-03-19 20:08:40,"b'@lemire Maybe at antique shops?\nI have a few 3.5"" disks you could have.'"
1108097401385111558,2019-03-19 20:06:22,b'@lemire Give those students their homework on zip drives. \xf0\x9f\x98\x8f'
1107753643665707008,2019-03-18 21:20:24,b'@gshotwell @hrbrmstr @hadleywickham @MilesMcBain I disagree! \xf0\x9f\x98\x89'
1107663509888749568,2019-03-18 15:22:14,"b'RT @markvdloo: I have added tinyverse badges to the README of my #rstats packages, and so can you! Follow the link to see how: https://t.co\xe2\x80\xa6'"
1107620778500112385,2019-03-18 12:32:26,b'@hrbrmstr @grrrck @MilesMcBain @markvdloo Can you expand on that? I have my own concerns about using FOSS from comp\xe2\x80\xa6 https://t.co/SAEBNbbOeO'
1107098555628572673,2019-03-17 01:57:19,b'RT @Noahpinion: Zak David is coming for your machine learning finance papers.\n\nYOU HAVE BEEN WARNED. https://t.co/vrUTuQKSsX'
1107080618926575617,2019-03-17 00:46:02,"b'@matloff @dselivanov_ @hfmuehleisen @cboettig @BrodieGaslam Mac is giving *nix a bad name, just when distros like U\xe2\x80\xa6 https://t.co/sCYyYXmMpg'"
1107072199079456768,2019-03-17 00:12:35,b'@revodavid @AnthroPunk Consider that a gift from Facebook to you.'
1107071033956319232,2019-03-17 00:07:57,"b""@ucfagls @kjhealy You're stuck?  Oh no!  I'll rescue you!"""
1106956710349103104,2019-03-16 16:33:40,b'RT @farnamstreet: Douglas Adams on our Reactions to Technology Over Time https://t.co/WfWdjpJaIy https://t.co/bN6sdFp8jP'
1106722163674005505,2019-03-16 01:01:40,b'@joranelias Like this. https://t.co/pjRAy73Urv'
1106690258735955968,2019-03-15 22:54:53,"b""@joranelias Yes!\nAnd if that doesn't work, try typing harder. Perhaps with a hammer."""
1106686249430122496,2019-03-15 22:38:57,b'@joranelias Have you tried typing faster?'
1106686120132308992,2019-03-15 22:38:26,b'@ansate Solidarity!'
1106635525560193025,2019-03-15 19:17:24,b'RT @eddelbuettel: R^4 #20: Dependencies. Now with badges!\nVisualize direct and recursive dependencies of your packages and repos\nWith speci\xe2\x80\xa6'
1106568716588908550,2019-03-15 14:51:55,"b'RT @AchimZeileis: New CRAN task view on ""Teaching Statistics"" by Paul Northrop. https://t.co/6knffyv5F7 https://t.co/lc3SbwJu5U'"
1106568648137814018,2019-03-15 14:51:39,"b'RT @ManQuantTech: Congratulations to Kirsten Achtelstetter, Man GLG\xe2\x80\x99s CTO for winning Technology Leader of the year (end-user) at the Women\xe2\x80\xa6'"
1106518475990798337,2019-03-15 11:32:17,"b'@carroll_jono @groundwalkergmb @coolbutuseless @BrodieGaslam Quiet or loud, modifying dispatch of another package i\xe2\x80\xa6 https://t.co/yU6r14jWBM'"
1106339372792770560,2019-03-14 23:40:35,"b""Roland's giving a great talk to a nearly-full audience! #rstats https://t.co/wGSj4DsyRD"""
1106328645373755392,2019-03-14 22:57:58,"b""RT @aprilwensel: Nice thorough article from @birgitta410 on the origins of stereotypes and bias in software development culture.\n\nIf you're\xe2\x80\xa6"""
1106322166461673472,2019-03-14 22:32:13,b'@tpoi They need to move the floor drain.'
1106318632458637317,2019-03-14 22:18:11,"b""RT @useR2020stl: We're thrilled to welcome the #rstats community to #StLouis for #useR2020, and to bring useR! back to the Midwest (the fir\xe2\x80\xa6"""
1106316124021358592,2019-03-14 22:08:12,"b'RT @MarkusGesmann: The registration for the Insurance Data Science conference @ ETH Zurich, 14 June 2019 is open: https://t.co/Hpp73nHacG'"
1106244884053352450,2019-03-14 17:25:08,b'@njr0 @jaredlander 80% data\n20% science'
1106207835204014081,2019-03-14 14:57:54,"b'RT @_R_Foundation: We are pleased to announce that useR! 2020 will take place in St Louis, MO, USA. Follow @useR2020stl for further news.'"
1106200564063453184,2019-03-14 14:29:01,"b'@joranelias @wrathematics I call them future-frustration-finders, or regression-rockstars'"
1106198628643864576,2019-03-14 14:21:19,"b""@sehurlburt I just remembered that he said most people think of abuse as physical abuse, but that wasn't my problem\xe2\x80\xa6 https://t.co/TbR3t4SYM7"""
1106197580525027328,2019-03-14 14:17:10,"b'@sehurlburt And, like me, it may help you understand some of your potentially destructive behavior.'"
1106197103582289921,2019-03-14 14:15:16,"b'@sehurlburt So I would recommend others read this book, regardless of their relationship. It is even helpful for no\xe2\x80\xa6 https://t.co/ydVroBRiWQ'"
1106196610214756354,2019-03-14 14:13:18,"b'@sehurlburt Despite the reason for my behavior, the book helped me understand how it affected her. That made me rea\xe2\x80\xa6 https://t.co/GSB6IJpfRS'"
1106196075403268096,2019-03-14 14:11:11,"b""@sehurlburt That is an absolutely fantastic book. I read it at my wife's request. She felt some of my behavior was\xe2\x80\xa6 https://t.co/ieVg8ljuBZ"""
1106194721297362944,2019-03-14 14:05:48,b'RT @BrodieGaslam: Just resolved #rstats `rchk` issues on my pkg w/ rhub https://t.co/2sLez5z2OB.  Thank you to Tomas Kalibera for the rchk\xe2\x80\xa6'
1105850410609377280,2019-03-13 15:17:38,"b""@cbahlai I'm convinced there's a subtle, insidious bug lurking in the shadows when my code works the first time. Especially compiled code."""
1105797976679686144,2019-03-13 11:49:17,"b'@pwang When a ""product"" is free to the consumer, it\'s not the product. The consumer is the product.'"
1105643941431599105,2019-03-13 01:37:12,"b'@CMastication @wgrosso mmmm, nachos https://t.co/YDUfNhdRZU'"
1105640067215908865,2019-03-13 01:21:48,b'@CMastication @wgrosso FYI - there are keyboard covers that keep the cheese from getting into the keyboard... or so\xe2\x80\xa6 https://t.co/cBmnSOXqWo'
1105639375331823618,2019-03-13 01:19:03,"b""@LukeTierney4 @ClausWilke Hey, the roach motel isn't that bad once you get the furniture arranged just how you like\xe2\x80\xa6 https://t.co/Th6q8hgBKJ"""
1105616966545485824,2019-03-12 23:50:00,"b'RT @dff: A professional class of independent open source maintainers, working together to create products &amp; services that organizations are\xe2\x80\xa6'"
1105559884567859205,2019-03-12 20:03:11,b'@CMastication @joranelias @bhive01 Eh? Did you think he was running your code? \xf0\x9f\x98\x8b'
1105556305132093440,2019-03-12 19:48:58,b'@joranelias @bhive01 I knew it would!'
1105555069469159424,2019-03-12 19:44:03,"b""RT @garybernhardt: This is one of the reasons that @DeconstructConf exists. We're independent and unsponsored. There's no one behind the sc\xe2\x80\xa6"""
1105554489086496770,2019-03-12 19:41:45,"b'@bhive01 @joranelias Tell me what packages it uses and I\'ll give you an estimate of how likely it is to ""just work"" \xf0\x9f\x98\x8f'"
1105331835364626432,2019-03-12 04:57:00,"b""Quick reminder about this week's #rstats meetup in #stl! https://t.co/cPPH7bXLgu"""
1105229167728254976,2019-03-11 22:09:02,"b""@joranelias Ugh, that sucks. I don't miss that at all."""
1105134374234873857,2019-03-11 15:52:21,"b""@jwebbphd Thank you for writing them! My parents were also victims of CEN, and I'm working to break that pattern wi\xe2\x80\xa6 https://t.co/nR4T0nCnub"""
1105130338119020546,2019-03-11 15:36:19,"b'RT @pdalgd: #rstats 3.5.3 ""Great Truth"" is released (source version). (@LucyStats: The hint is in the date.)'"
1105128202052272129,2019-03-11 15:27:50,"b'""Of course, such tendencies are precisely what the scientific method was invented to correct for, and over the long\xe2\x80\xa6 https://t.co/aVMC8uY9nx'"
1105128200475152385,2019-03-11 15:27:49,"b'""This makes scientific inquiry prone to the eternal rules of human social life: deference to the charismatic, herdi\xe2\x80\xa6 https://t.co/XTkoWuIbrt'"
1105128199237914626,2019-03-11 15:27:49,"b'""The group, suggested Fleck, inevitably develops a mind of its own, as the individuals in it converge on a way of c\xe2\x80\xa6 https://t.co/R5iwW9AywL'"
1105128197325316096,2019-03-11 15:27:49,"b'A particularly relevant section:\n\n""A scientist is part of what the Polish philosopher of science Ludwik Fleck calle\xe2\x80\xa6 https://t.co/uYXIwP5E0n'"
1105128195387465729,2019-03-11 15:27:48,"b'A scary example of how ""science"" can become unscientific due to a small, but vocal, group.\n(There is no subtweet he\xe2\x80\xa6 https://t.co/6288SJOnxd'"
1105119884252459008,2019-03-11 14:54:47,b'@jeffneuen You might be interested in this talk by @bcantrill\nhttps://t.co/wfFn99pYJy\nh/t @jessfraz'
1105118913048858624,2019-03-11 14:50:55,"b'@kevin_ushey You had me at ""post-mortem"" \xe2\x9d\xa4\xef\xb8\x8f'"
1105109155575152641,2019-03-11 14:12:09,"b'RT @iacus: YSS2019 - YUIMA Summer School on Computational and Statistical Methods for Stochastic Process, Brixen (IT) 25-28 June 2019. Regi\xe2\x80\xa6'"
1104880023868264448,2019-03-10 23:01:40,b'RT @joeerl: No I\xe2\x80\x99ve only been programming for 50 years so I\xe2\x80\x99ve seen the latest thing rather too many times to be impressed by the latest la\xe2\x80\xa6'
1104783091887947777,2019-03-10 16:36:29,"b""I read @jwebbphd's books ~1 year ago. Running on Empty (https://t.co/SKRFzKGgJt) and Running on Empty No More (\xe2\x80\xa6 https://t.co/kW1uBjbfGL"""
1104782804796272640,2019-03-10 16:35:21,"b'I relate to all 4 signs, and they were very pronounced when I was a child.\n1) Reluctant to reach out to anyone.\n2)\xe2\x80\xa6 https://t.co/MP1hpFna8N'"
1104771549071056896,2019-03-10 15:50:37,"b""@sckottie Ah, true... they're definitely not going to lose any sleep over it though."""
1104762597394604032,2019-03-10 15:15:03,"b'@sckottie even if they know about it, do they care?'"
1104746962467860480,2019-03-10 14:12:55,b'@timfarr23 And slam a revolving door.\nChuck Norris can kill two stones with one bird.'
1104570380197478400,2019-03-10 02:31:15,"b'@CMastication Indeed. And running rich is bad for the environment... it may also destroy your catalytic converter,\xe2\x80\xa6 https://t.co/xda2vaMbfk'"
1104567658203283457,2019-03-10 02:20:26,"b'@BreveStonder @jim_savage_ Get a job that lets you work remotely. Then every day could be. ""program in my underwear"" party day!'"
1104566538919702528,2019-03-10 02:15:59,b'@CMastication Also use it as an opportunity to talk about premature ignition! Detonation is dangerous!'
1104544558602432513,2019-03-10 00:48:38,"b""@matloff That's true of all industries though, right? What about tech makes it worse? The higher starting salaries?"""
1104536902336692224,2019-03-10 00:18:13,"b""@matloff There seems to be an underlying assumption that newer software is better, and there's little value to lear\xe2\x80\xa6 https://t.co/JD2fP01LNE"""
