twitter_id,date,tweet
1080611990597324800,2019-01-02 23:49:10,b'My Ozz robot from @jeffbarr ! https://t.co/OScnPkvbu1'
1079510283205242880,2018-12-30 22:51:22,"b'@WDWToday Hal was helping direct people at the conclusion of Rivers of Light in Animal Kingdom on Wed December 12,\xe2\x80\xa6 https://t.co/Xq56XTyJ0U'"
1076270524366548993,2018-12-22 00:17:43,"b'RT @SInow: Justin Gallegos, a runner at Oregon with cerebral palsy, thought he was just finishing another cross country race. Little did he\xe2\x80\xa6'"
1076268680449798144,2018-12-22 00:10:24,"b""I'm delighted to give a #castcompliment to Disney's Animal Kingdom cast member HAL who chatted to us after the Rive\xe2\x80\xa6 https://t.co/xEwM2Uw9a4"""
1075101122535272451,2018-12-18 18:50:56,"b""Phew! I've finished creating a Podcast feed of AWS re:Invent 2018. Download sessions directly or point iTunes or yo\xe2\x80\xa6 https://t.co/MGrJYaq5mQ"""
1065713660213874690,2018-11-22 21:08:31,b'@hayestheatre An utterly wonderful opening night of Aspects of Love @hayestheatre in Sydney. The music and singing\xe2\x80\xa6 https://t.co/dfYvhQppiu'
1062064881132822530,2018-11-12 19:29:34,b'Apparently I came 23rd. https://t.co/FtvCg1vSkK'
1061729596146700289,2018-11-11 21:17:16,b'Let them eat cake! @ Waldorf Astoria Jerusalem https://t.co/3Pd8e1fUbG'
1061679431192850432,2018-11-11 17:57:56,b'Rummikub gala dinner @ Waldorf Astoria Jerusalem https://t.co/qHhW5YjV81'
1061679319355924480,2018-11-11 17:57:29,b'The theming! @ Waldorf Astoria Jerusalem https://t.co/9YL7oXv7Kk'
1061513172719493120,2018-11-11 06:57:16,"b'The famous! @ Jerusalem, Israel https://t.co/SMtXXCRdGr'"
1061290325988331520,2018-11-10 16:11:46,b'And the winner is... Japan! https://t.co/hHYPnCHhe5'
1061289554538303488,2018-11-10 16:08:42,"b'WRC finals now on... @ Jaffa, Israel https://t.co/7ydvtmzH3A'"
1061204104955875328,2018-11-10 10:29:09,b'Final Table WRC10:\n\n1. The Netherlands\n2. Japan\n3. Isra\xc3\xabl \n4. Poland @ Waldorf Astoria Jerusalem https://t.co/Xq6r8bwL3V'
1061186478741450753,2018-11-10 09:19:07,"b'Game 8. Very slow game. Failed, sorry Australia! @ Waldorf Astoria Jerusalem https://t.co/XBtkJ9QqK6'"
1061181686334058497,2018-11-10 09:00:04,"b'Game 7, a win for Australia at last! @ Waldorf Astoria Jerusalem https://t.co/yeAk4uUIWr'"
1061179255349014528,2018-11-10 08:50:24,"b""Game 6. Started with three sets, but couldn't turn it into a win. @ Waldorf Astoria Jerusalem https://t.co/7Kua7DseyK"""
1061176536215228417,2018-11-10 08:39:36,b'Game 5 to Russia. That went quick! https://t.co/pjocpuvfQk'
1061168184466784256,2018-11-10 08:06:25,"b""Game 4 to Poland on my right. I think I played once after coming down and Poland's magic hands manipulated everythi\xe2\x80\xa6 https://t.co/a2oy7V2l7n"""
1061167570743631872,2018-11-10 08:03:59,"b""Game 3 to France too. Took ages until I could come down, fortunately I wasn't stuck with to much. @ Waldorf Astoria\xe2\x80\xa6 https://t.co/VWurqBB77t"""
1061167296826273792,2018-11-10 08:02:53,"b'Game 2 to France again. Boy, these other players are fast! https://t.co/Qq0fuFmHEB'"
1061166525153853441,2018-11-10 07:59:49,"b'Game 1. Close, but not good enough. I had lots of Jokers, probably helped three other players to much. https://t.co/zqiZ6WT50D'"
1061154175990427649,2018-11-10 07:10:45,b'The gaming floor @ Waldorf Astoria Jerusalem https://t.co/6DSMTf17J4'
1061152094621708288,2018-11-10 07:02:29,b'For the country! @ Waldorf Astoria Jerusalem https://t.co/x15FbV3Usq'
1061005146723942400,2018-11-09 21:18:34,b'Even gamers gotta eat. @ Abu Ghosh https://t.co/pQPQQz4WxW'
1060920609104936961,2018-11-09 15:42:38,"b'World Rummikub Championships - Program @ Jerusalem, Israel https://t.co/xVXltxlz7F'"
1060920394260066306,2018-11-09 15:41:47,"b'World Rummikub Championships - Welcome! @ Jerusalem, Israel https://t.co/wKNsJpiYTH'"
1060919871314317313,2018-11-09 15:39:42,"b'World Rummikub Championships - Competition Regulations @ Jerusalem, Israel https://t.co/hhItI4Tlas'"
1059950853652705280,2018-11-06 23:29:11,b'Heading to Israel to represent Australia in the World Rummikub Championships #WRC2018 https://t.co/PRz1lh9exR'
1049978959419473920,2018-10-10 11:04:26,"b'This robot uses AI to find Waldo, thereby ruining Where\xe2\x80\x99s Waldo https://t.co/xwnKvyn6d3 via @Verge'"
1033953118902525952,2018-08-27 05:43:28,b'RT @AWSCloudANZ: Are you interested in becoming AWS Certified? Our complimentary workshops can help you prepare for your exam. https://t.co\xe2\x80\xa6'
1033952924064395264,2018-08-27 05:42:41,"b""I'll be presenting the AWS Certification Exam Readiness Bootcamp at the AWS Public Sector Summit in Canberra.\xe2\x80\xa6 https://t.co/bhg1nsq6eP"""
1025239144417644544,2018-08-03 04:37:14,"b'RT @AWSCloudANZ: Our #AWSDevDay Melbourne \xf0\x9f\x87\xa6\xf0\x9f\x87\xba kicks off next week! Checkout the agenda, plan your schedule &amp; get your selfie \xf0\x9f\xa4\xb3\xf0\x9f\x8f\xbd with #purple\xe2\x80\xa6'"
997330218909040641,2018-05-18 04:17:08,b'RT @AWSCloudANZ: 2018 Canberra #AWSPSSummit pre-registration is now open! https://t.co/JnooGyv3cz https://t.co/eZNsCz8INc'
996637969820930048,2018-05-16 06:26:23,b'RT @AWSCloudANZ: Equip yourself with the right skills to get started at AWSome Day Online Conference! https://t.co/aCtikhWjis https://t.co/\xe2\x80\xa6'
