twitter_id,date,tweet
947420665958862848,2017-12-31 10:54:23,"b'@LadyMercia Does anyone know from which brain this ""British"" profile originated? I\'m actually so f@#$ing bored righ\xe2\x80\xa6 https://t.co/BRopbEDJmN'"
947417820794621954,2017-12-31 10:43:05,b'@LadyMercia @bitburner @Fornowago @theweepingbigot @tashunkawitko2 @MummysCock @MarcusAgrippa4 @judiout @FBPE_\xe2\x80\xa6 https://t.co/Z7xV0UPKjG'
916774905668079617,2017-10-07 21:19:05,b'@MikeStuchbery_ @DineshDSouza Nothing to discuss. Just report and be done with it. What a douche.'
915673883671502849,2017-10-04 20:24:00,"b""@EUVoteLeave23rd What's the weather like in Moscow this time of year?"""
915653396463603712,2017-10-04 19:02:36,"b""There isn't enough tinfoil in the world for @PrisonPlanet and its cronies. https://t.co/fhIXvKJ6WS"""
915103490220883968,2017-10-03 06:37:28,"b'@EUVoteLeave23rd Thank you, bot'"
909865378444083200,2017-09-18 19:43:05,"b""@carole99897 @your How's Russia?"""
908353697926742016,2017-09-14 15:36:12,"b""@PrisonPlanet A Breitbart article referencing a Bild article, Germany's Daily Fail equivalent. Very credible."""
907333934698164224,2017-09-11 20:04:02,b'I wonder how @PrisonPlanet and other tools will spin this: https://t.co/aJP6bcxFuM'
902597039887978496,2017-08-29 18:21:18,b'@baldeguy56 @MSMsurvey @TRobinsonNewEra @piecrust33 @DavidJo52951945 @ARnews1936 @Fingersflying @ophidianpilot\xe2\x80\xa6 https://t.co/37crth6Rr8'
902592626830045185,2017-08-29 18:03:46,b'@baldeguy56 @MSMsurvey @TRobinsonNewEra @piecrust33 @DavidJo52951945 @ARnews1936 @Fingersflying @ophidianpilot\xe2\x80\xa6 https://t.co/RUWnW3nbXX'
900842062400159744,2017-08-24 22:07:39,b'@brexitbexsley @Michael_PLawson Pssst. Britain already has control of its borders. Nothing to do with the EU.'
898264186949693441,2017-08-17 19:24:05,"b""@PrisonPlanet What a fucking yawnfest. More likely to get shot by a toddler in the US, but racism is cool, isn't it?"""
897864452816736256,2017-08-16 16:55:41,b'@DavidJo52951945 So we should #remain then. It is settled.'
897844361253208064,2017-08-16 15:35:51,b'@Tim_Mc_Garry There is logic behind #Brexit? I am stunned.'
897574484269576196,2017-08-15 21:43:27,"b'RT @karim79: According to #Trump white supremacists are a legit ""side"", just as anti-vaccers\' non-arguments represent a ""side"" in the face\xe2\x80\xa6'"
897573112254001153,2017-08-15 21:38:00,"b'""When I make a statement I like to be correct"". Fucking priceless coming from #Trump :D'"
897565956255428608,2017-08-15 21:09:34,b'I should have added: SAD!'
897564730306514945,2017-08-15 21:04:42,"b'According to #Trump white supremacists are a legit ""side"", just as anti-vaccers\' non-arguments represent a ""side"" in the face of science.'"
897557019678445568,2017-08-15 20:34:03,"b""UK media loves #Trump as he's the only thing capable of making #Brexit look less ridiculous, to some extent. It could be a tie though."""
894607355576496128,2017-08-07 17:13:09,b'@Nigel_Farage You truly are a world-class tosser'
893470147297644545,2017-08-04 13:54:17,"b'I\'ve kept quiet about it but no more. #brexit is setting your trousers on fire &amp; jumping off a plane without a parachute. For ""control"" :('"
893120469993435136,2017-08-03 14:44:48,"b""@ManMadeMoon On a more serious note, I live 1 minute away from your dad's old place on Hauptstra\xc3\x9fe. You are both heroes of mine."""
893117132489228290,2017-08-03 14:31:32,"b""@ManMadeMoon That's beautiful. When will Mute be released?"""
884550009722740736,2017-07-10 23:08:51,"b'RT @EmporersNewC: 1. Hello, United Kingdom, it\xe2\x80\x99s the United States of America here, and we need to talk.'"
883054384548130816,2017-07-06 20:05:46,"b'@jjaybrown98 @KrakenIO Hi Jason, can you please send a message to support if you have not done so already?'"
882628534811938816,2017-07-05 15:53:35,b'@PrisonPlanet Says the most shameless purveyor of fake news. Hilarious.'
880093554407866368,2017-06-28 16:00:29,b'@DavidJo52951945 Please stop reading the gutter press.'
879735511174270978,2017-06-27 16:17:45,"b""@PrisonPlanet Hello xenophobic fascists. How's the echo chamber doing?"""
878033828543164416,2017-06-22 23:35:52,"b'@jchr5667 ""Undemocratic resistance"" is a contradiction in terms. There is no finality to anything that happens within a democracy.'"
877996839554826240,2017-06-22 21:08:53,"b'@DavidJo52951945 Did you really think there would be mass deportations? This is good, only not good enough. All should be able to stay.'"
877203423686533121,2017-06-20 16:36:08,b'@PrisonPlanet Citation needed.'
874353539866394625,2017-06-12 19:51:43,"b""RT @JeremyCliffe: A year ago Tory commentators were grandly hailing Europe's doom. Today Merkel and Macron are riding high, while Britain i\xe2\x80\xa6"""
874349285147586565,2017-06-12 19:34:48,"b""@disco_plushTV @PrisonPlanet Dumbest tweet I've read today. Thanks."""
872121539864535041,2017-06-06 16:02:32,"b""@PrisonPlanet Do you think it's time you tried something different? https://t.co/DnAdLjmRth"""
870368184259547136,2017-06-01 19:55:20,b'Anyone else watching this drooling moron speak? #TrumpSpeech'
867778178466496512,2017-05-25 16:23:34,b'@PrisonPlanet Harvard Study: The average IQ of a PJW follower is -17.'
865672113511903233,2017-05-19 20:54:49,"b'@DavidJo52951945 You do realise that immigration is needed to build and maintain a strong economy. This isn\'t ""proj\xe2\x80\xa6 https://t.co/LDwmoVViuD'"
862744456604168192,2017-05-11 19:01:22,b'@DavidJo52951945 You really must live in some fantasy land. There is no way the UK will be better off outside of th\xe2\x80\xa6 https://t.co/SFBlk4LckP'
861345150978732032,2017-05-07 22:21:01,"b'@PrisonPlanet Citation needed, you lying asshat.'"
861315191128170496,2017-05-07 20:21:58,"b'@PrisonPlanet Amazing how frightened you all are of the ""terrorist threat"" when there are far worse things, like PJ\xe2\x80\xa6 https://t.co/W85sSE2S0D'"
861280990341337089,2017-05-07 18:06:04,b'Let the bigot tears start flowing! #frenchelection'
858487180544684032,2017-04-30 01:04:28,b'@GregMontfort Hello idiots.'
858484646509785088,2017-04-30 00:54:24,b'@GregMontfort This is too funny. You are fucking clueless.'
852915456004546561,2017-04-14 16:04:25,"b'@upcomingcars1 Magento, Shopware, Contao, Umbraco, Prestashop'"
852914118571020288,2017-04-14 15:59:06,"b""@upcomingcars1 Will reply once it's done"""
852914013688254466,2017-04-14 15:58:41,"b'@upcomingcars1 Refunding the difference, no worries Paul.'"
850093082955710464,2017-04-06 21:09:19,"b""@DavidJo52951945 Except....It's not happening. Brexit+Trump have made people start voting sensibly (see NL) and stop reading the tabloids"""
846866124692164609,2017-03-28 23:26:32,b'RT @FordMcCartney: Tonight clocks go back 30 years in Britain #BrexitEve #Article50 #brexit #poundcoin'
846400447506235392,2017-03-27 16:36:06,"b'@PrisonPlanet not a generation but a minority subset of vulnerable racist ignoramuses, for the sake of driving up your YouTube revenue.'"
836718466199601152,2017-02-28 23:23:22,"b'RT @ChuckReynolds: love having @KrakenIO in @wpcli, every site now, even little ones... :) #wordpress https://t.co/iCMAtKz2Xw'"
835490981881516032,2017-02-25 14:05:47,b'Got a fine shipment of #stackoverflow swag today! \xe2\x9d\xa4 @StackOverflow https://t.co/YrA68uDteu'
834806585545355264,2017-02-23 16:46:14,"b'RT @mikko: It would cost around $500,000-$800,000 to replicate the computational effort Google did to break SHA-1 (at list prices). Hat tip\xe2\x80\xa6'"
834780673625972737,2017-02-23 15:03:16,"b'@internetofshit ""High performance"" whatever the hell that means: https://t.co/SprxH7jqvq'"
834776047778402304,2017-02-23 14:44:53,b'@GhostsofEurope2 Your son will be one of many tasked with sweeping up the smouldering ashes and rebuilding the UK.'
834089396051787778,2017-02-21 17:16:23,"b'@DVATW The notion of ""sovereignty and control"" post Brexit is a fantasy, a contrived invention of the fevered imagination of Brexiters.'"
834085752426340353,2017-02-21 17:01:54,"b""@MikeHolden42 @jonsnowC4 and you haven't heard a decent pro-Brexit argument because there isn't one. A mass misinformed knee-jerk at best."""
834083889958240258,2017-02-21 16:54:30,"b""@MikeHolden42 @jonsnowC4 I'm sure the Brexiters will get over it once the new gen takes it upon themselves to undo this mess. Democracy!"""
834051931182084097,2017-02-21 14:47:30,"b'@PrisonPlanet Hooray, Google is expanding fact checking: https://t.co/dT5LD9rJk4 to make it even easier to call out your vile BS.'"
833816485382471680,2017-02-20 23:11:56,"b'RT @Tumblejockey: @apharrington123 Brexit now a smokescreen for a radical right wing agenda...\'but this is the will of the people""'"
833043197601443840,2017-02-18 19:59:10,"b'@UKIPNFKN Yes, um, sovnity and getting back control of all the things. And the magic creation of more fish.'"
830067932906582016,2017-02-10 14:56:31,b'@WestmonsterUK @WestMonster_UK Except...Britain has not yet left the EU.'
829761681609867269,2017-02-09 18:39:35,b'@rescueAnn Sorry for this - it is completely my fault. Would you like to be a maintainer?'
829410139983794176,2017-02-08 19:22:41,"b""@DavidJo52951945 Nothing will change in terms of immigration, you racist turd. At least not from the EU. Just wait 'n see :)"""
826528514530762752,2017-01-31 20:32:08,"b""@realDonaldTrump when will you accept that more people turned up to Obama's inauguration than to yours, you bigoted ass hat?"""
826502443274010625,2017-01-31 18:48:32,b'@adrianorbs @KrakenIO Sorry for the trouble. Can you shoot an email to support@kraken.io?'
803649228685840385,2016-11-29 17:18:01,"b""RT @YoungbloodJoe: They hype is real, @KrakenIO works to speed up page load time &amp; here's the proof https://t.co/U0PuP2Gkiz #SEO"""
801112453782368256,2016-11-22 17:17:47,"b'@mvrkiz @KrakenIO Hi Marko, we cannot reproduce the problem. Which OS + browser are you using?'"
784321969583894528,2016-10-07 09:18:24,b'RT @KrakenIO: Speed up your @shopware store with Kraken.io and increase conversions: https://t.co/9AOUsq1iOQ #shopware #webperf #perfmatter\xe2\x80\xa6'
