twitter_id,date,tweet
384036563422048256,2013-09-28 19:27:06,b'#ad2mkehunt #doubletrouble http://t.co/cYRbjejc7S'
384035866441969664,2013-09-28 19:24:20,b'Best model pose near fountain. #ad2mkehunt #doubletrouble http://t.co/XGkssXTuUa'
384034866909569024,2013-09-28 19:20:21,b'#ad2mkehunt #doubletrouble brides get bagels and mimosas #rootssalon'
384032018193203200,2013-09-28 19:09:02,b'Sunday brunch and Bloody Mary #ad2mkehunt #doubletrouble'
384030591672266752,2013-09-28 19:03:22,b'@verduras #ad2mkehunt #doubletrouble http://t.co/7V4GTYgFvQ'
384029767931944961,2013-09-28 19:00:06,b'Casper #doubletrouble  #ad2mkehunt'
384029507511779329,2013-09-28 18:59:04,b'The detectives wife #ad2mkehunt #doubletrouble http://t.co/bOxrKsVYqN'
384029080615518208,2013-09-28 18:57:22,b'@feelfab4less #ad2mkehunt  #doubletrouble http://t.co/0cPrOiHW05'
384028435922026496,2013-09-28 18:54:48,b'@pedaltavern #doubletrouble  #ad2mkehunt http://t.co/yqYkz6bUqX'
384027965614731264,2013-09-28 18:52:56,b'Pink planet #ad2mkehunt #doubletrouble http://t.co/hEy6FMdADv'
384027150866989056,2013-09-28 18:49:42,b'@c2gps #doubletrouble #ad2mkehunt rumchata pudding!! @ C2 Graphics Productivity Solutions http://t.co/VHRiMeEsKC'
384024741943590912,2013-09-28 18:40:07,b'GOMKE6847 @TrefoilGroup #ad2mkehunt #doubletrouble'
384023017048657921,2013-09-28 18:33:16,"b'Vietnamese ""Saigon"" cassia cinnamon #ad2mkehunt #doubletrouble @TheSpiceHouse'"
384022539510763520,2013-09-28 18:31:22,b'Rooster #ad2mkehunt #doubletrouble http://t.co/1jNS4A2wo0'
384020511107211264,2013-09-28 18:23:19,b'@liamhanninen @irishpubmke #ad2mkehunt #doubletrouble http://t.co/nqZMSF2kHd'
384019872608296960,2013-09-28 18:20:47,b'#ad2mkehunt #doubletrouble no. 8 Braun @graffitomke'
384018548307537920,2013-09-28 18:15:31,b'#vino100 #doubletrouble #ad2mkehunt @ Vino 100 http://t.co/VfGT3y0YNy'
384016962571214848,2013-09-28 18:09:13,b'#ad2mkehunt #doubletrouble task 5 @ Club Charlies http://t.co/egFMslLzE9'
