twitter_id,date,tweet
847732600802127872,2017-03-31 08:49:36,"b""Here's my pick of the best #ShotOnOnePlus images. Participate to create your own collage: https://t.co/VL6SAeKGs0"""
839799050769686529,2017-03-09 11:24:31,"b""I voted for #OnePlus3T as India's Best Rated Smartphone. Participate and you can win Rs 1 crore #OneCroreOnePlus  https://t.co/VL6SAf2hQA"""
807127681418477568,2016-12-09 07:40:09,b'And then you see this bug after placing order.\nThanks a ton for the prize though :)\n#3TDecDash @OnePlus_IN https://t.co/inHK6Dox6E'
592902502187704321,2015-04-28 04:05:46,b'Enter the @Androidheadline and #OperaMini giveaway for a chance to win a Galaxy S6! #GalaxyMini https://t.co/c2Hi1I0a26'
531411772977070082,2014-11-09 11:43:34,b'In the xbox one session...tried hands on it too...\nCool console.. #MSPSummit'
531376494866468864,2014-11-09 09:23:23,b'Very friendly person...got an opportunity to have a selfie with him.. enjoying at #MSPSummit #Microsoft #Bhopal http://t.co/dlBi6HdKax'
531376127378341888,2014-11-09 09:21:55,b'What an attention grabber he is... Inspiring speech by Mr. Joseph Landes at #MSPSummit http://t.co/JBgtmd6M0t'
531342846352044032,2014-11-09 07:09:41,b'And this is the innauguration...lighting lamps by Mr. Joseph Landes.. #MSPSummit http://t.co/HdRUBvIUQf'
531333551480766464,2014-11-09 06:32:45,b'Ita a band again to start the show.. #Riwaaz #MSPSummit http://t.co/KXoYYtzJdv'
531328788378832896,2014-11-09 06:13:49,b'Reached GGITM Auditorium finally...at the front row fortunately...waiting for the #MSPSummit to start over.. #Microsoft'
531322737424207872,2014-11-09 05:49:46,b'In the bus...going to GGITM Bhopal...gonna have expert lectures..looking forward to it..pretty late though.. #MSPSummit'
531310319373516803,2014-11-09 05:00:26,b'Wanna get ready for the seminars now.. getting fresh now..more excited..yoohoo...! #MSPSummit #MicrosoftMoments'
531309855789690880,2014-11-09 04:58:35,b'Back at the hotel...\nTired..after the 5 km run..'
531309116631687168,2014-11-09 04:55:39,"b'Swatchh Bharat Campaign with MP of Bhopal, clean India, Dream India #Microsoft #MSPSummit http://t.co/zn7hzekQ66'"
531308283282194432,2014-11-09 04:52:20,"b'Valedictory at end of Marathon, #Microsoft officials and #Politicians #MSPSummit http://t.co/rfXN6PjUwt'"
531307114442915841,2014-11-09 04:47:41,b'Another selfie at #adidas Promotions #Marathon #Microsoft #MSPSummit http://t.co/QmlKoTAW3W'
531279424704897024,2014-11-09 02:57:40,b'Another me n my friends running.. #MSPSummit http://t.co/5kORjEu0tS'
531279277568692224,2014-11-09 02:57:05,b'Breakfast time for some marathon runners..lollzz.... tired they are.. :D #Microsoft #MSPSummit http://t.co/Zrfy2PTsZl'
531278162164846592,2014-11-09 02:52:39,b'Its run for #Microsoft #MSPSummit http://t.co/eeuzJBHI7b'
531277849173303296,2014-11-09 02:51:24,b'Marathon mates... #MSPSummit :p ;) http://t.co/ttIjIsnV5y'
531277034979221504,2014-11-09 02:48:10,b'At the start point.. #MSPSummit http://t.co/n1PSwCxPSj'
531276204955820032,2014-11-09 02:44:52,b'Getting ready for Marathon.. #MSPSummit http://t.co/6MbVSqiprA'
531274725553475585,2014-11-09 02:38:59,b'In our room... #MSPSummit http://t.co/mnsiQ4nncu'
531274163621617664,2014-11-09 02:36:45,b'Hotel for #MSPSummit http://t.co/TMkOC2b0bF'
531273345036455937,2014-11-09 02:33:30,b'One of the best bands heard on cultural event.. #MSPSummit http://t.co/aKAExESPFT'
531267847905751040,2014-11-09 02:11:40,b'At the cultural nite... #MSPSummit http://t.co/FeZV2uz58U'
531266498069663744,2014-11-09 02:06:18,b'Made few geek freinds.. ;) #MSPSummit http://t.co/9JGrHkF3uS'
531265574521671680,2014-11-09 02:02:38,b'At the summit finally..feeling great.. #MSPSummit http://t.co/O64Kx7z2yU'
531265232190980097,2014-11-09 02:01:16,b'Very excited for #MSPSummit http://t.co/9lTv7C523G'
