twitter_id,date,tweet
606078403591176192,2015-06-03 12:42:06,"b""@PatDve Tres cher Patrick finallement je peux te joindre je nai aucun numero de telephone pour t'appeler  mon portable 339 8451848"""
391640676779429888,2013-10-19 19:03:08,b'@nanou_nat http://t.co/l7Z9rF6hxj'
391231183964880897,2013-10-18 15:55:57,b'@nat_nanou bien recu 2 tweet  merci pour l info je n avais pas mis le trait au non endroit'
391230792451772416,2013-10-18 15:54:24,b'@nat-nanou.   J ai bien recu votre second tweet merci pour l info'
391227507992952833,2013-10-18 15:41:21,b'@nat-nanou    Essai Bi a mange et j ai ramasse de la rugheta'
389373877648121856,2013-10-13 12:55:41,b'@nat_nanou         Prova dimanche ore 15.55'
389033162086838272,2013-10-12 14:21:48,b'@milou1p: Ciao. Mon Cher Patrick. Devine qui vient demander de tes nouvelles. Ta cousine Patricia. Te souviens tu de rome. Bisous.'
389025908428140544,2013-10-12 13:52:58,b'@PatDve @milou1p: Ciao. Mon Cher Patrick. Devine qui vient demander de tes nouvelles. Ta cousine Patricia. Te souviens tu de rome. Bisous.'
389023438528315392,2013-10-12 13:43:10,b'@PatDve'
389023186756853760,2013-10-12 13:42:10,b'Ciao. Mon Cher Patrick. Devine qui vient demander de tes nouvelles. Ta cousine Patricia. Te souviens tu de rome. Bisous.'
383949688812339200,2013-09-28 13:41:53,b'set #ringtone http://t.co/rwzv0wH1NO with #ringtones #iPhone App http://t.co/Nr1Xgse1pj clk2download'
365481916616552451,2013-08-08 14:37:33,"b'VIDEO. Un ""iceberg de graisse"" extrait des \xc3\xa9gouts de Londres http://t.co/5gP8EvVP0j via @francetvinfo'"
365476412955705346,2013-08-08 14:15:41,"b'VIDEO. ""Fatberg"", un bloc de graisse de 15 tonnes dans les \xc3\xa9gouts de Londres http://t.co/FYgVQCSeL9'"
