twitter_id,date,tweet
1109848603911225345,2019-03-24 16:05:01,b'RT @sec_tigger: Bonus business tip (and life tip I guess): Learn to recognize abusive behavior. Cut it out as soon as possible. \nNo price i\xe2\x80\xa6'
1108100891591225345,2019-03-19 20:20:14,"b'RT @seanrecruiting: Ravi Iyer, sr. director of product management, @Synopsys talks with @DarkReading about the Polaris Software Integrity P\xe2\x80\xa6'"
1105587923620151296,2019-03-12 21:54:36,"b""It's not just the hattrick, it's the fact he called it before the game #cr7."""
1105494927369220099,2019-03-12 15:45:04,"b'RT @SW_Integrity: @OferMaor, director of solutions management, Synopsys, says, ""Looking at the list, some of these vulnerabilities are resu\xe2\x80\xa6'"
1105225641820127232,2019-03-11 21:55:01,b'@SarahWieten primitives?'
1104644145853927424,2019-03-10 07:24:22,"b""RT @stickermule: Let's start this weekend off great with a giveaway! \xf0\x9f\x8e\x89\xf0\x9f\x9a\xa8\n\nPrizes \xf0\x9f\x8e\x81: $50 @stickermule credit for 5 lucky winners. \nRules \xf0\x9f\x93\x9a: J\xe2\x80\xa6"""
1103901982476001281,2019-03-08 06:15:16,"b'RT @SW_Integrity: Adam Brown\'s, manager of security solutions, Synopsys comments on the @NSAGov\'s Open Source Tool Release. He says, ""Ghidr\xe2\x80\xa6'"
1102637906278170624,2019-03-04 18:32:17,b'RT @OferMaor: https://t.co/PsMAuuc20h'
1100079379525312513,2019-02-25 17:05:37,b'RT @SW_Integrity: Announcing the Polaris Software Integrity Platform from Synopsys. Polaris enables comprehensive #AppSec from #developer t\xe2\x80\xa6'
1098913658770468865,2019-02-22 11:53:27,b'GOt up on a ladder and replaced a burned out lightbulb. https://t.co/pPbfou8NsP'
1098455752035971074,2019-02-21 05:33:54,"b""RT @IanColdwater: RT if you're a public speaker and you still panic https://t.co/TGF3EGj9Y9"""
1097529385840726016,2019-02-18 16:12:51,"b'RT @outreachy: Pls RT: Outreachy #internship applications are now open! \xf0\x9f\x8e\x89Outreachy three-month internships are remote, paid ($5,500 stipend\xe2\x80\xa6'"
1097382758664597504,2019-02-18 06:30:12,"b""@iba_ombudsman @kereneubach Saw this due to some retweet/reply. We're always looking for good people at\xe2\x80\xa6 https://t.co/x7kbVRT1s0"""
1097133987498213377,2019-02-17 14:01:41,"b'Hey @devconf_us, looking through your CFP, is it just me, or is there really no community track this year?'"
1096618693675704320,2019-02-16 03:54:05,"b""RT @lindydonna: To prove a point: \n\nPlease RT if you don't have a CS degree and you have a job in tech. https://t.co/AuGi4yxM5Q"""
1095217257863622656,2019-02-12 07:05:17,b'@LitalHassine Mazal tov!'
1094463740119076864,2019-02-10 05:11:04,"b'@captainsafia ""Remove unused code""'"
1093832844999307264,2019-02-08 11:24:07,"b'And yes, you need to write an integration test for the new feature you just developed.'"
1093832715164618752,2019-02-08 11:23:36,b'Experiences of an Israeli managing remotees in other countries: explaining what a Kitbag Question is https://t.co/E9U545yv1y'
1093805835724173312,2019-02-08 09:36:47,"b""I just earned my first Great Answer badge on #superuser #stackexchange. I'm glad it's for answering a question abou\xe2\x80\xa6 https://t.co/sorjqp4Map"""
1092674875733536768,2019-02-05 06:42:45,"b'Also: damn, that arrived quickly!'"
1091291178996240384,2019-02-01 11:04:26,b'@gregsheremeta @devconf_cz I wish. Running windows 10.'
1091251185179340800,2019-02-01 08:25:31,"b""I wonder whether the cold air of Brno helped its sleep issues, or it just didn't want to embarrass itself in front\xe2\x80\xa6 https://t.co/Xp0aJKTOMI"""
1091250836871757825,2019-02-01 08:24:08,"b'My laptop used to shutdown every time I put it to sleep, and it somehow magically resolved itself.'"
1090585067624239104,2019-01-30 12:18:36,b'RT @SW_Integrity: Why should you choose Seeker for your IAST solution? Find out in our eBook \xe2\x80\x9cInteractive Security Testing 101: How to Eval\xe2\x80\xa6'
1090194582963408896,2019-01-29 10:26:58,b'@MisheAmara @chrismaddern @idokius @MagenDavidAdom Very cool. Thanks!'
1089925882834288641,2019-01-28 16:39:14,"b'RT @SEGorman9: #Cybertech Tel Aviv starts today! Visit our booth to learn how you can build secure, high-quality software faster.\xc2\xa0https://t\xe2\x80\xa6'"
1089903665291374593,2019-01-28 15:10:57,"b'@MisheAmara @chrismaddern @idokius @MagenDavidAdom Huh. Cool. I never got one. So either this is something new, or\xe2\x80\xa6 https://t.co/brHQ4ImLTl'"
1089808879842660355,2019-01-28 08:54:19,"b""@idokius @chrismaddern @MagenDavidAdom I'm pretty sure this is mandated according to the Helsinki declaration, alth\xe2\x80\xa6 https://t.co/QHiBgUbZqs"""
1089808670198767616,2019-01-28 08:53:29,"b'@idokius @chrismaddern @MagenDavidAdom Moreover, you can check a box to consent to have small portions of your dona\xe2\x80\xa6 https://t.co/HGzYEaPaGN'"
1089795695924727813,2019-01-28 08:01:55,"b'@idokius @chrismaddern @MagenDavidAdom Of course. On the donors side, they already keep the information - I get the\xe2\x80\xa6 https://t.co/QC6HBGPl8R'"
1089782768219901952,2019-01-28 07:10:33,b'@chrismaddern @idokius Hey @MagenDavidAdom any chance of setting up something like this in Israel too?'
1089782071143399427,2019-01-28 07:07:47,b'@chrismaddern @idokius In Israel you just get a text that says thank you and informs you about your blood type. Sur\xe2\x80\xa6 https://t.co/CSm1RmtUyh'
1089766219207659520,2019-01-28 06:04:48,"b'RT @SW_Integrity: #Cybertech Tel Aviv starts today! Visit our booth to learn how you can build secure, high-quality software faster.\xc2\xa0https:\xe2\x80\xa6'"
1089761523994632192,2019-01-28 05:46:08,"b""I'm sure there's a cache teiring joke hiding in there somewhere, but it's too early in the morning and too cold for me to articulate it."""
1089761236433227778,2019-01-28 05:45:00,b'Just ordered my free @Ceph t-shirt from the @devconf_cz coupon. I think they may have just cracked the code of runn\xe2\x80\xa6 https://t.co/PCPhrdwknb'
1089760418673893376,2019-01-28 05:41:45,"b'@kozka Nope. But a whole lot of thank-yous in broken English, German and Polish.'"
1089698135847456768,2019-01-28 01:34:15,b'... and I give him the four Czech crowns I have left in my wallet. Five minutes later he comes back with a hand ful\xe2\x80\xa6 https://t.co/fhkiKbwLM3'
1089697649677271040,2019-01-28 01:32:19,"b'Waiting for the bus from Brno to Vienna. A guy walks up to me, reeking from alcohol and speaking in Polish, which I\xe2\x80\xa6 https://t.co/TsiPdm2IP0'"
1089688940842532864,2019-01-28 00:57:43,"b""@devconf_cz was awesome, as usual, but it's time to start the long haul home"""
1089584856688922625,2019-01-27 18:04:07,b'@whereistanya Or convert it from a talk to a day-long workshop \xf0\x9f\x98\x89'
1089560284316876800,2019-01-27 16:26:29,"b'This has been the sixth @devconf_cz I gave a talk it, officially marking the the point that there have been more\xe2\x80\xa6 https://t.co/dR0Limc1yb'"
1089533752966029312,2019-01-27 14:41:03,b'In what world are cookies a cancelation prize? @devconf_cz'
1089516070380154880,2019-01-27 13:30:48,"b'@jessfraz I see that, and raise you https://t.co/qvuiGr8Vcs'"
1089498825247600641,2019-01-27 12:22:16,"b""Throughout @devconf_cz I've had traditional(?) Italian, Canadian and Mexican food for lunch. #Diversity comes in al\xe2\x80\xa6 https://t.co/kh5og2ppdk"""
1089476267949387776,2019-01-27 10:52:38,"b""@majorhayden @jzb Where was this during yesterday''s #dadjokes session?"""
1089468407983017984,2019-01-27 10:21:24,"b'Puns aside, today is #InternationalHolocaustRemembranceDay. Warms my heart seeing so many @RedHatIsrael members att\xe2\x80\xa6 https://t.co/TOBZWYnGs5'"
1089453855144886272,2019-01-27 09:23:34,"b""There are plenty of non-@RedHatJobs speakers at @devconf_cz this year (myself included!), but I'd never have expect\xe2\x80\xa6 https://t.co/CsA4Dub0OZ"""
1089411752469635072,2019-01-27 06:36:16,"b""What'd know? This bug I reported, with no functional impact on the site, became a Hot Meta Post: #huh\nhttps://t.co/NbBXX2WF7C"""
1089258862828507137,2019-01-26 20:28:45,"b""The elevator in my hotel is playing The Offspring's Self Esteem. #huh"""
1089211347626270720,2019-01-26 17:19:56,"b'Laptop battery died? No problem, use an old school projector @devconf_cz https://t.co/bXUw5reFnL'"
1089200542885261313,2019-01-26 16:37:00,"b'@adsamalik Hey @devconf_cz, this was hilarious! Can we please have this in the large room next year?'"
1089195483459915776,2019-01-26 16:16:54,b'I just participated in @devconf_cz slideshow karaoke by having a minute long ongoing Jewish pun'
1089189129517174784,2019-01-26 15:51:39,"b'The room the next @devconf_cz session is in is locked. My ""@synopsys is security"" tshirt may have been a poor choice for today'"
1089133806710333440,2019-01-26 12:11:49,"b'@adsamalik Sounds cool! Do I need to register in advance, or just show up?'"
1089118837688188929,2019-01-26 11:12:20,"b'A pair of presenters @devconf_cz : \nPresenter 1: ""We used Django because we like Python"".\nPresenter 2: ""I do not"".\xe2\x80\xa6 https://t.co/Hr4y7vZ7B4'"
1089112286923501568,2019-01-26 10:46:18,"b'#qotd : ""being on different floors is almost like being in different towns"" @devconf_cz'"
1089101707261415424,2019-01-26 10:04:16,"b'#QOTD ""I finished my degree, and then wanted to something less nerdy, so I moved to IT"" @devconf_cz'"
1089100822351413249,2019-01-26 10:00:45,b'I think @devconf_cz just won D&amp;I https://t.co/uK95uYzPAf'
1089093162998644737,2019-01-26 09:30:19,b'Hey @fedora @devconf_cz logging in to FAS with the url you published for the Fedora DevConf badge results in an int\xe2\x80\xa6 https://t.co/HIR0Zq4wCQ'
1088843333395464193,2019-01-25 16:57:35,"b'Slides from my talk ""How working on open source made me a better closed source developer"" from @devconf_cz are avai\xe2\x80\xa6 https://t.co/fCc7GZjZtI'"
1088755609544069123,2019-01-25 11:09:00,"b""Attribution: This is @jonatoni's talk. Couldn't remember her twitter user when I shared that tweet, mea culpa."""
1088754462234161153,2019-01-25 11:04:26,b'https://t.co/54UyaDZMAB'
1088754278439759874,2019-01-25 11:03:42,"b""Jona's talk I mentioned in the diversity slide of my talk is starting now at A113. There are still some empty seats\xe2\x80\xa6 https://t.co/ANUx7pzuA9"""
1088729910858973184,2019-01-25 09:26:53,b'Shades of #devconfcz 2013 https://t.co/QNUmtPdVCP'
1088724591764217857,2019-01-25 09:05:44,"b""Talk is done, now it's time to enjoy @devconf_cz !"""
1088712645061033984,2019-01-25 08:18:16,"b'The @devconf_cz badges have stickers for pronouns, levels of communication and lanyards for consent to being photographed. Very cool!'"
1088433404448772096,2019-01-24 13:48:40,"b""Even though I'm no longer a Red Hatter, it's great to share the flight with a lot of my former @ovirt colleagues"""
1088389007644549120,2019-01-24 10:52:15,b'Starting the long haul to @devconf_cz. See you all there!'
1087326838802866176,2019-01-21 12:31:34,"b""@KnEzmom Second,  on a mental level - you need to remain conscious of your volume and always make sure you're speak\xe2\x80\xa6 https://t.co/3hoM0E9q4b"""
1087326545730039813,2019-01-21 12:30:24,"b'@KnEzmom Also, speaking without a mic puts all sorts of stress on you. First, on the physical level, it stresses yo\xe2\x80\xa6 https://t.co/aJOIc0RTLi'"
1086537548799922178,2019-01-19 08:15:13,"b'RT @seanrecruiting: Synopsys Announces New Coverity Enhancements to Extend Breadth, Depth and Scalability of Enterprise #AppSec Read the fu\xe2\x80\xa6'"
1086244325250469889,2019-01-18 12:50:03,"b'Last weekend before @devconf_cz. Slides are done, got a couple of practice sessions in, and am slowly moving from b\xe2\x80\xa6 https://t.co/AhiUnvfcPh'"
1086007099820306432,2019-01-17 21:07:24,b'@tbrisker_pro https://t.co/M7AQyMFsXW'
1085402947062767616,2019-01-16 05:06:43,b'RT @seanrecruiting: Download our \xe2\x80\x9cInteractive Application Security Testing 101\xe2\x80\x9d eBook to learn how to evaluate and implement an #IAST solut\xe2\x80\xa6'
1084697324176191490,2019-01-14 06:22:49,"b""RT @stickermule: Its #NationalStickerDay and we couldn't celebrate without a giveaway! \xf0\x9f\x98\x9c\n\nWe're giving away 10, $50 Sticker Mule credits. T\xe2\x80\xa6"""
1084130046170853383,2019-01-12 16:48:39,b'@mikeyteva @KialiProject @IstioMesh Very cool!'
1083029057682530304,2019-01-09 15:53:43,"b""Hey @devconf_cz, last year's international snack table was a really cool touch to an already cool conference. Are w\xe2\x80\xa6 https://t.co/khnmEP5BOS"""
1082634135003291648,2019-01-08 13:44:26,"b""@YanivKaul @synopsys @CoverityScan I'm not involved in @CoverityScan , but I'm guessing this is what you're seeing: https://t.co/gyEatAf8LQ"""
1080426876789764096,2019-01-02 11:33:35,"b""@mandala_app @hamakor host regular meetups every few weeks iirc, but I haven't been in awhile, so I can't attest to the content."""
1079828076815618049,2018-12-31 19:54:10,"b""@joshgreenman Rage Against the Machine's version to Bob Dylan's Maggie's Farm."""
1079801489730818048,2018-12-31 18:08:31,"b""I'm going to start 2019 with a dozen more scars on my hands and forearms than 2018 #CatOwnersWillUnderstand"""
1077815959463833602,2018-12-26 06:38:44,b'Tried to get the cat off a pile of my clean laundry. https://t.co/hPNrPqoXIw'
1077121623097069568,2018-12-24 08:39:41,"b'RT @itgrrl: OK hacker fam, I\xe2\x80\x99m going to gift up to 10 hacking Humble Bundles for those who would love to grab them to kickstart their infos\xe2\x80\xa6'"
1077071020379570177,2018-12-24 05:18:36,"b'@Hannah_Chutzpah @anildash System administration - ""packet loss""'"
1076346660731740160,2018-12-22 05:20:16,"b'RT @dutton_life_: Mark Zurich (@zurichmark), Synopsys shares his 2019 #AppSec Predictions: Artificial Intelligence w/@SCMagazine. He says,\xe2\x80\xa6'"
1075253781313527808,2018-12-19 04:57:33,b'@shirperi @Baot_IL Very cool!\n\nCould you share a link to the recording/slidedeck?'
1075037428619059202,2018-12-18 14:37:50,"b'In related news: after kicking off more than a fair share of conferences, I still can\'t spell ""kicking off""'"
1074971704244559872,2018-12-18 10:16:40,"b""I'll be kicking of @DevConf_cz's Community Room on Friday 25/01/2019 at 09:30. See you all there! https://t.co/KnS2lVGGTR #devconfcz @sched"""
1074959441957658624,2018-12-18 09:27:57,b'Wrapping up a couple of days R&amp;R at @PrimaHotels Dead Sea. Have never been more disappointed in a vacation in my life.'
1074405083738189825,2018-12-16 20:45:08,b'RT @DrAnneCarpenter: Teachers! Parents!\n\nIt is legal and perfectly welcome to email scientists asking for a PDF of their paper.\n\nUntil all\xe2\x80\xa6'
1074333216419561473,2018-12-16 15:59:33,"b""@nocoot @tbrisker_pro Don't you mean 31?"""
1074318279915827200,2018-12-16 15:00:12,b'@tbrisker_pro What did you remove?'
1074315138931384320,2018-12-16 14:47:43,b'Checked in two hours ago. Complained the room was filthy. Waiting around for an hour an half until they were done w\xe2\x80\xa6 https://t.co/O3te592k2E'
1074243749390082048,2018-12-16 10:04:02,b'The cab I took this morning had a #CaptainAmerica steering wheel cover and #Superman seat belt cushions. Faux pas?'
1073175289944006656,2018-12-13 11:18:22,"b'@doniamae Sorry to hear this story, but thanks for sharing. Unfortunately, I find nothing in this thread surprising\xe2\x80\xa6 https://t.co/WueY5dNfnj'"
1071863978249388032,2018-12-09 20:27:41,b'Found myself writing C++ today for the first time in a decade and a half. Good times.'
1071374095558823937,2018-12-08 12:01:04,"b'\xd7\x94\xd7\x99\xd7\x99, \xd7\x9b\xd7\x91\xd7\xa8 \xd7\x99\xd7\xa6\xd7\x90 \xd7\x9c\xd7\x9a \xd7\x9c\xd7\xa0\xd7\xa1\xd7\x95\xd7\xa2 \xd7\xa2\xd7\x9d Gett?\n\xd7\x94\xd7\xa0\xd7\x94 \xe2\x82\xaa20 \xd7\x9e\xd7\xaa\xd7\xa0\xd7\x94 \xd7\x9c\xd7\x9b\xd7\x9c \xd7\x90\xd7\x97\xd7\xaa \xd7\x9e\xd7\x97\xd7\x9e\xd7\xa9 \xd7\x94\xd7\xa0\xd7\xa1\xd7\x99\xd7\xa2\xd7\x95\xd7\xaa \xd7\x94\xd7\x91\xd7\x90\xd7\x95\xd7\xaa \xd7\xa9\xd7\x9c\xd7\x9a. \xd7\xa4\xd7\xa9\xd7\x95\xd7\x98 \xd7\x9e\xd7\x95\xd7\xa8\xd7\x99\xd7\x93\xd7\x99\xd7\x9d \xd7\x90\xd7\xaa \xd7\x90\xd7\xa4\xd7\x9c\xd7\x99\xd7\xa7\xd7\xa6\xd7\x99\xd7\x99\xd7\xaa Gett \xd7\x95\xd7\xa0\xd7\x9b\xd7\xa0\xd7\xa1\xd7\x99\xd7\x9d\xe2\x80\xa6 https://t.co/Ce8mISfFwM'"
1070958131918848000,2018-12-07 08:28:10,b'@EricaJoy I had a shelf full of branded Ts I only wore when presenting in conferences. \n\nThen a couple of years ago\xe2\x80\xa6 https://t.co/hIAZbYrDYV'
1070944802299146240,2018-12-07 07:35:12,"b""RT @recursecenter: We're offering $10,000 Fellowships to women working on open source programming projects, research, and art for our batch\xe2\x80\xa6"""
1070549837291098112,2018-12-06 05:25:45,b'@TheTechScribe @robynbergeron After years of working with the RHV engineers from @RedHatIsrael I would have thought\xe2\x80\xa6 https://t.co/0ZxQJNQIlo'
1069989241625694208,2018-12-04 16:18:09,"b""@jesslynnrose A better understanding, industry-wide, that moving to management isn't a promotion, it's a career change"""
1069614989416296449,2018-12-03 15:31:00,"b'I spent the majority of my career being ""the database guy"", regardless of the organization I worked at. Today I can\xe2\x80\xa6 https://t.co/L72wdUF46P'"
1069490018387968000,2018-12-03 07:14:25,"b'One of my cats is lying in front of the window, enjoying the morning sun. The other is staring at her with a look t\xe2\x80\xa6 https://t.co/NUYHqCe65c'"
1069133039551287296,2018-12-02 07:35:54,"b""The guy next to me on the bus is discussing his wife's medical condition on the phone in such a volume no one can h\xe2\x80\xa6 https://t.co/2Ge35Gur3K"""
1068788755622965248,2018-12-01 08:47:51,b'RT @SW_Integrity: Visit Booth 2512 at @AWSreInvent to learn more about how Black Duck OpsSight integrates with #AmazonEKS #DevOps #Kubernet\xe2\x80\xa6'
