twitter_id,date,tweet
1106288824290869251,2019-03-14 20:19:44,b'@PattrikPerez @KVUE This is so sad. Do you happen to know the call sign of the plane?'
1106006532934852609,2019-03-14 01:38:00,b'This is so sad. Charlie was the face of F1 for more than 20 years. https://t.co/iYPUR215VZ'
1100555584955400193,2019-02-27 00:37:53,"b""@WTSO You're killing me because if you go on like this, I'll need a bigger wine fridge! So glad you're delivering in Texas again."""
1100197434557452288,2019-02-26 00:54:43,b'@burps_ I did in 1998. Why do you ask?'
1087513968766259200,2019-01-22 00:55:09,b'@ecobee Down again?'
1086796541837361152,2019-01-20 01:24:21,b'Hilarious but painful. https://t.co/aD0eRIP9ZD'
1086075760643735552,2019-01-18 01:40:14,"b'LOL @LSOshipping Second time in a row a ""next day"" shipment is delayed by multiple days. Note the chest-beating mar\xe2\x80\xa6 https://t.co/RQwDHqkM7l'"
1069383604516659200,2018-12-03 00:11:34,b'@AdayCoba @2kworldcup @Padpowa @AlexKiosko @DarwinFdez @EsportsVodafone @Versusgamers @OzoneGamingEs @DRIFTgamingeu\xe2\x80\xa6 https://t.co/cOs2iWypUq'
1064964503849308161,2018-11-20 19:31:38,b'RT @Mitski: @madebygoogle When will Google products (ANY of them!) work with G-Suite accounts??? The silence is deafening!! @gsuite @Google\xe2\x80\xa6'
1064305788024442880,2018-11-18 23:54:08,b'@AdayCoba @2kworldcup @iRacing @Padpowa @RaceSpotTV @EsportsVodafone @Versusgamers @OzoneGamingEs @DRIFTgamingeu\xe2\x80\xa6 https://t.co/C82VzthyyU'
1056163903133102080,2018-10-27 12:41:11,b'@Joke Gewoon met de post. Als het naar de 100kg gaat is LTL freight waarschijnlijk goedkoper (bvb via TNT of DHL)'
1055246525708804097,2018-10-24 23:55:51,b'@atxwxgirl Bring it on!'
1054389106241761280,2018-10-22 15:08:47,b'This is priceless. Take a screenshot because this may not stick around much longer\n\nhttps://t.co/POnqYWZYYt\n\nMy fav\xe2\x80\xa6 https://t.co/WZL5ZEWo8x'
1052316353691099136,2018-10-16 21:52:24,"b""@atxwxgirl I think this also happened in the first week of June 2016. I'm not 100% sure if all floodgates were open\xe2\x80\xa6 https://t.co/IpkI3ZRJgN"""
1052182058884362245,2018-10-16 12:58:46,"b'@KXAN_Weather David keeps saying that the level at Starcke dam is 2 feet below normal, while it is in fact 9 feet a\xe2\x80\xa6 https://t.co/MHesqDvhtp'"
1051959691503460352,2018-10-15 22:15:09,b'RT @PaulGAllen: https://t.co/msJhSPZBXm'
1051923621298487297,2018-10-15 19:51:49,b'#atxwx is going nuts https://t.co/wNYJbfqN2K'
1051869725284859905,2018-10-15 16:17:39,b'Should we be worried now @LCRA? #atxwx #LakeTravis #666 https://t.co/Po6TI6RYID'
1050914665923002368,2018-10-13 01:02:36,"b""@atxwxgirl And with the 5+ inches of rain predicted for next week in the hill country, I wouldn't be surprised to s\xe2\x80\xa6 https://t.co/yT8UFAUXO7"""
1050470500613443585,2018-10-11 19:37:38,"b""@atxwxgirl There's a tweet for everything https://t.co/trhvVcPPk0"""
1050468614975971328,2018-10-11 19:30:09,b'@atxwxgirl #sad'
1050031149697904640,2018-10-10 14:31:49,"b""@atxwxgirl And now it's square. If it continues like that it'll be a triangle by the time it makes landfall. This i\xe2\x80\xa6 https://t.co/CklSvDc2wZ"""
1050018774068408328,2018-10-10 13:42:38,"b""@atxwxgirl That's so cool (and scary)"""
1048702599925587969,2018-10-06 22:32:38,"b""@Pete_Brown It's not timer driven. I wondered about that too for a while but it seems to be driven by real data and\xe2\x80\xa6 https://t.co/4KBzwKM5yt"""
1047873986720411649,2018-10-04 15:40:01,b'WTF https://t.co/vU7mQRSl8B'
1046911596545675264,2018-10-01 23:55:49,"b""We don't need nice, we just need respect. Well said @KateBolduan"""
1046091327233032197,2018-09-29 17:36:22,"b""@atxwxgirl Same here in old Lakeway. The soil just can't absorb any more rain. Puddles everywhere"""
1044733522303504384,2018-09-25 23:40:56,"b'""A female assistant"" ... SMH'"
1044607033297817600,2018-09-25 15:18:19,b'This is simply incredible! #goosebumps https://t.co/WFZJd506uT'
1043652326463033344,2018-09-23 00:04:39,"b""You can't make this shit up https://t.co/S6rh8hRoBh"""
1042127084674531329,2018-09-18 19:03:53,b'@VisitAustinTX How could you forget @hopdoddy ?'
1041884407492235265,2018-09-18 02:59:34,"b'If you\'re wondering who is really  spreading ""fake news"", watch this. https://t.co/pvP9HzP8uU'"
1039655826137522176,2018-09-11 23:23:59,b'@NWSSanAntonio Thank you! The KEWX radar is a lot more accurate than the KGRK radar for the Austin area.'
1038985818147303425,2018-09-10 03:01:37,"b'@EdPiotrowski Let\'s just hope that the ""lame"" GFS model is wrong, because that one has Florence camping out right o\xe2\x80\xa6 https://t.co/i266GjqNy2'"
1038961687204909056,2018-09-10 01:25:43,"b""RT @AMAZlNGNATURE: This is Incredible. An eagle's view as it soars through the sky. \xf0\x9f\xa6\x85 https://t.co/iT7WXebgfX"""
1038936387964350464,2018-09-09 23:45:12,b'By @KevinSiers / @ObserverOpinion https://t.co/FUNYqqFnxL'
1038921245876789249,2018-09-09 22:45:01,b'RT @JashSayani: @iam_preethi Fullstack engineer is an engineer that can add technical debt to all areas.'
1038051133019906049,2018-09-07 13:07:30,b'Amen! https://t.co/jgI564PO8r https://t.co/90xoW0vmJ8'
1037486397924536320,2018-09-05 23:43:27,b'@atxwxgirl Yay! I gave up on it an hour ago. Let it rain!'
1037423028362248192,2018-09-05 19:31:39,b'Hilarious https://t.co/UI0gDN2yCr'
1031676080598466560,2018-08-20 22:55:19,b'@atxwxgirl That was kinda unexpected'
1029033630490939392,2018-08-13 15:55:10,"b""@FelixEhlers There are copyright issues that aren't resolved yet."""
1026252375147851779,2018-08-05 23:43:27,"b""@AdayCoba @2kworldcup @RaceSpotTV The incident has not been reported so I don't think there is a problem. It was clearly netcode"""
1026251752692170752,2018-08-05 23:40:59,"b""@AdayCoba @2kworldcup @RaceSpotTV I'm not the one who gives penalties. We have more than 10 independent stewards looking at every incident."""
1021548942604070912,2018-07-24 00:13:42,"b""It's 7PM and it's 106\xc2\xb0F (41\xc2\xb0C) in our backyard. Mother nature is trying to punish me for complaining about the cold\xe2\x80\xa6 https://t.co/C2y7W6lM3t"""
1017428267085778952,2018-07-12 15:19:36,"b""$3,599+tax for the updated MacBook Pro with 32GB RAM and 1TB SSD. Are you kidding me Apple? That's $1,500 more than\xe2\x80\xa6 https://t.co/BalCNTmzzV"""
1013949547079454720,2018-07-03 00:56:24,"b""@theyearofelan You've encountered a werewolf https://t.co/E28jB6gUKD"""
1005651473060040704,2018-06-10 03:22:49,b'RT @MrFilmkritik: President Obama and Anthony Bourdain enjoy dinner and beer in Hanoi.\n\nFun fact: This restaurant in Vietnam was so honored\xe2\x80\xa6'
1004873559754321920,2018-06-07 23:51:40,b'@atxwxgirl @RadarScope The problem is that those radar products based on NEXRAD like RadarScope and XM WX are not r\xe2\x80\xa6 https://t.co/Sq3Kz23NM7'
1004864851993419776,2018-06-07 23:17:04,"b""@atxwxgirl The pilot can't see the difference between hail and heavy rain on his/her radar screen. Heavy rain is no\xe2\x80\xa6 https://t.co/93xPmFYkJ2"""
1004149170717020162,2018-06-05 23:53:13,"b'RT @Deadspin: Trump unable to remember words to ""God Bless America"" at replacement event he commissioned to prove his patriotism: https://t\xe2\x80\xa6'"
1004126954386264065,2018-06-05 22:24:56,"b""If you're using Xamarin Forms for a UWP app, you should hold off on upgrading to 3.0.0.530893 because it will proba\xe2\x80\xa6 https://t.co/ORoLzV8paj"""
1003694229300883456,2018-06-04 17:45:26,b'Google Maps and Waze on Apple CarPlay? Hell just froze over. #WWDC'
1002238787127214080,2018-05-31 17:22:02,b'@netflix Thanks for the spoilers'
