twitter_id,date,tweet
644985229011234816,2015-09-18 21:23:56,b'@johnpauljai Glad you like it.'
644178584513474561,2015-09-16 15:58:37,b'RT @ratpackweb: The day has come \xc2\xbb http://t.co/SUOoUD6NVd'
638059098924318720,2015-08-30 18:41:58,"b""@darthvader42 I'm happy to help. What's the Twitter handle of your seat neighbor?"""
635509083228008448,2015-08-23 17:49:07,"b'RT @asteingr: Article about the motivations and thoughts behind #golang. Good stuff, esp for newcomers to go: https://t.co/9TOcrRnOaZ'"
633827849791741952,2015-08-19 02:28:29,b'@searls @chrisnelsonpe Spock the test framework blends well with Geb the browser automation library. Neither requires the other.'
633806187440566272,2015-08-19 01:02:25,b'@alvaro_sanchez Keep fighting the indentation [afraid to say the word].'
633805052222816256,2015-08-19 00:57:54,"b""To my surprise, I find it easier to deal with #parboiled2's macro foo than #fastparse's implicits foo. IntelliJ vehemently disagrees. #scala"""
633133178782371841,2015-08-17 04:28:07,"b""@yv3s77 Of course there were other choices (Spock 0.1 didn't require subclassing). They just weren't as compelling."""
624918994433257473,2015-07-25 12:27:53,"b""RT @vendorexcuses: The bug wasn't ours. It was in an open source project we use, but do not fund or contribute to in any way."""
617412827750469632,2015-07-04 19:21:03,"b'RT @ieure: Ah, finally got my Emacs setup just how I like it. http://t.co/f0B10cZybh'"
617019789739978752,2015-07-03 17:19:16,"b'@brianjohnsendk @colinharrington Spock docs never said that. Anyway, `void` is supported.'"
616712639213776896,2015-07-02 20:58:45,"b""@cfieber I'm using DA, but #scalatest failure output is disappointing (all messages duplicated, no stack trace filtering, etc.)"""
616682045293596672,2015-07-02 18:57:11,b'Missing #spock (and sane test failure output) in #scala land. #scalacheck makes up for some of it.'
616680089376411648,2015-07-02 18:49:25,"b'@colinharrington `def`, because it reads better and is the idiomatic style.'"
616405934559109120,2015-07-02 00:40:01,b'Best lineup ever for a programming language conference. Prague here I come! http://t.co/FwvMGNy9JZ'
608609744698355712,2015-06-10 12:20:45,"b""RT @glaforge: Nice &amp; funny dialogue on @circleci's blog about #microservices, #docker, #kubernetes, #heroku\xe2\x80\xa6\nhttp://t.co/Ui63DLCEN0"""
607017478997348352,2015-06-06 02:53:39,b'RT @adriancolyer: Is our focus on scalability at all costs leading us down the wrong path? http://t.co/RkIAjFpR26 http://t.co/qjnWRG8YqU'
606352683579154432,2015-06-04 06:51:59,b'RT @stilkov: \xe2\x80\x9eVon Monolithen und Microservices\xe2\x80\x9c \xe2\x80\x93 Sch\xc3\xb6ner Erfahrungsbericht von @GuidoSteinacker zur Otto-Architektur: http://t.co/rQsGMO3l\xe2\x80\xa6'
605741984955953152,2015-06-02 14:25:18,b'RT @eviltrout: Huge WTF in Java programming with URLs: (via @lukereeves) http://t.co/lW7XbKC9m0'
604755326638923777,2015-05-30 21:04:40,"b""@jbaruch @mojavelinux I'm happy to run any *nix toolchain, but I want a doc web*site* with cross-doc toc, nav, search, version selector."""
604746694694158336,2015-05-30 20:30:22,"b'@mojavelinux Does the Asciidoctor ecosystem have a turn-key doc website generator like Sphinx, or do I still have to build my own?'"
604745561791709184,2015-05-30 20:25:52,"b'@srecon Have you published any content from #srecon15europe (papers, slides, videos, etc.)?'"
604368857298526208,2015-05-29 19:28:58,"b""RT @jaykreps: It's rare that CS dissertations are well written, but @ongardie's is a great intro to Consensus, Raft, &amp; etc. https://t.co/ci\xe2\x80\xa6"""
597838971784327168,2015-05-11 19:01:32,"b""RT @normanmaurer: Awesome post by @cra - 'Why we run an open source program - Twitter' :\nhttp://t.co/spOaPWDa6H #opensource"""
597764925084282880,2015-05-11 14:07:18,b'RT @ewolff: Mittwoch spreche ich \xc3\xbcber @springboot und #Microservice http://t.co/KCm47fmPSB'
595975789423816704,2015-05-06 15:37:55,b'Abysmal service from @UPCAustria who mess up our internet upgrade and leave us offline for 7 days and counting. How hard is it to fix DHCP??'
594985251937615872,2015-05-03 22:01:53,"b'@glaforge SFO stores only sell http://t.co/5fYgrgFj4P SIMs, which is OK if you need &lt;1GB data. Otherwise I recommend http://t.co/qw16EZO380.'"
593170179745513472,2015-04-28 21:49:26,"b'RT @glaforge: Vault, an interesting project to store, share, lease, revoke secrets, like passwords, certificates, API keys\nhttp://t.co/ibI3\xe2\x80\xa6'"
593169114430054400,2015-04-28 21:45:12,"b'Every time I get a chance to use #scala, I fall in love again, until we get separated against our wills.'"
588756689744199680,2015-04-16 17:31:48,b'Shoutout to @daschl and @xeraa for educating me on #netty and #aws today! #confess_2015'
586276081012977665,2015-04-09 21:14:44,b'RT @ObjectComputing: We have announced some BIG news! @grailsframework and #Grails have a New Home at OCI!!\nhttp://t.co/hvKlhoC1wh'
582866374793494528,2015-03-31 11:25:47,"b'RT @graemerocher: Grails 3.0 Released and the Road Ahead - Today is significant on a number of fronts. First, the Grails team... http://t.c\xe2\x80\xa6'"
580284349070909440,2015-03-24 08:25:44,"b""@itdoug @hipchat I run into this all the time. maybe it's the odd 1 min limit, but printing s/ as regular msg is horrible and embarrassing."""
579707583252062208,2015-03-22 18:13:52,"b""@piotrbetkier @marcinerdmann In Groovy &lt; 2.4, strings as method names don't work reliably (e.g. closure inside method). Not sure about 2.4+."""
579676359905153024,2015-03-22 16:09:48,b'+5 (=11!) hour stopover at FRA due to customs officer who insisted on proof of purchase for 3.5y old macbook. 1st missed flight ever.'
576592634162102273,2015-03-14 03:56:11,"b'""Java 8 Update 40 is now available - you have Java 8 Update 40. Would you like to download it now?"" Hmm\xe2\x80\xa6'"
574710655028170753,2015-03-08 23:17:52,"b'RT @dhh: ""HP is trying to patent Continuous Delivery"", http://t.co/xpI8Z700Ef - HP is a general disgrace these days, but this is a new path\xe2\x80\xa6'"
573941444890787841,2015-03-06 20:21:18,b'@codepipes #spockfw is now @spockframework :-)'
573225299258806273,2015-03-04 20:55:36,b'@breskeby Slides?'
572834132054687746,2015-03-03 19:01:14,"b""@ronotica Thanks! Hope you'll enjoy it."""
572600841519173633,2015-03-03 03:34:13,"b'@danveloper @spockframework I would have applied, but I only have 7+ years experience.'"
572415201502494720,2015-03-02 15:16:33,"b""@breskeby You weren't ever in doubt, were you?!"""
572380465975468032,2015-03-02 12:58:32,b'@divideby0 next release'
572378651980918784,2015-03-02 12:51:19,"b'RT @spockframework: Breaking News: We have our own Twitter account! Oh, and one more thing - Spock 1.0 is out. LLAP. http://t.co/Nmbeh9LBAO'"
572295250976354304,2015-03-02 07:19:55,"b'@marc0der Spock used @droneio until recently, but from what I can tell, droneio the *service* is no longer actively developed.'"
572200345658630144,2015-03-02 01:02:48,"b""@bmuschko #SnapCI's pipelines are a huge plus. Only one free agent, unaffordable (for OSS) paid plans and config via UI only are some cons."""
572107004510126082,2015-03-01 18:51:53,"b'Spent a lot of time evaluating CI services for Spock (@BeShippable. @circleci, @snap_ci, @travisci). Overall, @travisci is the clear winner.'"
572094021230862336,2015-03-01 18:00:18,b'RT @billwscott: The more talent density u have the less process you need. The more process u create the less talent you retain.\n\n-- Reed Ha\xe2\x80\xa6'
