twitter_id,date,tweet
1109676519876628480,2019-03-24 04:41:13,"b'@trudyscousin @davedelong Labs are 100% the reason to go. Last year, Tue-Fri I sat through maybe two sessions live.\xe2\x80\xa6 https://t.co/l3j3LeMCvt'"
1109245460194254848,2019-03-23 00:08:21,"b'@stephentyrone @jckarter var romeo: Rose by AnyOtherName\n\n(AnyOtherName being a type eraser for the OtherName protocol, obvs.)'"
1106796773748682752,2019-03-16 05:58:08,"b""@rsms Here's another secret option-key behavior: https://t.co/4CvMiOi6ix"""
1105546361884295169,2019-03-12 19:09:27,b'@jckarter [] is both infix and postfix. The [ is infix and the ] is postfix.'
1103442577930489856,2019-03-06 23:49:46,b'@daniel_duan @davedelong And we can put a prefix on the classes in the non-standard library to distinguish them fro\xe2\x80\xa6 https://t.co/LaVy9Fq898'
1102717618509791232,2019-03-04 23:49:02,b'@jckarter Obviously nobody from the Long Now Foundation is on the Swift core team\xe2\x80\xa6'
1102717274367115265,2019-03-04 23:47:40,b'@jckarter Not Facebark? Or would that be too on the nose?'
1099877553051963394,2019-02-25 03:43:38,"b'Perlis: \xe2\x80\x9cIf you have a procedure with ten parameters, you probably missed some.\xe2\x80\x9d\n\nXcode: https://t.co/vCPmKbBFvR'"
1099374630320656384,2019-02-23 18:25:11,b'@davedelong The real solution: extend DDMathParser to parse predicate language.'
1099236151674716160,2019-02-23 09:14:56,"b""@steipete Have you considered making PSPDFKit enamel pins for this year's WWDC?"""
1098662862946557952,2019-02-21 19:16:53,b'@akosma @steipete Turbo Pascal 2.0 was the first software I ever bought with my own money. I was 13.'
1098055302379958272,2019-02-20 03:02:39,b'@jckarter pod_cast&lt;T&gt;(x) when you want to listen to x on the ride to work\nfore_cast&lt;T&gt;(x) when you want to know wha\xe2\x80\xa6 https://t.co/IdxAxtCOzR'
1097385502955765760,2019-02-18 06:41:06,b'@mristroph PETA?'
1096967321682432000,2019-02-17 02:59:24,b'@CodaFi_ @segabor @H2CO3_iOS \xe2\x80\x9dSwift dynamically casts collections element-wise.\xe2\x80\x9d I don\xe2\x80\x99t know what a \xe2\x80\x9ccollection\xe2\x80\x9d i\xe2\x80\xa6 https://t.co/lZxzTmvnvi'
1096120292886413315,2019-02-14 18:53:37,b'@jckarter How far down the list do you have to go to find \xe2\x80\x9cthinking\xe2\x80\x9d?'
1095047755209281537,2019-02-11 19:51:44,b'@thequinntaylor @davedelong @bjhomer You guys are adoorable.'
1095043282583937028,2019-02-11 19:33:58,"b""@ccgus See this gist for demo code: https://t.co/61GJaJY6jz\n\nHere's the output of the demo: https://t.co/7E343Tsv28"""
1095042779913375744,2019-02-11 19:31:58,b'@ccgus You set the pHYs chunk by setting the kCGImagePropertyDPIHeight and kCGImagePropertyDPIWidth image propertie\xe2\x80\xa6 https://t.co/pNQtV54W9m'
1095042632835833856,2019-02-11 19:31:23,"b'@ccgus If you are talking about the pHYs chunk, CGImageMetadata is the wrong API. CGImageMetadata is for the EXIF,\xe2\x80\xa6 https://t.co/mshVHJr4cB'"
1089763304724185088,2019-01-28 05:53:13,b'https://t.co/FoZwkwCR4C https://t.co/NLwB8kGajb'
1089759563220480000,2019-01-28 05:38:21,"b""@elliottwil @nerdonica Product &gt; Perform Action &gt; Test Again is so useful that it's worth mapping it to something e\xe2\x80\xa6 https://t.co/JVDWtOJWNz"""
1089753894232776704,2019-01-28 05:15:49,b'@davedelong Is it okay if I send you some pull requests to make it easier for non-Daves to build the project withou\xe2\x80\xa6 https://t.co/TSh4p04O4S'
1088590083790385153,2019-01-25 00:11:15,b'@atpfm I don\xe2\x80\x99t want the slack-bait atp logo on a shirt. I want it on an enamel pin. Please make it happen!'
1082389238988132352,2019-01-07 21:31:19,"b'@ccgus So it will be MacOS 14, but the ""M"" is pronounced ""one thousand"", right?'"
1074889874900160512,2018-12-18 04:51:31,b'@jckarter - But each message is a number in the range 0 ... 255.'
1072546067303096321,2018-12-11 17:38:04,b'@jckarter https://t.co/IFWWJgH6eR'
1070492170845597696,2018-12-06 01:36:36,b'@WhatTheBit Alternate timeline Phil Schiller: \xe2\x80\x9cWhy would we add an analog audio jack to the iPhone? It really comes\xe2\x80\xa6 https://t.co/F5wqSWISb4'
1069647444625915904,2018-12-03 17:39:58,b'@jckarter Would you say Swift\xe2\x80\x99s solution to the Optional pyramid of doom problem was... avant-guard?'
1069506512438128640,2018-12-03 08:19:57,b'@jckarter I bet every April you engage in tax return-oriented programming.'
1065664569568305153,2018-11-22 17:53:27,"b""@soothron I have no plans to update Fractal Clock. I don't have any Macs running Mojave at the moment."""
1063150109590990849,2018-11-15 19:21:53,"b""@iamdevloper I've tried nothing and I'm all out of ideas."""
1062772021212467206,2018-11-14 18:19:29,b'@steipete @pdfviewerapp https://t.co/suJ5TTi97N'
1062759292300877824,2018-11-14 17:28:55,"b""@steipete @pdfviewerapp What's New\n\n\xe2\x80\xa2 Release notes are now in 3D."""
1062444854209327104,2018-11-13 20:39:27,"b'@jckarter Say that thou jitst forsake me for some segfault\xe2\x80\xa6\n\n\xe2\x80\x94 Shakespeare, Sonnet LXXXINUX'"
1062094545159118849,2018-11-12 21:27:26,"b""How should macOS adopt iOS's shake-to-undo gesture?"""
1053484233765933056,2018-10-20 03:13:08,b'@gparker So\xe2\x80\xa6 the set of statements `if (condition) { consequence }` is a monoid with identity `if (0) {}` and operation `else`.'
1053350060401049600,2018-10-19 18:19:59,"b'@patio11 @Steli @threadreaderapp Dear Thread Reader App,\n\nKindly unroll this thread for me at your earliest conveni\xe2\x80\xa6 https://t.co/gLsHWM0iqL'"
1052267389411319809,2018-10-16 18:37:50,b'@davedelong @amazon https://t.co/ARCCVeeAxk'
1050463811818405888,2018-10-11 19:11:04,"b""That lldb Decimal formatter I tweeted about yesterday\xe2\x80\xa6 doesn't work for Decimals inside a Dictionary. Not sure wher\xe2\x80\xa6 https://t.co/jfX4VsLBN1"""
1050160388178931712,2018-10-10 23:05:22,"b'@cocoaphony @alexisgallagher @NSExceptional @jckarter I agree, but tell that to indexPathsForSelectedRows. \xf0\x9f\x98\xa2'"
1050154931385184256,2018-10-10 22:43:41,"b'I needed better Xcode debugger support for Decimal, so I finally learned a little bit about lldb type summaries. He\xe2\x80\xa6 https://t.co/4j02Bb9CNg'"
1048291759086874624,2018-10-05 19:20:06,"b""@jckarter Wouldn't \xe2\x80\x9cattorney af general\xe2\x80\x9d be inpositive?"""
