twitter_id,date,tweet
491611188141506560,2014-07-22 15:50:15,b'Join us tomorrow in room C04 at the bcc for the #pylint sprint. #europython'
344188021547089920,2013-06-10 20:23:13,"b""@alex_gaynor What's the bug?"""
314861884593537024,2013-03-21 22:11:37,"b""Whee! So having 20% women attending @ #pycon doesn't trigger media interest, but drama does: http://t.co/HDHGndnK67"""
314629389566492672,2013-03-21 06:47:46,"b""RT @spolsky: I'm so happy they spring-cleaned useless Google Reader to make room for a desperately-needed notes app &lt;/sarcasm&gt; htt ..."""
313520676399112192,2013-03-18 05:22:08,"b'RT @durin42: ""There is a calendaring bug born every day, always wear a library."" -- pycon talk on dates and times.'"
313334776272674816,2013-03-17 17:03:26,"b'RT @raymondh: #pycon news: @gvanrossum giving a masterful technical talk on async io.  It is a plain spoken, clear exposition of the issues.'"
234004575277961216,2012-08-10 19:13:32,b'Passing functions as values in #Erlang; alsmost as beautiful as C++11 lambdas.'
234004228664852481,2012-08-10 19:12:10,b'RT @DEVOPS_BORAT: In devops are simple substitution for make meaning more clear. Example s/cluster/clusterfuck/. Example s/80% done/will ...'
14393973221105664,2010-12-13 18:59:25,b'calibre + Thalia + Magic = German eBooks on my Kindle.'
27280091051,2010-10-13 22:00:15,"b'If you do one good thing in your life, then let it be replacing iTunes 10 by Banshee 1.8'"
25536518552,2010-09-25 22:37:10,b'Oh what a friend we have in -DskipTests=true'
25382140163,2010-09-24 06:47:56,b'GNOME is awesome. https://bugzilla.gnome.org/show_bug.cgi?id=621564'
25014817462,2010-09-20 10:49:44,"b""Words cannot do MineCraft justice, you'll have to play it yourself. http://minecraft.net/"""
15318835752,2010-06-03 11:31:57,"b'Carefully placed, the oil spill can cover almost all of Switzerland; impressive in terrifying ways. http://www.ifitwasmyhome.com/'"
13929207891,2010-05-13 18:59:00,b'Bald ist die deutsche \xc3\x9cbersetzung von #Donjon fast komplett (inklusive Schuber): http://www.reprodukt.com/news.php'
13866599034,2010-05-12 19:03:42,"b'The Humble Indie Bundle has reached $1,000,000 in contributions!  Starting to release the source. http://j.mp/9WtdAm'"
13862792151,2010-05-12 17:34:54,"b""If Perl supported regex substitutions on script code (as a string), there'd be no need for arguments in functions."""
13862287434,2010-05-12 17:23:47,"b""There's nothing like checking students' homework for spoiling a perfect day."""
13507299052,2010-05-06 20:48:55,b'This would render sentiment detection a trivial problem: http://bit.ly/wiUWu \xe2\xb8\xae'
13503892827,2010-05-06 19:27:00,"b""There is something slightly unnerving about Google Search having a new interface \xe2\x80\x94 like the sky changing its color to, oh, let's say \xe2\x80\xa6 PINK?"""
13474158037,2010-05-06 07:18:26,b'The Humble Indie Bundle (pay what you want for five awesome indie games) http://bit.ly/9KASXz'
13188287645,2010-05-01 13:34:18,"b'Buckshot from Cutting et al., 1992: Very interesting and intuitive clustering algorithm \xe2\x80\x94 http://goo.gl/Myzj #machinelearning'"
