twitter_id,date,tweet
1107911035321831424,2019-03-19 07:45:49,b'@tobyhede It feels to me like big enterprises will never get what agile really is about because they simply cannot\xe2\x80\xa6 https://t.co/PbohKkjLe6'
1103905133857955840,2019-03-08 06:27:48,b'People in their late thirties identifying themselves as elders? What is wrong in our industry? How to fix that? https://t.co/Jdk7T7T1Ab'
1102837517206933504,2019-03-05 07:45:28,"b""Microsoft Word on a Mac doesn't follow Apple's UX standard and is therefore so confusing and unintuitive for OSX us\xe2\x80\xa6 https://t.co/ZSKLB835ux"""
1101048084233105408,2019-02-28 09:14:54,b'@edwardbenson I think you can teach the tools and techniques very well. But to be good at debugging requires intuit\xe2\x80\xa6 https://t.co/wR1VZZ3BqQ'
1100348105415905280,2019-02-26 10:53:26,"b'Gamification totally works for me: I have just exceeded 60k reputation points on @StackOverflow, and this falsely inflates my ego.'"
1100071708193685504,2019-02-25 16:35:08,b'Noticed today that I left #babbel than five years ago \xf0\x9f\x98\xaf. And that I still use the same #beyerdynamic in-ear headphones \xe2\x80\x93 awesome quality \xf0\x9f\x99\x8f.'
1099939195580231680,2019-02-25 07:48:34,"b'@thisisudo Is not it the same with the Germans? They are either from Berlin, from Bavaria or just from Germany.'"
1097461420537585664,2019-02-18 11:42:47,"b'Sometimes you just have to do the right thing, even if it pisses off a lot of people.'"
1096367247784927232,2019-02-15 11:14:56,"b'@chadloder Interesting, seem like they want to collect statistical data about color blindness in the population.'"
1096330811111063552,2019-02-15 08:50:08,b'Just learned that sonnen (the renewable energy start-up I am working for) was acquired by Shell (the oil major). I\xe2\x80\xa6 https://t.co/TAiIIxafE3'
1096316952040083457,2019-02-15 07:55:04,"b'I just got an email from a recruiter asking if ""Software Integration and System Landscapes"" are my native languages\xe2\x80\xa6 https://t.co/2bhfaqAQMM'"
1096109632903438336,2019-02-14 18:11:15,b'@tobyhede What? jquery isn\xe2\x80\x98t a thing anymore? I just added it to a site project! I am so old-school...'
1095605088117276672,2019-02-13 08:46:23,"b'@MelissaKaulfuss But you are right, fuck those people!'"
1095604878578249728,2019-02-13 08:45:33,"b'@MelissaKaulfuss @friendlyunit In Germany, I have to acknowledge receipt of every single parcel. When a parcel gets\xe2\x80\xa6 https://t.co/7g3mohx4mc'"
1093840987863027712,2019-02-08 11:56:28,"b'@thisisudo Happy birthday! Yes, I think your mother can be very proud of you!'"
1093087062457270272,2019-02-06 10:00:38,"b'Hey @Caparol Ich habe nun schon mehrfach versucht, \xc3\xbcber Euer Kundenservicecenter oder \xc3\xbcber die info@ E-Mail mit Euc\xe2\x80\xa6 https://t.co/TCBoDaPqWi'"
1087662186963492865,2019-01-22 10:44:07,"b'@damirkotoric Wow, enjoy your time. Looks like you do ""remote working"" right. I am visiting Shanghai only for a few\xe2\x80\xa6 https://t.co/7jbFhMQkiT'"
1087505327979823104,2019-01-22 00:20:49,"b'Good morning, Shanghai! https://t.co/PuHSCqPK5K'"
1085575973301559298,2019-01-16 16:34:15,b'Ich war vorgestern erst wieder im B\xc3\xbcro und habe da die Weihnachtspost von Euch gefunden. Habt vielen Dank! Ich habe\xe2\x80\xa6 https://t.co/BCywHrg3sH'
1073486973304782849,2018-12-14 07:56:53,"b'I have just read this requirement in a job posting: ""Sound knowledge in all common programming and database languag\xe2\x80\xa6 https://t.co/4kXPV86ZAL'"
1073229767346933760,2018-12-13 14:54:50,b'Heading back home after the #APIdays conference. Thanks again for the sponsored ticket @postmanclient https://t.co/sn0MzD1otM'
1071295094135885824,2018-12-08 06:47:08,b'I just dreamed that I had to maintain legacy code that had more than 800 characters per line.'
1070583060645797888,2018-12-06 07:37:46,b'@MelissaKaulfuss thank you so much for your #yow18 notes!'
1068199212461015040,2018-11-29 17:45:13,b'I really wonder what is the career path for senior or lead developers when they do not go into the people management path?'
