twitter_id,date,tweet
1107686694734561290,2019-03-18 16:54:22,"b""@davidfowl Yeah, I guess that's something I need to improve! I'm at the Summit if you want to discuss it further"""
1107682346726096899,2019-03-18 16:37:05,"b""@davidfowl That's right. I realize it's inefficient, but right now nodes have no knowledge of which client is connected to which node."""
1107656652486926336,2019-03-18 14:54:59,"b""@davidfowl Hey @davidfowl , could you elaborate? I'm not sure I understand what you mean..."""
1107526388834144256,2019-03-18 06:17:22,b'Just blogged: Scaling out https://t.co/UNtIOe49qu Core SignalR using Azure Service Bus\nhttps://t.co/nlAywAV0Z2'
1104338075897991169,2019-03-09 11:08:09,"b""RT @adamralph: After four months of alpha, beta, and RC testing, I'm overjoyed to announce that MinVer 1.0.0 is now available! Minimalistic\xe2\x80\xa6"""
1101468953119997954,2019-03-01 13:07:17,"b""RT @Damien_Doumer: \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 It's funny how some people see software devs as magicians, one will wake up with an idea he thinks is revolutionary\xe2\x80\xa6"""
1094929921917489153,2019-02-11 12:03:30,b'RT @fakeiteasyfx: Get FakeItEasy 5.1.0!\n\nNew: Support for named fakes\nFixed: Concurrent calls and (implicit or explicit) configuration chan\xe2\x80\xa6'
1093896915438239744,2019-02-08 15:38:42,"b""@darrel_miller @http_master Doesn't work either..."""
1093883353189806085,2019-02-08 14:44:49,"b""@darrel_miller @http_master Because I can't, the parameter isn't optional. https://t.co/D6EkDAryXo"""
1093879384157704194,2019-02-08 14:29:03,"b""@darrel_miller @http_master In fact I'd like to specify a minimum but no maximum, so I use Int64.MaxValue. But it c\xe2\x80\xa6 https://t.co/l1d9dvuH3H"""
1093837598110502912,2019-02-08 11:43:00,b'@http_master Done!'
1093800899615563776,2019-02-08 09:17:10,"b'@http_master @darrel_miller Oops... ""Input string was not in a correct format.""'"
1085903042699059200,2019-01-17 14:13:55,"b'RT @infinitesquare: Infinite Square pr\xc3\xa9sente #hokifish, la solution SaaS pour g\xc3\xa9rer vos fichiers sur votre souscription #Azure ! Rejoignez-\xe2\x80\xa6'"
1085505524035145728,2019-01-16 11:54:19,b'RT @BrockLAllen: The State of the Implicit Flow in OAuth2 https://t.co/8VQra7RJ5T #oauth2 #oidc #aspnetcore'
1084780645245698049,2019-01-14 11:53:54,b'RT @fakeiteasyfx: Get FakeItEasy 5.0.1!\n\nFixed: Raising internal events silently fails\n\nThanks to github user mriehm for reporting the bug\xe2\x80\xa6'
1084412221948596224,2019-01-13 11:29:55,b'RT @stevedesmond_ca: Just ran the numbers: @fakeiteasyfx 5.0 is up to 14x faster than 4.x! Updated benchmark results for #dotnet mocking li\xe2\x80\xa6'
1083351958193352707,2019-01-10 13:16:49,b'Just blogged: Google+ shutdown: fixing Google authentication in #AspNetCore https://t.co/GaV2AFiN6G'
1082261052098777088,2019-01-07 13:01:56,"b""RT @fakeiteasyfx: Get FakeItEasy 5.0.0!\n- big performance improvements\n- warn at configuration that delegates can't call a base\n- can no lo\xe2\x80\xa6"""
1077201157062356993,2018-12-24 13:55:43,b'Just blogged: \nMultitenant #azuread issuer validation in #aspnetcore\nhttps://t.co/k6klOlP0aV'
1075036494656622592,2018-12-18 14:34:08,b'RT @fakeiteasyfx: Get FakeItEasy 5.0.0-beta.1!\n- exceptions thrown from Invokes propagate correctly (thanks to @urWaldfee for reporting)\n-\xe2\x80\xa6'
1073265084544245761,2018-12-13 17:15:11,"b'RT @fakeiteasyfx: Get FakeItEasy 4.9.2, a bug fix release that fixes an issue with exceptions thrown from Invokes callback\nhttps://t.co/XPx\xe2\x80\xa6'"
1072106734360109056,2018-12-10 12:32:18,"b""RT @fakeiteasyfx: Get FakeItEasy 5.0.0-alpha.1!\n- big performance improvements\n- warn at configuration that delegates can't call a base\n- c\xe2\x80\xa6"""
1071340789517697026,2018-12-08 09:48:43,b'RT @01k: static vs dynamic  #illustration https://t.co/nDgR8RGdPq'
1069514027246776320,2018-12-03 08:49:49,"b'@Paris_Turf Il y a erreur, je ne suis pas le Thomas Levesque que vous croyez ;)'"
1065958066062016512,2018-11-23 13:19:42,b'Just blogged: \nMaking a WPF app using a SDK-style project with MSBuildSdkExtras #dotnet #wpf #MSBuildSdkExtras\nhttps://t.co/GbuANIjHl4'
1058287669044826112,2018-11-02 09:20:16,b'@jeromegiacomini Un de plus ;)'
1055052274962259968,2018-10-24 11:03:58,"b'RT @WestDiscGolf: @thomaslevesque Hi, Just read your blog post on Async Initialisation (https://t.co/EeEPNpqzqN). Really interesting read.\xe2\x80\xa6'"
1055052244280844288,2018-10-24 11:03:51,"b'@WestDiscGolf Thanks, glad you liked it!'"
1052841885230714882,2018-10-18 08:40:40,"b'RT @pauldotknopf: A cool lib to help with weak events in .NET. More often than not, I think people only need weak events.\n\nI wish it was op\xe2\x80\xa6'"
1048141477833072640,2018-10-05 09:22:56,"b'RT @codinghorror: us old people had our emoji, too, back in the day! https://t.co/nFHNKI4LOT https://t.co/oeAEYxjvs4'"
