twitter_id,date,tweet
1092469731217551362,2019-02-04 17:07:35,"b""RT @HeberLior: Very proud to share my new blog post!\nIf you're interested in reading on why and how we tackled the issue of refreshing our\xe2\x80\xa6"""
1088217724264816640,2019-01-23 23:31:38,"b'LOL well played, @StackOverflow https://t.co/30meUjnkuj'"
1068711956331356160,2018-12-01 03:42:40,"b""RT @practicingdev: RT if you are a professional software developer and don't have a CS degree. https://t.co/0yxP1GdBSX"""
1004091508616781824,2018-06-05 20:04:05,b'@dccommonsense A similar organization called @lobbying99 has been making real progress in Israel - already hiring 4\xe2\x80\xa6 https://t.co/h4qWDWaxc1'
973652377898274816,2018-03-13 20:09:51,"b""RT @juliasilge: This year's @StackOverflow survey results are now published! Click through to learn about\n\n\xe2\xad\x90\xef\xb8\x8f\xc2\xa0what languages, frameworks, a\xe2\x80\xa6"""
960189481084178434,2018-02-04 16:33:06,"b'RT @orshkolnik: This joke was so sneaky it seems like no one on the internets noticed it, so I had to internet it myself. Well played @thed\xe2\x80\xa6'"
950752279044526081,2018-01-09 15:33:02,b'RT @StackOverflow: The wait is over! Take the 2018 Developer Survey now:  https://t.co/Hn4HY9GpoT https://t.co/xrAf3cx3AZ'
942612790245842945,2017-12-18 04:29:36,b'@FacesPics evil robot? https://t.co/D46AqCtXXI'
908388739419967488,2017-09-14 17:55:27,"b'RT @julienrf: Dear Scala users, I\xe2\x80\x99d love to hear your voice about which operations you would like to see in the new collections! https://t.\xe2\x80\xa6'"
908136858579865600,2017-09-14 01:14:34,"b'RT @yoav_izhar: NEW!!\nKenshoo eCom starting with Amazon. \nSearch,Social &amp; eCom-all under one platform. Kenshoo!\nhttps://t.co/cWXrQFgsd8\n#Be\xe2\x80\xa6'"
890394607246245888,2017-07-27 02:13:11,b'@MontMaxton :))'
887529574506135552,2017-07-19 04:28:34,"b""That's crazy I just had to turn off WiFi to be able to see this tweet https://t.co/LgX5vXSHwy"""
883413227446644741,2017-07-07 19:51:41,b'WTF level: 9 :( \nhttps://t.co/zqh9vzIHUE'
883388433149964288,2017-07-07 18:13:09,b'I just donated to @Wikipedia. Support free knowledge! #iloveWikipedia https://t.co/u28zWHJ5v5'
874284851951792130,2017-06-12 15:18:46,b'I just published \xe2\x80\x9cOpen Sourced: Anodot-Metrics-Bridge\xe2\x80\x9d https://t.co/CgEsrhg6hg Thanks to Erez Loten + Yael Balla'
872907602757390337,2017-06-08 20:06:04,"b""@mosheeshel Cool! Didn't see it, will definitely check it out!"""
871158335499796480,2017-06-04 00:15:07,b'RT @larrymatovina: HELP ME PLEASE. A MAN NEEDS HIS CLIMATE PROTECTED https://t.co/rbPCL2ocI4'
869092050834255872,2017-05-29 07:24:26,b'I just published \xe2\x80\x9c301 \xe2\x80\x94 Moved Permanently: Kenshoo\xe2\x80\x99s Engineering Blog Finds a New Home\xe2\x80\x9d https://t.co/KFsgJavKNL'
868848716404469760,2017-05-28 15:17:31,"b'Finally, @StackOverflow @scala_lang gold badge \xf0\x9f\x98\x8a https://t.co/RlNmX8sC6j'"
867914603472224256,2017-05-26 01:25:41,b'@_zero323 @oluies Thank YOU for so many helpful answers @ApacheSpark @scala_lang'
849650533858193408,2017-04-05 15:50:47,b'@StackOverflow Moved to a new office. Dev next to me has a loud clicky keyboard. Changing my vote to CON \xf0\x9f\x98\xa1'
